EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 21-01-2021
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 TG   : mean temperature in 0.1 &#176;C
23-27 Q_TG : Quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station NORWAY, LISTA FYR (STAID: 1045).
Blended and updated with sources: 109642 901427 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   TG, Q_TG
109642,19790101, -106,    0
109642,19790102,  -75,    0
109642,19790103,  -70,    0
109642,19790104,  -53,    0
109642,19790105,  -61,    0
109642,19790106,   33,    0
109642,19790107,   55,    0
109642,19790108,   46,    0
109642,19790109,   25,    0
109642,19790110,   15,    0
109642,19790111,   -1,    0
109642,19790112,   -7,    0
109642,19790113,    0,    0
109642,19790114,  -31,    0
109642,19790115,  -53,    0
109642,19790116,  -10,    0
109642,19790117,  -30,    0
109642,19790118,  -26,    0
109642,19790119,  -11,    0
109642,19790120,  -35,    0
109642,19790121,  -42,    0
109642,19790122,  -47,    0
109642,19790123,  -50,    0
109642,19790124,  -64,    0
109642,19790125,  -73,    0
109642,19790126,  -92,    0
109642,19790127,  -75,    0
109642,19790128,  -22,    0
109642,19790129,  -21,    0
109642,19790130,  -62,    0
109642,19790131,  -49,    0
109642,19790201,   14,    0
109642,19790202,   10,    0
109642,19790203,    8,    0
109642,19790204,   18,    0
109642,19790205,    6,    0
109642,19790206,    8,    0
109642,19790207,   13,    0
109642,19790208,   -5,    0
109642,19790209,    3,    0
109642,19790210,  -17,    0
109642,19790211,  -38,    0
109642,19790212,  -44,    0
109642,19790213,  -30,    0
109642,19790214, -123,    0
109642,19790215,  -89,    0
109642,19790216,  -66,    0
109642,19790217,  -43,    0
109642,19790218,  -30,    0
109642,19790219,  -15,    0
109642,19790220,   -6,    0
109642,19790221,  -19,    0
109642,19790222,  -18,    0
109642,19790223,    3,    0
109642,19790224,   15,    0
109642,19790225,   26,    0
109642,19790226,   44,    0
109642,19790227,   30,    0
109642,19790228,   36,    0
109642,19790301,    4,    0
109642,19790302,   47,    0
109642,19790303,   60,    0
109642,19790304,   48,    0
109642,19790305,   52,    0
109642,19790306,   48,    0
109642,19790307,   35,    0
109642,19790308,   44,    0
109642,19790309,   45,    0
109642,19790310,   25,    0
109642,19790311,   13,    0
109642,19790312,    6,    0
109642,19790313,    3,    0
109642,19790314,   -9,    0
109642,19790315,  -16,    0
109642,19790316,  -16,    0
109642,19790317,  -51,    0
109642,19790318,  -74,    0
109642,19790319,  -19,    0
109642,19790320,    9,    0
109642,19790321,    3,    0
109642,19790322,   17,    0
109642,19790323,   27,    0
109642,19790324,   31,    0
109642,19790325,   11,    0
109642,19790326,   38,    0
109642,19790327,   31,    0
109642,19790328,   45,    0
109642,19790329,   50,    0
109642,19790330,   39,    0
109642,19790331,   28,    0
109642,19790401,   32,    0
109642,19790402,   18,    0
109642,19790403,   25,    0
109642,19790404,   30,    0
109642,19790405,   45,    0
109642,19790406,   34,    0
109642,19790407,   48,    0
109642,19790408,   34,    0
109642,19790409,   28,    0
109642,19790410,   43,    0
109642,19790411,   78,    0
109642,19790412,   78,    0
109642,19790413,   49,    0
109642,19790414,   44,    0
109642,19790415,   43,    0
109642,19790416,   25,    0
109642,19790417,   31,    0
109642,19790418,   28,    0
109642,19790419,   39,    0
109642,19790420,   43,    0
109642,19790421,   41,    0
109642,19790422,   31,    0
109642,19790423,   43,    0
109642,19790424,   57,    0
109642,19790425,   52,    0
109642,19790426,   50,    0
109642,19790427,   54,    0
109642,19790428,   43,    0
109642,19790429,   52,    0
109642,19790430,   35,    0
109642,19790501,   26,    0
109642,19790502,   35,    0
109642,19790503,   39,    0
109642,19790504,   31,    0
109642,19790505,   41,    0
109642,19790506,   45,    0
109642,19790507,   44,    0
109642,19790508,   43,    0
109642,19790509,   33,    0
109642,19790510,   53,    0
109642,19790511,   43,    0
109642,19790512,   65,    0
109642,19790513,   65,    0
109642,19790514,   76,    0
109642,19790515,   78,    0
109642,19790516,  102,    0
109642,19790517,   80,    0
109642,19790518,   78,    0
109642,19790519,   53,    0
109642,19790520,   68,    0
109642,19790521,   88,    0
109642,19790522,   81,    0
109642,19790523,   94,    0
109642,19790524,   91,    0
109642,19790525,   77,    0
109642,19790526,   86,    0
109642,19790527,   91,    0
109642,19790528,   87,    0
109642,19790529,   94,    0
109642,19790530,  101,    0
109642,19790531,  187,    0
109642,19790601,  123,    0
109642,19790602,  137,    0
109642,19790603,  187,    0
109642,19790604,  177,    0
109642,19790605,  172,    0
109642,19790606,  174,    0
109642,19790607,  115,    0
109642,19790608,  102,    0
109642,19790609,  106,    0
109642,19790610,   90,    0
109642,19790611,   83,    0
109642,19790612,   86,    0
109642,19790613,   83,    0
109642,19790614,  100,    0
109642,19790615,  111,    0
109642,19790616,  108,    0
109642,19790617,  102,    0
109642,19790618,  104,    0
109642,19790619,  110,    0
109642,19790620,  125,    0
109642,19790621,  130,    0
109642,19790622,  131,    0
109642,19790623,  133,    0
109642,19790624,  145,    0
109642,19790625,  127,    0
