EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 21-01-2021
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 TG   : mean temperature in 0.1 &#176;C
23-27 Q_TG : Quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station NORWAY, SAUDA (STAID: 1047).
Blended and updated with sources: 109673 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   TG, Q_TG
109673,19790101, -181,    0
109673,19790102, -159,    0
109673,19790103, -126,    0
109673,19790104,  -58,    0
109673,19790105,  -36,    0
109673,19790106,  -11,    0
109673,19790107,   41,    0
109673,19790108,   19,    0
109673,19790109,    2,    0
109673,19790110,  -11,    0
109673,19790111,  -13,    0
109673,19790112,  -48,    0
109673,19790113,  -51,    0
109673,19790114, -111,    0
109673,19790115, -114,    0
109673,19790116,  -18,    0
109673,19790117,   -3,    0
109673,19790118,  -47,    0
109673,19790119,  -65,    0
109673,19790120, -102,    0
109673,19790121,  -88,    0
109673,19790122,  -88,    0
109673,19790123,  -84,    0
109673,19790124, -120,    0
109673,19790125,  -83,    0
109673,19790126, -132,    0
109673,19790127, -138,    0
109673,19790128,  -65,    0
109673,19790129,  -68,    0
109673,19790130, -135,    0
109673,19790131, -125,    0
109673,19790201,  -11,    0
109673,19790202,  -35,    0
109673,19790203,  -25,    0
109673,19790204,  -46,    0
109673,19790205,  -17,    0
109673,19790206,  -43,    0
109673,19790207,  -14,    0
109673,19790208,  -72,    0
109673,19790209,  -54,    0
109673,19790210,  -76,    0
109673,19790211, -135,    0
109673,19790212, -130,    0
109673,19790213,  -75,    0
109673,19790214, -119,    0
109673,19790215, -136,    0
109673,19790216,  -87,    0
109673,19790217,  -43,    0
109673,19790218,   34,    0
109673,19790219,  -11,    0
109673,19790220,   -3,    0
109673,19790221,  -32,    0
109673,19790222,  -59,    0
109673,19790223,  -33,    0
109673,19790224,  -55,    0
109673,19790225,  -46,    0
109673,19790226,    2,    0
109673,19790227,   11,    0
109673,19790228,    4,    0
109673,19790301,    8,    0
109673,19790302,    6,    0
109673,19790303,   31,    0
109673,19790304,   36,    0
109673,19790305,   44,    0
109673,19790306,   56,    0
109673,19790307,   31,    0
109673,19790308,    7,    0
109673,19790309,   23,    0
109673,19790310,   -1,    0
109673,19790311,   11,    0
109673,19790312,    4,    0
109673,19790313,   -7,    0
109673,19790314,  -12,    0
109673,19790315,  -47,    0
109673,19790316,  -35,    0
109673,19790317,  -47,    0
109673,19790318,  -82,    0
109673,19790319,  -55,    0
109673,19790320,   -6,    0
109673,19790321,    8,    0
109673,19790322,    5,    0
109673,19790323,   15,    0
109673,19790324,    2,    0
109673,19790325,   18,    0
109673,19790326,   28,    0
109673,19790327,   57,    0
109673,19790328,   54,    0
109673,19790329,   80,    0
109673,19790330,   34,    0
109673,19790331,   32,    0
109673,19790401,   29,    0
109673,19790402,   35,    0
109673,19790403,   46,    0
109673,19790404,   63,    0
109673,19790405,   58,    0
109673,19790406,   61,    0
109673,19790407,   41,    0
109673,19790408,   46,    0
109673,19790409,   22,    0
109673,19790410,   59,    0
109673,19790411,   88,    0
109673,19790412,   80,    0
109673,19790413,   63,    0
109673,19790414,   51,    0
109673,19790415,   61,    0
109673,19790416,   44,    0
109673,19790417,   46,    0
109673,19790418,   55,    0
109673,19790419,   37,    0
109673,19790420,   49,    0
109673,19790421,   51,    0
109673,19790422,   38,    0
109673,19790423,   63,    0
109673,19790424,   76,    0
109673,19790425,   55,    0
109673,19790426,   61,    0
109673,19790427,   61,    0
109673,19790428,   53,    0
109673,19790429,   47,    0
109673,19790430,   27,    0
109673,19790501,   32,    0
109673,19790502,   34,    0
109673,19790503,   27,    0
109673,19790504,   33,    0
109673,19790505,   22,    0
109673,19790506,   31,    0
109673,19790507,   46,    0
109673,19790508,   47,    0
109673,19790509,   61,    0
109673,19790510,   53,    0
109673,19790511,   67,    0
109673,19790512,   54,    0
109673,19790513,   64,    0
109673,19790514,   73,    0
109673,19790515,   77,    0
109673,19790516,   79,    0
109673,19790517,   88,    0
109673,19790518,   66,    0
109673,19790519,   53,    0
109673,19790520,   75,    0
109673,19790521,  108,    0
109673,19790522,   96,    0
109673,19790523,   98,    0
109673,19790524,  116,    0
109673,19790525,   76,    0
109673,19790526,   84,    0
109673,19790527,  113,    0
109673,19790528,  105,    0
109673,19790529,   95,    0
109673,19790530,  118,    0
109673,19790531,  150,    0
109673,19790601,  132,    0
109673,19790602,  141,    0
109673,19790603,  162,    0
109673,19790604,  182,    0
109673,19790605,  177,    0
109673,19790606,  176,    0
109673,19790607,  140,    0
109673,19790608,  109,    0
109673,19790609,  123,    0
109673,19790610,  118,    0
109673,19790611,  139,    0
109673,19790612,  134,    0
109673,19790613,  135,    0
109673,19790614,  119,    0
109673,19790615,  128,    0
109673,19790616,  110,    0
109673,19790617,  107,    0
109673,19790618,  118,    0
109673,19790619,  147,    0
109673,19790620,  162,    0
109673,19790621,  147,    0
