EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 21-01-2021
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 TG   : mean temperature in 0.1 &#176;C
23-27 Q_TG : Quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station NORWAY, TAKLE (STAID: 1049).
Blended and updated with sources: 109770 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   TG, Q_TG
109770,19790101, -129,    0
109770,19790102,  -90,    0
109770,19790103,  -36,    0
109770,19790104,   -3,    0
109770,19790105,   -1,    0
109770,19790106,   31,    0
109770,19790107,   40,    0
109770,19790108,   19,    0
109770,19790109,   14,    0
109770,19790110,   -8,    0
109770,19790111,  -24,    0
109770,19790112,  -43,    0
109770,19790113,  -17,    0
109770,19790114,  -47,    0
109770,19790115,  -36,    0
109770,19790116,   18,    0
109770,19790117,   24,    0
109770,19790118,   -2,    0
109770,19790119,  -33,    0
109770,19790120,  -27,    0
109770,19790121,  -19,    0
109770,19790122,  -28,    0
109770,19790123,  -18,    0
109770,19790124,  -45,    0
109770,19790125,  -53,    0
109770,19790126,  -53,    0
109770,19790127,  -58,    0
109770,19790128,  -10,    0
109770,19790129,  -21,    0
109770,19790130,  -71,    0
109770,19790131,  -17,    0
109770,19790201,    1,    0
109770,19790202,  -18,    0
109770,19790203,  -18,    0
109770,19790204,   -2,    0
109770,19790205,    0,    0
109770,19790206,   10,    0
109770,19790207,  -12,    0
109770,19790208,  -17,    0
109770,19790209,  -13,    0
109770,19790210,    4,    0
109770,19790211,  -20,    0
109770,19790212,  -47,    0
109770,19790213,  -52,    0
109770,19790214,  -86,    0
109770,19790215,  -64,    0
109770,19790216,  -57,    0
109770,19790217,  -37,    0
109770,19790218,   17,    0
109770,19790219,    2,    0
109770,19790220,   17,    0
109770,19790221,    7,    0
109770,19790222,    2,    0
109770,19790223,   13,    0
109770,19790224,    6,    0
109770,19790225,   32,    0
109770,19790226,   39,    0
109770,19790227,   26,    0
109770,19790228,   14,    0
109770,19790301,   16,    0
109770,19790302,   50,    0
109770,19790303,   45,    0
109770,19790304,   26,    0
109770,19790305,   46,    0
109770,19790306,   53,    0
109770,19790307,   23,    0
109770,19790308,   20,    0
109770,19790309,   27,    0
109770,19790310,   -2,    0
109770,19790311,    7,    0
109770,19790312,   16,    0
109770,19790313,   12,    0
109770,19790314,  -10,    0
109770,19790315,  -36,    0
109770,19790316,  -13,    0
109770,19790317,  -47,    0
109770,19790318,  -52,    0
109770,19790319,   -5,    0
109770,19790320,   13,    0
