EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 21-01-2021
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 TG   : mean temperature in 0.1 &#176;C
23-27 Q_TG : Quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station NORWAY, TAFJORD (STAID: 1051).
Blended and updated with sources: 109748 199163 901218 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   TG, Q_TG
109748,19790101, -141,    0
109748,19790102,  -91,    0
109748,19790103,  -15,    0
109748,19790104,  -27,    0
109748,19790105,  -41,    0
109748,19790106,   10,    0
109748,19790107,   32,    0
109748,19790108,   -7,    0
109748,19790109,    0,    0
109748,19790110,    5,    0
109748,19790111,   -9,    0
109748,19790112,   -4,    0
109748,19790113,  -53,    0
109748,19790114,  -29,    0
109748,19790115,  -27,    0
109748,19790116,   37,    0
109748,19790117,   21,    0
109748,19790118,    9,    0
109748,19790119,  -19,    0
109748,19790120,  -26,    0
109748,19790121,   12,    0
109748,19790122,   -5,    0
109748,19790123,  -17,    0
109748,19790124,  -13,    0
109748,19790125,  -40,    0
109748,19790126,  -80,    0
109748,19790127,  -55,    0
109748,19790128,    9,    0
109748,19790129,   -8,    0
109748,19790130,  -12,    0
109748,19790131,    6,    0
109748,19790201,  -14,    0
109748,19790202,  -47,    0
109748,19790203,  -51,    0
109748,19790204,  -26,    0
109748,19790205,  -15,    0
109748,19790206,   -7,    0
109748,19790207,  -10,    0
109748,19790208,  -18,    0
109748,19790209,  -10,    0
109748,19790210,    3,    0
109748,19790211,  -20,    0
109748,19790212,  -43,    0
109748,19790213,  -82,    0
109748,19790214,  -87,    0
109748,19790215,  -61,    0
109748,19790216,  -44,    0
109748,19790217,   -9,    0
109748,19790218,   18,    0
109748,19790219,   16,    0
109748,19790220,   14,    0
109748,19790221,  -10,    0
109748,19790222,  -34,    0
109748,19790223,   -3,    0
109748,19790224,    6,    0
109748,19790225,   31,    0
109748,19790226,   61,    0
109748,19790227,   27,    0
109748,19790228,   31,    0
109748,19790301,   50,    0
109748,19790302,   69,    0
109748,19790303,   59,    0
109748,19790304,   21,    0
109748,19790305,   11,    0
109748,19790306,   67,    0
109748,19790307,   46,    0
109748,19790308,   29,    0
109748,19790309,   76,    0
109748,19790310,   15,    0
109748,19790311,   14,    0
109748,19790312,   36,    0
109748,19790313,   27,    0
109748,19790314,   -2,    0
109748,19790315,  -25,    0
109748,19790316,  -23,    0
109748,19790317,  -54,    0
109748,19790318,  -62,    0
109748,19790319,  -20,    0
109748,19790320,   38,    0
109748,19790321,   57,    0
109748,19790322,   45,    0
109748,19790323,   35,    0
109748,19790324,   14,    0
109748,19790325,   59,    0
109748,19790326,   78,    0
109748,19790327,   75,    0
109748,19790328,   83,    0
109748,19790329,   57,    0
109748,19790330,   33,    0
109748,19790331,   77,    0
109748,19790401,   70,    0
109748,19790402,   59,    0
109748,19790403,   54,    0
109748,19790404,   73,    0
109748,19790405,   70,    0
109748,19790406,   71,    0
109748,19790407,   55,    0
109748,19790408,   39,    0
109748,19790409,   46,    0
109748,19790410,   70,    0
109748,19790411,  112,    0
109748,19790412,  127,    0
109748,19790413,   39,    0
109748,19790414,   34,    0
109748,19790415,   29,    0
109748,19790416,   29,    0
109748,19790417,   22,    0
109748,19790418,   30,    0
109748,19790419,   66,    0
109748,19790420,   74,    0
109748,19790421,   83,    0
109748,19790422,   72,    0
109748,19790423,   93,    0
109748,19790424,   94,    0
109748,19790425,   85,    0
109748,19790426,   47,    0
109748,19790427,   58,    0
109748,19790428,   52,    0
109748,19790429,   37,    0
109748,19790430,    7,    0
109748,19790501,   40,    0
109748,19790502,   53,    0
109748,19790503,   46,    0
109748,19790504,   54,    0
109748,19790505,   76,    0
109748,19790506,   48,    0
109748,19790507,   40,    0
109748,19790508,   46,    0
109748,19790509,   64,    0
109748,19790510,   42,    0
109748,19790511,   78,    0
109748,19790512,   60,    0
109748,19790513,   71,    0
109748,19790514,  146,    0
109748,19790515,  112,    0
109748,19790516,   90,    0
109748,19790517,  130,    0
109748,19790518,   93,    0
109748,19790519,   61,    0
109748,19790520,   73,    0
109748,19790521,  153,    0
109748,19790522,  141,    0
109748,19790523,  122,    0
109748,19790524,  135,    0
109748,19790525,   73,    0
109748,19790526,  105,    0
109748,19790527,  134,    0
109748,19790528,  116,    0
109748,19790529,  148,    0
109748,19790530,  160,    0
109748,19790531,  139,    0
109748,19790601,  170,    0
109748,19790602,  108,    0
109748,19790603,  151,    0
109748,19790604,  150,    0
109748,19790605,  183,    0
109748,19790606,  155,    0
109748,19790607,  159,    0
109748,19790608,  117,    0
109748,19790609,  103,    0
109748,19790610,  118,    0
109748,19790611,  120,    0
109748,19790612,  116,    0
109748,19790613,  122,    0
109748,19790614,  119,    0
109748,19790615,  134,    0
109748,19790616,  131,    0
109748,19790617,  117,    0
109748,19790618,  100,    0
109748,19790619,  117,    0
109748,19790620,  145,    0
109748,19790621,  154,    0
109748,19790622,  184,    0
109748,19790623,  139,    0
109748,19790624,  169,    0
109748,19790625,  164,    0
109748,19790626,  155,    0
109748,19790627,  120,    0
109748,19790628,  111,    0
109748,19790629,  105,    0
109748,19790630,  104,    0
109748,19790701,   82,    0
109748,19790702,   93,    0
109748,19790703,  101,    0
109748,19790704,  117,    0
109748,19790705,  123,    0
109748,19790706,  114,    0
109748,19790707,  137,    0
109748,19790708,  129,    0
109748,19790709,  130,    0
109748,19790710,  116,    0
109748,19790711,  121,    0
109748,19790712,  130,    0
109748,19790713,  154,    0
109748,19790714,  128,    0
109748,19790715,  103,    0
109748,19790716,  105,    0
109748,19790717,  120,    0
109748,19790718,  124,    0
109748,19790719,  122,    0
109748,19790720,  133,    0
109748,19790721,  118,    0
109748,19790722,  120,    0
109748,19790723,  115,    0
109748,19790724,  121,    0
109748,19790725,  138,    0
109748,19790726,  140,    0
109748,19790727,  152,    0
109748,19790728,  155,    0
109748,19790729,  164,    0
109748,19790730,  191,    0
109748,19790731,  160,    0
109748,19790801,  146,    0
109748,19790802,  139,    0
109748,19790803,  130,    0
109748,19790804,  122,    0
109748,19790805,  109,    0
109748,19790806,  119,    0
109748,19790807,  192,    0
109748,19790808,  205,    0
109748,19790809,  145,    0
109748,19790810,  114,    0
109748,19790811,  127,    0
109748,19790812,  130,    0
109748,19790813,  120,    0
109748,19790814,  197,    0
109748,19790815,  175,    0
109748,19790816,  121,    0
109748,19790817,  118,    0
109748,19790818,  134,    0
109748,19790819,  161,    0
109748,19790820,  133,    0
109748,19790821,  131,    0
109748,19790822,  104,    0
109748,19790823,  115,    0
109748,19790824,  112,    0
109748,19790825,  126,    0
109748,19790826,  124,    0
109748,19790827,  105,    0
109748,19790828,  106,    0
109748,19790829,  125,    0
109748,19790830,  117,    0
109748,19790831,   95,    0
109748,19790901,   88,    0
109748,19790902,  125,    0
109748,19790903,  128,    0
109748,19790904,  111,    0
109748,19790905,  106,    0
109748,19790906,  164,    0
109748,19790907,  153,    0
109748,19790908,  125,    0
109748,19790909,  113,    0
109748,19790910,  147,    0
109748,19790911,   86,    0
109748,19790912,   82,    0
109748,19790913,   88,    0
109748,19790914,   51,    0
109748,19790915,   55,    0
109748,19790916,   93,    0
109748,19790917,  100,    0
109748,19790918,  101,    0
109748,19790919,   94,    0
109748,19790920,   90,    0
109748,19790921,   69,    0
109748,19790922,   73,    0
109748,19790923,   77,    0
109748,19790924,   79,    0
109748,19790925,  153,    0
109748,19790926,  109,    0
109748,19790927,   71,    0
109748,19790928,   62,    0
109748,19790929,   54,    0
109748,19790930,   44,    0
109748,19791001,   65,    0
109748,19791002,   33,    0
109748,19791003,   15,    0
109748,19791004,   44,    0
109748,19791005,  123,    0
109748,19791006,   92,    0
109748,19791007,   98,    0
109748,19791008,  105,    0
109748,19791009,  100,    0
109748,19791010,  129,    0
109748,19791011,   98,    0
109748,19791012,   77,    0
109748,19791013,  101,    0
109748,19791014,   93,    0
109748,19791015,   80,    0
109748,19791016,   72,    0
109748,19791017,   63,    0
109748,19791018,   76,    0
109748,19791019,  105,    0
109748,19791020,   84,    0
109748,19791021,   31,    0
109748,19791022,   12,    0
109748,19791023,    0,    0
109748,19791024,   91,    0
109748,19791025,  122,    0
109748,19791026,  136,    0
109748,19791027,   92,    0
109748,19791028,   88,    0
109748,19791029,   68,    0
109748,19791030,   58,    0
109748,19791031,   69,    0
109748,19791101,   65,    0
109748,19791102,   60,    0
109748,19791103,   86,    0
109748,19791104,   74,    0
109748,19791105,   52,    0
109748,19791106,   37,    0
109748,19791107,   49,    0
109748,19791108,   24,    0
109748,19791109,   22,    0
109748,19791110,    4,    0
109748,19791111,   31,    0
109748,19791112,   13,    0
109748,19791113,  -22,    0
109748,19791114,  -11,    0
109748,19791115,   11,    0
109748,19791116,   21,    0
109748,19791117,   30,    0
109748,19791118,   90,    0
109748,19791119,   72,    0
109748,19791120,    0,    0
109748,19791121,  106,    0
109748,19791122,   56,    0
109748,19791123,   42,    0
109748,19791124,   47,    0
109748,19791125,   37,    0
109748,19791126,   37,    0
109748,19791127,   23,    0
109748,19791128,   50,    0
109748,19791129,   60,    0
109748,19791130,   35,    0
109748,19791201,   42,    0
109748,19791202,   75,    0
109748,19791203,   65,    0
109748,19791204,   58,    0
109748,19791205,   30,    0
109748,19791206,   16,    0
109748,19791207,    3,    0
109748,19791208,  -43,    0
109748,19791209,  -12,    0
109748,19791210,  -15,    0
109748,19791211,  -32,    0
109748,19791212,  -59,    0
109748,19791213,   16,    0
109748,19791214,   15,    0
109748,19791215,  -25,    0
109748,19791216,  -42,    0
109748,19791217,  -40,    0
109748,19791218,  -46,    0
109748,19791219,    4,    0
109748,19791220,   11,    0
109748,19791221,   47,    0
109748,19791222,   21,    0
109748,19791223,  -17,    0
109748,19791224,   25,    0
109748,19791225,   31,    0
109748,19791226,   54,    0
109748,19791227,   35,    0
109748,19791228,   55,    0
109748,19791229,  -25,    0
109748,19791230,  -54,    0
109748,19791231,  -68,    0
109748,19800101,  -73,    0
109748,19800102,  -57,    0
109748,19800103,  -32,    0
109748,19800104,   -2,    0
109748,19800105,   -7,    0
109748,19800106,  -17,    0
109748,19800107,  -10,    0
109748,19800108,   -5,    0
109748,19800109,   -9,    0
109748,19800110,  -38,    0
109748,19800111,    6,    0
109748,19800112,   15,    0
109748,19800113,   72,    0
109748,19800114,    3,    0
109748,19800115,   19,    0
109748,19800116,    5,    0
109748,19800117,   26,    0
109748,19800118,    7,    0
109748,19800119,    9,    0
109748,19800120,   27,    0
109748,19800121,   30,    0
109748,19800122,   23,    0
109748,19800123,   33,    0
109748,19800124,    3,    0
109748,19800125,  -49,    0
109748,19800126,  -43,    0
109748,19800127,  -20,    0
109748,19800128,  -27,    0
109748,19800129,  -20,    0
109748,19800130,  -46,    0
109748,19800131,  -77,    0
109748,19800201,  -61,    0
109748,19800202,  -34,    0
109748,19800203,  -26,    0
109748,19800204,  -35,    0
109748,19800205,  -37,    0
109748,19800206,  -39,    0
109748,19800207,  -48,    0
109748,19800208,  -50,    0
109748,19800209,  -51,    0
109748,19800210,   12,    0
109748,19800211,   -9,    0
109748,19800212,    5,    0
109748,19800213,   44,    0
109748,19800214,   30,    0
109748,19800215,   58,    0
109748,19800216,   16,    0
109748,19800217,   12,    0
109748,19800218,   80,    0
109748,19800219,   96,    0
109748,19800220,   78,    0
109748,19800221,   72,    0
109748,19800222,   86,    0
109748,19800223,   82,    0
109748,19800224,   83,    0
109748,19800225,    9,    0
109748,19800226,    4,    0
109748,19800227,   16,    0
109748,19800228,   33,    0
109748,19800229,   13,    0
109748,19800301,   10,    0
109748,19800302,  -36,    0
109748,19800303,  -22,    0
109748,19800304,  -10,    0
109748,19800305,    9,    0
109748,19800306,   67,    0
109748,19800307,   59,    0
109748,19800308,   55,    0
109748,19800309,   52,    0
109748,19800310,   45,    0
109748,19800311,   45,    0
109748,19800312,   55,    0
109748,19800313,   55,    0
109748,19800314,   31,    0
109748,19800315,   26,    0
109748,19800316,   36,    0
109748,19800317,   26,    0
109748,19800318,  -11,    0
109748,19800319,  -19,    0
109748,19800320,   19,    0
109748,19800321,    3,    0
109748,19800322,   -6,    0
109748,19800323,   -9,    0
109748,19800324,    3,    0
109748,19800325,   30,    0
109748,19800326,   37,    0
109748,19800327,   19,    0
109748,19800328,   33,    0
109748,19800329,   33,    0
109748,19800330,   26,    0
109748,19800331,   30,    0
109748,19800401,   59,    0
109748,19800402,   85,    0
109748,19800403,   40,    0
109748,19800404,   23,    0
109748,19800405,   54,    0
109748,19800406,   56,    0
109748,19800407,   61,    0
