EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 21-01-2021
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 TG   : mean temperature in 0.1 &#176;C
23-27 Q_TG : Quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station NORWAY, ORLAND (STAID: 1055).
Blended and updated with sources: 109606 901241 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   TG, Q_TG
109606,19790101,  -73,    0
109606,19790102,  -37,    0
109606,19790103,  -56,    0
109606,19790104,  -52,    0
109606,19790105,  -69,    0
109606,19790106,  -34,    0
109606,19790107,   28,    0
109606,19790108,   15,    0
109606,19790109,    2,    0
109606,19790110,  -30,    0
109606,19790111,  -45,    0
109606,19790112,  -14,    0
109606,19790113,  -47,    0
109606,19790114,  -15,    0
109606,19790115,  -25,    0
109606,19790116,  -15,    0
109606,19790117,   13,    0
109606,19790118,  -12,    0
109606,19790119,  -35,    0
109606,19790120,  -23,    0
109606,19790121,   12,    0
109606,19790122,   17,    0
109606,19790123,    1,    0
109606,19790124,  -32,    0
109606,19790125, -101,    0
109606,19790126, -132,    0
109606,19790127, -125,    0
109606,19790128,  -77,    0
109606,19790129,    0,    0
109606,19790130,  -65,    0
109606,19790131,  -58,    0
109606,19790201,  -39,    0
109606,19790202,  -18,    0
109606,19790203,  -54,    0
109606,19790204,  -50,    0
109606,19790205,   -6,    0
109606,19790206,   19,    0
109606,19790207,   -1,    0
109606,19790208,  -15,    0
109606,19790209,    4,    0
109606,19790210,  -12,    0
109606,19790211,    1,    0
109606,19790212,   -2,    0
109606,19790213, -114,    0
109606,19790214, -118,    0
109606,19790215,  -14,    0
109606,19790216,   10,    0
109606,19790217,  -23,    0
109606,19790218,   -3,    0
109606,19790219,   -5,    0
109606,19790220,  -15,    0
109606,19790221,  -15,    0
109606,19790222,  -18,    0
109606,19790223,   12,    0
109606,19790224,   25,    0
109606,19790225,   42,    0
109606,19790226,   31,    0
109606,19790227,   -1,    0
109606,19790228,   29,    0
109606,19790301,   26,    0
109606,19790302,   15,    0
109606,19790303,   34,    0
109606,19790304,    7,    0
109606,19790305,   11,    0
109606,19790306,   26,    0
109606,19790307,   19,    0
109606,19790308,   19,    0
109606,19790309,   43,    0
109606,19790310,    9,    0
109606,19790311,    6,    0
109606,19790312,   15,    0
109606,19790313,    3,    0
109606,19790314,  -27,    0
109606,19790315,  -29,    0
109606,19790316,  -64,    0
109606,19790317, -100,    0
109606,19790318,  -52,    0
109606,19790319,   -5,    0
109606,19790320,    6,    0
109606,19790321,   26,    0
109606,19790322,   20,    0
109606,19790323,   21,    0
109606,19790324,   19,    0
109606,19790325,   31,    0
109606,19790326,   51,    0
109606,19790327,   60,    0
109606,19790328,   62,    0
109606,19790329,   58,    0
109606,19790330,   29,    0
109606,19790331,   39,    0
109606,19790401,   37,    0
109606,19790402,   51,    0
109606,19790403,   35,    0
109606,19790404,   46,    0
109606,19790405,   47,    0
109606,19790406,   47,    0
109606,19790407,   27,    0
109606,19790408,   13,    0
109606,19790409,    4,    0
109606,19790410,   16,    0
109606,19790411,   48,    0
109606,19790412,   62,    0
109606,19790413,   14,    0
109606,19790414,    1,    0
109606,19790415,   -1,    0
109606,19790416,   -8,    0
109606,19790417,   19,    0
109606,19790418,   37,    0
109606,19790419,   52,    0
109606,19790420,   58,    0
109606,19790421,   59,    0
109606,19790422,   71,    0
109606,19790423,   76,    0
109606,19790424,   75,    0
109606,19790425,   70,    0
109606,19790426,   60,    0
109606,19790427,   53,    0
109606,19790428,   38,    0
109606,19790429,   32,    0
109606,19790430,   27,    0
109606,19790501,   34,    0
109606,19790502,   48,    0
109606,19790503,   24,    0
109606,19790504,   44,    0
109606,19790505,   40,    0
109606,19790506,   41,    0
109606,19790507,   35,    0
109606,19790508,   31,    0
109606,19790509,   46,    0
109606,19790510,   44,    0
109606,19790511,   50,    0
109606,19790512,   48,    0
109606,19790513,   44,    0
109606,19790514,   96,    0
109606,19790515,   85,    0
109606,19790516,   82,    0
109606,19790517,   97,    0
109606,19790518,   78,    0
109606,19790519,   60,    0
109606,19790520,   69,    0
109606,19790521,   97,    0
109606,19790522,  127,    0
109606,19790523,  112,    0
109606,19790524,  113,    0
109606,19790525,  100,    0
109606,19790526,   80,    0
109606,19790527,  107,    0
109606,19790528,   91,    0
109606,19790529,  101,    0
109606,19790530,  120,    0
109606,19790531,  122,    0
109606,19790601,  157,    0
109606,19790602,   94,    0
109606,19790603,  135,    0
109606,19790604,  118,    0
109606,19790605,  158,    0
109606,19790606,  166,    0
109606,19790607,  131,    0
109606,19790608,   88,    0
109606,19790609,   77,    0
109606,19790610,   84,    0
109606,19790611,   94,    0
109606,19790612,   90,    0
109606,19790613,  119,    0
109606,19790614,  105,    0
109606,19790615,  101,    0
109606,19790616,   96,    0
109606,19790617,   86,    0
109606,19790618,   79,    0
109606,19790619,   95,    0
109606,19790620,  134,    0
109606,19790621,  137,    0
109606,19790622,  134,    0
109606,19790623,  139,    0
109606,19790624,  176,    0
109606,19790625,  157,    0
109606,19790626,  150,    0
109606,19790627,  110,    0
109606,19790628,  112,    0
109606,19790629,   97,    0
109606,19790630,   93,    0
109606,19790701,   70,    0
109606,19790702,   87,    0
109606,19790703,   74,    0
109606,19790704,   96,    0
109606,19790705,  104,    0
109606,19790706,  113,    0
109606,19790707,  138,    0
109606,19790708,  111,    0
109606,19790709,  116,    0
109606,19790710,  108,    0
109606,19790711,  109,    0
109606,19790712,  126,    0
