EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 21-01-2021
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 TG   : mean temperature in 0.1 &#176;C
23-27 Q_TG : Quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station NORWAY, FRUHOLMEN FYR (STAID: 1059).
Blended and updated with sources: 109461 901055 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   TG, Q_TG
109461,19790101,  -22,    0
109461,19790102,  -84,    0
109461,19790103,  -36,    0
109461,19790104,  -32,    0
109461,19790105,  -35,    0
109461,19790106,  -54,    0
109461,19790107,  -73,    0
109461,19790108,  -81,    0
109461,19790109,  -53,    0
109461,19790110,  -38,    0
109461,19790111,  -57,    0
109461,19790112,  -47,    0
109461,19790113,  -40,    0
109461,19790114,  -14,    0
109461,19790115,   -4,    0
109461,19790116,  -30,    0
109461,19790117,  -12,    0
109461,19790118,   39,    0
109461,19790119,   16,    0
109461,19790120,   -9,    0
109461,19790121,  -16,    0
109461,19790122,  -63,    0
109461,19790123, -101,    0
109461,19790124, -110,    0
109461,19790125, -104,    0
109461,19790126, -103,    0
109461,19790127, -156,    0
109461,19790128,  -78,    0
109461,19790129,  -28,    0
109461,19790130,  -49,    0
109461,19790131,  -43,    0
109461,19790201,  -39,    0
109461,19790202,  -43,    0
109461,19790203,  -40,    0
109461,19790204,  -45,    0
109461,19790205,  -64,    0
109461,19790206, -129,    0
109461,19790207, -121,    0
109461,19790208,  -83,    0
109461,19790209,  -88,    0
109461,19790210,  -68,    0
109461,19790211,  -81,    0
109461,19790212,  -82,    0
109461,19790213,  -78,    0
109461,19790214,   -5,    0
109461,19790215,   12,    0
109461,19790216,   21,    0
109461,19790217,   29,    0
109461,19790218,   30,    0
109461,19790219,   21,    0
109461,19790220,   23,    0
109461,19790221,   42,    0
109461,19790222,   43,    0
109461,19790223,   -3,    0
109461,19790224,  -53,    0
109461,19790225,  -79,    0
109461,19790226,   28,    0
109461,19790227,  -45,    0
109461,19790228,  -58,    0
109461,19790301,  -33,    0
109461,19790302,   13,    0
109461,19790303,    2,    0
109461,19790304,   10,    0
109461,19790305,   10,    0
109461,19790306,   -8,    0
109461,19790307,   16,    0
109461,19790308,   20,    0
109461,19790309,    5,    0
109461,19790310,   12,    0
109461,19790311,   -3,    0
109461,19790312,   -3,    0
109461,19790313,   -6,    0
109461,19790314,  -47,    0
109461,19790315,  -73,    0
109461,19790316,  -61,    0
109461,19790317,  -69,    0
109461,19790318,  -77,    0
109461,19790319,  -83,    0
109461,19790320, -104,    0
109461,19790321,  -83,    0
109461,19790322,  -45,    0
109461,19790323,  -41,    0
109461,19790324,  -40,    0
109461,19790325,  -26,    0
109461,19790326,   -1,    0
109461,19790327,   27,    0
109461,19790328,   39,    0
109461,19790329,   21,    0
109461,19790330,   27,    0
109461,19790331,   19,    0
109461,19790401,   17,    0
109461,19790402,   17,    0
109461,19790403,   16,    0
109461,19790404,   16,    0
109461,19790405,    9,    0
109461,19790406,    9,    0
109461,19790407,   21,    0
109461,19790408,  -13,    0
109461,19790409,   -2,    0
109461,19790410,  -22,    0
109461,19790411,  -23,    0
109461,19790412,  -37,    0
109461,19790413,  -50,    0
109461,19790414,  -52,    0
109461,19790415,  -32,    0
109461,19790416,  -15,    0
109461,19790417,  -22,    0
109461,19790418,  -51,    0
109461,19790419,  -38,    0
109461,19790420,    2,    0
109461,19790421,   28,    0
109461,19790422,   32,    0
109461,19790423,   41,    0
109461,19790424,   11,    0
109461,19790425,   19,    0
109461,19790426,   44,    0
109461,19790427,   19,    0
109461,19790428,   29,    0
109461,19790429,   34,    0
109461,19790430,   32,    0
109461,19790501,   53,    0
109461,19790502,   50,    0
109461,19790503,   44,    0
109461,19790504,   57,    0
109461,19790505,   47,    0
109461,19790506,   42,    0
109461,19790507,   43,    0
109461,19790508,   30,    0
109461,19790509,   33,    0
109461,19790510,   48,    0
109461,19790511,   21,    0
109461,19790512,   31,    0
109461,19790513,   12,    0
109461,19790514,    4,    0
109461,19790515,    8,    0
109461,19790516,    7,    0
109461,19790517,    5,    0
109461,19790518,   16,    0
109461,19790519,   24,    0
109461,19790520,   26,    0
109461,19790521,   18,    0
109461,19790522,   32,    0
109461,19790523,   27,    0
109461,19790524,   38,    0
109461,19790525,   52,    0
109461,19790526,   82,    0
109461,19790527,   55,    0
109461,19790528,   43,    0
109461,19790529,   15,    0
109461,19790530,   25,    0
109461,19790531,   33,    0
109461,19790601,   50,    0
109461,19790602,   63,    0
109461,19790603,   54,    0
109461,19790604,   34,    0
109461,19790605,   42,    0
109461,19790606,   40,    0
109461,19790607,   35,    0
109461,19790608,   49,    0
109461,19790609,   36,    0
109461,19790610,   31,    0
109461,19790611,   31,    0
109461,19790612,   48,    0
109461,19790613,   54,    0
109461,19790614,   79,    0
109461,19790615,  124,    0
109461,19790616,   64,    0
109461,19790617,   62,    0
109461,19790618,   55,    0
109461,19790619,   51,    0
109461,19790620,   48,    0
109461,19790621,   47,    0
109461,19790622,   66,    0
109461,19790623,   81,    0
109461,19790624,   85,    0
109461,19790625,  112,    0
109461,19790626,  183,    0
109461,19790627,   86,    0
109461,19790628,   71,    0
109461,19790629,   72,    0
109461,19790630,  123,    0
109461,19790701,  122,    0
109461,19790702,  112,    0
109461,19790703,  141,    0
109461,19790704,   94,    0
109461,19790705,   79,    0
109461,19790706,   95,    0
109461,19790707,  141,    0
109461,19790708,  164,    0
109461,19790709,  171,    0
109461,19790710,  126,    0
109461,19790711,  128,    0
109461,19790712,   88,    0
109461,19790713,  139,    0
109461,19790714,  169,    0
109461,19790715,  189,    0
109461,19790716,  116,    0
109461,19790717,  121,    0
109461,19790718,  120,    0
109461,19790719,  141,    0
109461,19790720,  110,    0
109461,19790721,  102,    0
109461,19790722,   92,    0
109461,19790723,   82,    0
109461,19790724,   80,    0
109461,19790725,   80,    0
109461,19790726,   80,    0
109461,19790727,   84,    0
109461,19790728,   83,    0
109461,19790729,   81,    0
109461,19790730,   83,    0
109461,19790731,   77,    0
109461,19790801,   72,    0
109461,19790802,   78,    0
109461,19790803,   79,    0
109461,19790804,   83,    0
109461,19790805,   92,    0
109461,19790806,   97,    0
109461,19790807,   97,    0
109461,19790808,  126,    0
109461,19790809,  148,    0
109461,19790810,  128,    0
109461,19790811,  148,    0
109461,19790812,  158,    0
109461,19790813,  172,    0
109461,19790814,  178,    0
109461,19790815,  173,    0
109461,19790816,  121,    0
109461,19790817,  116,    0
109461,19790818,  109,    0
109461,19790819,  107,    0
109461,19790820,  110,    0
109461,19790821,   99,    0
109461,19790822,   96,    0
109461,19790823,   86,    0
109461,19790824,   94,    0
109461,19790825,   74,    0
109461,19790826,   75,    0
109461,19790827,   75,    0
109461,19790828,   81,    0
109461,19790829,   96,    0
109461,19790830,   97,    0
109461,19790831,   85,    0
109461,19790901,   67,    0
109461,19790902,   61,    0
109461,19790903,   54,    0
109461,19790904,   68,    0
109461,19790905,   72,    0
109461,19790906,   87,    0
109461,19790907,  112,    0
109461,19790908,  107,    0
109461,19790909,   95,    0
109461,19790910,   89,    0
109461,19790911,   71,    0
109461,19790912,   69,    0
109461,19790913,   78,    0
109461,19790914,   74,    0
109461,19790915,   73,    0
109461,19790916,   82,    0
109461,19790917,   66,    0
109461,19790918,   70,    0
109461,19790919,   81,    0
109461,19790920,   81,    0
109461,19790921,   77,    0
109461,19790922,   90,    0
109461,19790923,   68,    0
109461,19790924,   55,    0
109461,19790925,   64,    0
109461,19790926,   93,    0
109461,19790927,   71,    0
109461,19790928,   65,    0
109461,19790929,   51,    0
109461,19790930,   44,    0
109461,19791001,   41,    0
