EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 21-01-2021
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 TG   : mean temperature in 0.1 &#176;C
23-27 Q_TG : Quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station NORWAY, SLETTNES FYR (STAID: 2216).
Blended and updated with sources: 109779 901078 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   TG, Q_TG
109779,19790101,  -32,    0
109779,19790102, -105,    0
109779,19790103,  -46,    0
109779,19790104,  -44,    0
109779,19790105,  -77,    0
109779,19790106,  -98,    0
109779,19790107,  -96,    0
109779,19790108, -104,    0
109779,19790109,  -48,    0
109779,19790110,  -64,    0
109779,19790111,  -81,    0
109779,19790112,  -84,    0
109779,19790113,  -60,    0
109779,19790114,  -26,    0
109779,19790115,  -18,    0
109779,19790116,  -53,    0
109779,19790117,  -58,    0
109779,19790118,   23,    0
109779,19790119,   17,    0
109779,19790120,  -29,    0
109779,19790121,  -47,    0
109779,19790122,  -77,    0
109779,19790123, -137,    0
109779,19790124, -122,    0
109779,19790125, -137,    0
109779,19790126, -113,    0
109779,19790127, -167,    0
109779,19790128,  -91,    0
109779,19790129,  -28,    0
109779,19790130,  -50,    0
109779,19790131,  -78,    0
109779,19790201,  -81,    0
109779,19790202,  -31,    0
109779,19790203,  -42,    0
109779,19790204,  -46,    0
109779,19790205,  -64,    0
109779,19790206, -126,    0
109779,19790207, -137,    0
109779,19790208, -121,    0
109779,19790209, -129,    0
109779,19790210,  -75,    0
109779,19790211,  -93,    0
109779,19790212, -102,    0
109779,19790213,  -92,    0
109779,19790214,  -47,    0
109779,19790215,   -9,    0
109779,19790216,    9,    0
109779,19790217,   26,    0
109779,19790218,   29,    0
109779,19790219,   -7,    0
109779,19790220,  -13,    0
109779,19790221,   31,    0
109779,19790222,   42,    0
109779,19790223,   -8,    0
109779,19790224,  -74,    0
109779,19790225, -121,    0
109779,19790226,  -11,    0
109779,19790227,  -43,    0
109779,19790228,  -86,    0
109779,19790301,  -46,    0
109779,19790302,   -2,    0
109779,19790303,  -17,    0
109779,19790304,    2,    0
109779,19790305,  -22,    0
109779,19790306,  -46,    0
109779,19790307,  -16,    0
109779,19790308,    8,    0
109779,19790309,  -20,    0
109779,19790310,   -5,    0
109779,19790311,  -20,    0
109779,19790312,  -20,    0
109779,19790313,  -14,    0
109779,19790314,  -50,    0
109779,19790315,  -78,    0
109779,19790316,  -71,    0
109779,19790317,  -71,    0
109779,19790318,  -90,    0
109779,19790319, -113,    0
109779,19790320, -143,    0
109779,19790321, -112,    0
109779,19790322,  -83,    0
109779,19790323,  -53,    0
109779,19790324,  -56,    0
109779,19790325,  -28,    0
109779,19790326,   -1,    0
109779,19790327,   21,    0
109779,19790328,   23,    0
109779,19790329,   16,    0
109779,19790330,   14,    0
109779,19790331,   10,    0
109779,19790401,   10,    0
109779,19790402,    5,    0
109779,19790403,  -12,    0
