EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 21-01-2021
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 TG   : mean temperature in 0.1 &#176;C
23-27 Q_TG : Quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station NORWAY, OBRESTAD FYR (STAID: 2669).
Blended and updated with sources: 110574 901412 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   TG, Q_TG
110574,19790101, -128,    0
110574,19790102, -117,    0
110574,19790103,  -55,    0
110574,19790104,  -38,    0
110574,19790105,  -36,    0
110574,19790106,   34,    0
110574,19790107,   53,    0
110574,19790108,   41,    0
110574,19790109,   35,    0
110574,19790110,   17,    0
110574,19790111,   -4,    0
110574,19790112,  -15,    0
110574,19790113,    2,    0
110574,19790114,  -31,    0
110574,19790115,  -22,    0
110574,19790116,    2,    0
110574,19790117,  -14,    0
110574,19790118,  -26,    0
110574,19790119,  -17,    0
110574,19790120,  -55,    0
110574,19790121,  -38,    0
110574,19790122,  -50,    0
110574,19790123,  -61,    0
110574,19790124,  -68,    0
110574,19790125,  -55,    0
110574,19790126,  -87,    0
110574,19790127,  -40,    0
110574,19790128,  -12,    0
110574,19790129,  -19,    0
110574,19790130,  -66,    0
110574,19790131,  -28,    0
110574,19790201,   20,    0
110574,19790202,    1,    0
110574,19790203,    5,    0
110574,19790204,   21,    0
110574,19790205,    0,    0
110574,19790206,  -28,    0
110574,19790207,   12,    0
110574,19790208,  -14,    0
110574,19790209,  -20,    0
110574,19790210,  -45,    0
110574,19790211,  -63,    0
110574,19790212,  -72,    0
110574,19790213,  -61,    0
110574,19790214, -125,    0
110574,19790215, -109,    0
110574,19790216,  -66,    0
110574,19790217,  -35,    0
110574,19790218,  -11,    0
110574,19790219,  -15,    0
110574,19790220,    3,    0
110574,19790221,  -18,    0
110574,19790222,  -30,    0
110574,19790223,   -6,    0
110574,19790224,  -26,    0
110574,19790225,    3,    0
110574,19790226,   30,    0
110574,19790227,   26,    0
110574,19790228,   31,    0
110574,19790301,    1,    0
110574,19790302,   43,    0
110574,19790303,   48,    0
110574,19790304,   41,    0
110574,19790305,   48,    0
110574,19790306,   44,    0
110574,19790307,   20,    0
110574,19790308,   39,    0
110574,19790309,   36,    0
110574,19790310,   20,    0
110574,19790311,   16,    0
110574,19790312,   14,    0
110574,19790313,    1,    0
110574,19790314,    0,    0
110574,19790315,  -21,    0
110574,19790316,  -24,    0
110574,19790317,  -33,    0
110574,19790318,  -63,    0
110574,19790319,  -23,    0
110574,19790320,   11,    0
110574,19790321,    9,    0
110574,19790322,   12,    0
110574,19790323,   19,    0
110574,19790324,   35,    0
110574,19790325,   15,    0
110574,19790326,   44,    0
110574,19790327,   25,    0
110574,19790328,   52,    0
110574,19790329,   48,    0
110574,19790330,   25,    0
110574,19790331,   25,    0
110574,19790401,   29,    0
110574,19790402,   14,    0
110574,19790403,   29,    0
110574,19790404,   31,    0
110574,19790405,   47,    0
110574,19790406,   38,    0
110574,19790407,   41,    0
110574,19790408,   35,    0
110574,19790409,   34,    0
110574,19790410,   52,    0
110574,19790411,  100,    0
110574,19790412,   74,    0
110574,19790413,   50,    0
110574,19790414,   41,    0
110574,19790415,   37,    0
110574,19790416,   25,    0
110574,19790417,   19,    0
110574,19790418,   27,    0
110574,19790419,   37,    0
110574,19790420,   44,    0
110574,19790421,   41,    0
110574,19790422,   40,    0
110574,19790423,   50,    0
110574,19790424,   68,    0
110574,19790425,   47,    0
110574,19790426,   49,    0
110574,19790427,   47,    0
110574,19790428,   41,    0
110574,19790429,   49,    0
110574,19790430,   25,    0
110574,19790501,   24,    0
110574,19790502,   35,    0
110574,19790503,   28,    0
110574,19790504,   34,    0
110574,19790505,   34,    0
110574,19790506,   43,    0
110574,19790507,   34,    0
110574,19790508,   34,    0
110574,19790509,   35,    0
110574,19790510,   52,    0
110574,19790511,   43,    0
110574,19790512,   57,    0
110574,19790513,   66,    0
110574,19790514,   70,    0
110574,19790515,   67,    0
110574,19790516,  101,    0
110574,19790517,   72,    0
110574,19790518,   71,    0
110574,19790519,   51,    0
110574,19790520,   71,    0
110574,19790521,   88,    0
110574,19790522,   80,    0
110574,19790523,   94,    0
110574,19790524,   83,    0
110574,19790525,   69,    0
110574,19790526,   83,    0
110574,19790527,   82,    0
110574,19790528,   81,    0
110574,19790529,   87,    0
110574,19790530,   87,    0
110574,19790531,  162,    0
110574,19790601,   98,    0
110574,19790602,  104,    0
110574,19790603,  164,    0
110574,19790604,  158,    0
110574,19790605,  154,    0
110574,19790606,  137,    0
110574,19790607,  109,    0
110574,19790608,   99,    0
110574,19790609,   93,    0
110574,19790610,   85,    0
110574,19790611,   89,    0
110574,19790612,   91,    0
110574,19790613,   80,    0
110574,19790614,   84,    0
