EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 21-01-2021
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 TG   : mean temperature in 0.1 &#176;C
23-27 Q_TG : Quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station NORWAY, SLATTEROY FYR (STAID: 2685).
Blended and updated with sources: 110727 901406 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   TG, Q_TG
110727,19790101,  -86,    0
110727,19790102,  -60,    0
110727,19790103,  -27,    0
110727,19790104,  -14,    0
110727,19790105,  -12,    0
110727,19790106,   39,    0
110727,19790107,   55,    0
110727,19790108,   32,    0
110727,19790109,   29,    0
110727,19790110,   13,    0
110727,19790111,   15,    0
110727,19790112,   10,    0
110727,19790113,   20,    0
110727,19790114,    7,    0
110727,19790115,  -15,    0
110727,19790116,   17,    0
110727,19790117,   36,    0
110727,19790118,   10,    0
110727,19790119,   18,    0
110727,19790120,    0,    0
110727,19790121,   10,    0
110727,19790122,  -17,    0
110727,19790123,  -24,    0
110727,19790124,  -36,    0
110727,19790125,  -24,    0
110727,19790126,  -38,    0
110727,19790127,  -36,    0
110727,19790128,   -8,    0
110727,19790129,   -1,    0
110727,19790130,  -23,    0
110727,19790131,  -15,    0
110727,19790201,   10,    0
110727,19790202,   -3,    0
110727,19790203,    1,    0
110727,19790204,    7,    0
110727,19790205,   14,    0
110727,19790206,    2,    0
110727,19790207,    5,    0
110727,19790208,    9,    0
110727,19790209,    0,    0
110727,19790210,   12,    0
110727,19790211,  -12,    0
110727,19790212,  -20,    0
110727,19790213,   -5,    0
110727,19790214,  -65,    0
110727,19790215,  -20,    0
110727,19790216,  -13,    0
110727,19790217,    3,    0
110727,19790218,   17,    0
110727,19790219,    3,    0
110727,19790220,   11,    0
110727,19790221,   -5,    0
110727,19790222,  -11,    0
110727,19790223,    4,    0
110727,19790224,   11,    0
110727,19790225,   12,    0
110727,19790226,   31,    0
110727,19790227,   26,    0
110727,19790228,   11,    0
110727,19790301,   12,    0
110727,19790302,   36,    0
110727,19790303,   50,    0
110727,19790304,   34,    0
110727,19790305,   49,    0
110727,19790306,   47,    0
110727,19790307,   26,    0
110727,19790308,   31,    0
110727,19790309,   19,    0
110727,19790310,   19,    0
110727,19790311,   15,    0
110727,19790312,   23,    0
110727,19790313,   17,    0
110727,19790314,   -5,    0
110727,19790315,   -4,    0
110727,19790316,   -3,    0
110727,19790317,  -20,    0
110727,19790318,  -45,    0
110727,19790319,   -2,    0
110727,19790320,   20,    0
110727,19790321,   17,    0
110727,19790322,   17,    0
110727,19790323,   14,    0
110727,19790324,   28,    0
110727,19790325,   29,    0
110727,19790326,   49,    0
110727,19790327,   37,    0
110727,19790328,   45,    0
110727,19790329,   49,    0
110727,19790330,   31,    0
110727,19790331,   31,    0
110727,19790401,   38,    0
110727,19790402,   32,    0
110727,19790403,   51,    0
110727,19790404,   56,    0
110727,19790405,   54,    0
110727,19790406,   50,    0
110727,19790407,   41,    0
110727,19790408,   45,    0
110727,19790409,   40,    0
110727,19790410,   43,    0
110727,19790411,  115,    0
110727,19790412,   98,    0
110727,19790413,   61,    0
110727,19790414,   50,    0
110727,19790415,   38,    0
110727,19790416,   35,    0
110727,19790417,   34,    0
110727,19790418,   35,    0
110727,19790419,   48,    0
110727,19790420,   52,    0
110727,19790421,   50,    0
110727,19790422,   44,    0
110727,19790423,   64,    0
110727,19790424,   67,    0
110727,19790425,   51,    0
110727,19790426,   49,    0
110727,19790427,   52,    0
110727,19790428,   43,    0
110727,19790429,   48,    0
110727,19790430,   29,    0
110727,19790501,   30,    0
110727,19790502,   39,    0
110727,19790503,   33,    0
110727,19790504,   29,    0
110727,19790505,   37,    0
110727,19790506,   45,    0
110727,19790507,   43,    0
110727,19790508,   46,    0
110727,19790509,   53,    0
110727,19790510,   50,    0
110727,19790511,   52,    0
110727,19790512,   60,    0
110727,19790513,   75,    0
110727,19790514,   78,    0
110727,19790515,   77,    0
110727,19790516,   72,    0
110727,19790517,   73,    0
110727,19790518,   64,    0
110727,19790519,   56,    0
110727,19790520,   62,    0
110727,19790521,  117,    0
110727,19790522,   88,    0
110727,19790523,   89,    0
110727,19790524,   98,    0
110727,19790525,   67,    0
110727,19790526,   82,    0
