EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 21-01-2021
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 TG   : mean temperature in 0.1 &#176;C
23-27 Q_TG : Quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station NORWAY, NORDOYAN FYR (STAID: 2727).
Blended and updated with sources: 111113 901262 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   TG, Q_TG
111113,19790101,  -33,    0
111113,19790102,  -33,    0
111113,19790103,  -40,    0
111113,19790104,  -51,    0
111113,19790105,  -52,    0
111113,19790106,  -21,    0
111113,19790107,   45,    0
111113,19790108,   27,    0
111113,19790109,   18,    0
111113,19790110,   -1,    0
111113,19790111,  -33,    0
111113,19790112,  -17,    0
111113,19790113,  -40,    0
111113,19790114,  -19,    0
111113,19790115,  -33,    0
111113,19790116,  -11,    0
111113,19790117,   33,    0
111113,19790118,   23,    0
111113,19790119,  -10,    0
111113,19790120,    0,    0
111113,19790121,   22,    0
111113,19790122,   32,    0
111113,19790123,   18,    0
111113,19790124,  -22,    0
111113,19790125,  -94,    0
111113,19790126, -134,    0
111113,19790127, -108,    0
111113,19790128,  -42,    0
111113,19790129,  -14,    0
111113,19790130,  -24,    0
111113,19790131,  -32,    0
111113,19790201,  -38,    0
111113,19790202,  -29,    0
111113,19790203,  -21,    0
111113,19790204,  -30,    0
111113,19790205,    3,    0
111113,19790206,   15,    0
111113,19790207,   -1,    0
111113,19790208,   -8,    0
111113,19790209,    4,    0
111113,19790210,  -10,    0
111113,19790211,   -5,    0
111113,19790212,   -7,    0
111113,19790213,  -63,    0
111113,19790214,  -55,    0
111113,19790215,   15,    0
111113,19790216,   28,    0
111113,19790217,    3,    0
111113,19790218,    5,    0
111113,19790219,   -9,    0
111113,19790220,    7,    0
111113,19790221,   16,    0
111113,19790222,    6,    0
111113,19790223,   15,    0
111113,19790224,   28,    0
111113,19790225,   50,    0
111113,19790226,   38,    0
111113,19790227,    6,    0
111113,19790228,   34,    0
111113,19790301,   31,    0
111113,19790302,   22,    0
111113,19790303,   43,    0
111113,19790304,   22,    0
111113,19790305,   11,    0
111113,19790306,   24,    0
111113,19790307,   33,    0
111113,19790308,   26,    0
111113,19790309,   40,    0
111113,19790310,   25,    0
111113,19790311,   14,    0
111113,19790312,   18,    0
111113,19790313,    6,    0
111113,19790314,    7,    0
111113,19790315,  -12,    0
111113,19790316,  -61,    0
111113,19790317,  -86,    0
111113,19790318,  -26,    0
111113,19790319,  -16,    0
111113,19790320,    6,    0
111113,19790321,   14,    0
111113,19790322,   15,    0
111113,19790323,   13,    0
111113,19790324,    8,    0
111113,19790325,   20,    0
111113,19790326,   36,    0
111113,19790327,   44,    0
111113,19790328,   48,    0
111113,19790329,   50,    0
111113,19790330,   29,    0
