EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 21-01-2021
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 TG   : mean temperature in 0.1 &#176;C
23-27 Q_TG : Quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station NORWAY, TORSVAG FYR (STAID: 2750).
Blended and updated with sources: 111320 901033 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   TG, Q_TG
111320,19790101,  -16,    0
111320,19790102,  -47,    0
111320,19790103,  -61,    0
111320,19790104,    1,    0
111320,19790105,   -6,    0
111320,19790106,  -29,    0
111320,19790107,  -32,    0
111320,19790108,  -35,    0
111320,19790109,  -18,    0
111320,19790110,  -29,    0
111320,19790111,  -30,    0
111320,19790112,  -13,    0
111320,19790113,  -11,    0
111320,19790114,  -15,    0
111320,19790115,  -21,    0
111320,19790116,    2,    0
111320,19790117,    5,    0
111320,19790118,   40,    0
111320,19790119,   36,    0
111320,19790120,   -3,    0
111320,19790121,   -1,    0
111320,19790122,  -15,    0
111320,19790123,  -45,    0
111320,19790124,  -50,    0
111320,19790125,  -47,    0
111320,19790126, -123,    0
111320,19790127, -104,    0
111320,19790128,  -62,    0
111320,19790129,  -35,    0
111320,19790130,  -31,    0
111320,19790131,   -3,    0
111320,19790201,   -3,    0
111320,19790202,  -31,    0
111320,19790203,  -52,    0
111320,19790204,  -49,    0
111320,19790205,  -83,    0
111320,19790206,  -74,    0
111320,19790207,  -75,    0
111320,19790208,  -50,    0
111320,19790209,  -43,    0
111320,19790210,  -51,    0
111320,19790211,  -74,    0
111320,19790212,  -69,    0
111320,19790213,  -60,    0
111320,19790214,   -8,    0
111320,19790215,   18,    0
111320,19790216,   33,    0
111320,19790217,   35,    0
111320,19790218,   25,    0
111320,19790219,   11,    0
111320,19790220,   18,    0
111320,19790221,   44,    0
111320,19790222,   46,    0
111320,19790223,    8,    0
111320,19790224,  -44,    0
111320,19790225,  -17,    0
111320,19790226,   32,    0
111320,19790227,  -34,    0
111320,19790228,  -22,    0
111320,19790301,    6,    0
111320,19790302,   26,    0
111320,19790303,   32,    0
111320,19790304,   17,    0
111320,19790305,   -2,    0
111320,19790306,   -1,    0
111320,19790307,   29,    0
111320,19790308,   10,    0
111320,19790309,   23,    0
111320,19790310,   37,    0
111320,19790311,   17,    0
111320,19790312,   10,    0
111320,19790313,    6,    0
111320,19790314,  -18,    0
111320,19790315,  -70,    0
111320,19790316,  -59,    0
111320,19790317,  -50,    0
111320,19790318,  -71,    0
111320,19790319,  -59,    0
111320,19790320,  -71,    0
111320,19790321,  -47,    0
111320,19790322,  -29,    0
111320,19790323,  -23,    0
111320,19790324,  -10,    0
111320,19790325,   -4,    0
111320,19790326,   20,    0
111320,19790327,   53,    0
111320,19790328,   59,    0
111320,19790329,   49,    0
111320,19790330,   34,    0
111320,19790331,   36,    0
111320,19790401,   42,    0
111320,19790402,   28,    0
111320,19790403,   19,    0
111320,19790404,   20,    0
111320,19790405,   26,    0
111320,19790406,   29,    0
111320,19790407,   27,    0
111320,19790408,  -21,    0
111320,19790409,  -12,    0
111320,19790410,  -11,    0
111320,19790411,  -13,    0
111320,19790412,  -16,    0
111320,19790413,  -40,    0
111320,19790414,  -65,    0
111320,19790415,  -33,    0
111320,19790416,  -23,    0
111320,19790417,  -14,    0
111320,19790418,  -20,    0
111320,19790419,   -2,    0
111320,19790420,   34,    0
111320,19790421,   43,    0
111320,19790422,   39,    0
111320,19790423,   44,    0
111320,19790424,   47,    0
111320,19790425,   46,    0
111320,19790426,   49,    0
111320,19790427,   30,    0
111320,19790428,   42,    0
111320,19790429,   49,    0
111320,19790430,   51,    0
111320,19790501,   60,    0
111320,19790502,   56,    0
111320,19790503,   61,    0
111320,19790504,   69,    0
111320,19790505,   62,    0
111320,19790506,   62,    0
111320,19790507,   51,    0
111320,19790508,   47,    0
111320,19790509,   55,    0
111320,19790510,   39,    0
111320,19790511,   24,    0
111320,19790512,   14,    0
111320,19790513,    4,    0
111320,19790514,    3,    0
111320,19790515,   12,    0
111320,19790516,   14,    0
111320,19790517,   35,    0
111320,19790518,   50,    0
111320,19790519,   38,    0
111320,19790520,   17,    0
111320,19790521,   29,    0
111320,19790522,   56,    0
111320,19790523,   61,    0
111320,19790524,   71,    0
111320,19790525,   62,    0
111320,19790526,  110,    0
111320,19790527,   48,    0
111320,19790528,   42,    0
111320,19790529,   23,    0
111320,19790530,   56,    0
111320,19790531,   52,    0
111320,19790601,   75,    0
111320,19790602,   71,    0
111320,19790603,   64,    0
111320,19790604,   47,    0
111320,19790605,   61,    0
111320,19790606,   62,    0
111320,19790607,   71,    0
111320,19790608,   54,    0
111320,19790609,   54,    0
111320,19790610,   50,    0
111320,19790611,   53,    0
111320,19790612,   58,    0
111320,19790613,   64,    0
111320,19790614,  106,    0
111320,19790615,  113,    0
111320,19790616,   79,    0
111320,19790617,   78,    0
111320,19790618,   71,    0
111320,19790619,   60,    0
111320,19790620,   69,    0
111320,19790621,   69,    0
111320,19790622,  116,    0
111320,19790623,  103,    0
111320,19790624,   78,    0
111320,19790625,  139,    0
111320,19790626,  153,    0
111320,19790627,   76,    0
111320,19790628,   81,    0
111320,19790629,   87,    0
111320,19790630,  128,    0
111320,19790701,  130,    0
111320,19790702,  112,    0
111320,19790703,  118,    0
111320,19790704,   86,    0
111320,19790705,   95,    0
111320,19790706,  100,    0
111320,19790707,  166,    0
111320,19790708,  172,    0
111320,19790709,  212,    0
111320,19790710,  196,    0
111320,19790711,  116,    0
111320,19790712,  101,    0
111320,19790713,  126,    0
111320,19790714,  170,    0
111320,19790715,  165,    0
111320,19790716,  174,    0
111320,19790717,  116,    0
111320,19790718,  128,    0
111320,19790719,  158,    0
111320,19790720,  127,    0
111320,19790721,  119,    0
111320,19790722,  155,    0
111320,19790723,  152,    0
111320,19790724,  110,    0
111320,19790725,   92,    0
111320,19790726,   87,    0
111320,19790727,   85,    0
111320,19790728,   82,    0
111320,19790729,   89,    0
111320,19790730,   84,    0
111320,19790731,   82,    0
111320,19790801,   80,    0
111320,19790802,   75,    0
111320,19790803,   81,    0
111320,19790804,   76,    0
111320,19790805,   88,    0
111320,19790806,   88,    0
111320,19790807,  113,    0
111320,19790808,  140,    0
111320,19790809,  164,    0
111320,19790810,  184,    0
111320,19790811,  120,    0
111320,19790812,  158,    0
111320,19790813,  176,    0
111320,19790814,  169,    0
111320,19790815,  176,    0
111320,19790816,  124,    0
111320,19790817,  126,    0
111320,19790818,  117,    0
111320,19790819,  135,    0
111320,19790820,  142,    0
111320,19790821,  117,    0
111320,19790822,  125,    0
111320,19790823,   88,    0
111320,19790824,   79,    0
111320,19790825,   68,    0
111320,19790826,   75,    0
111320,19790827,   87,    0
111320,19790828,  107,    0
111320,19790829,   92,    0
111320,19790830,  102,    0
111320,19790831,   89,    0
111320,19790901,   67,    0
111320,19790902,   57,    0
111320,19790903,   63,    0
111320,19790904,   94,    0
111320,19790905,   85,    0
111320,19790906,  107,    0
111320,19790907,  141,    0
111320,19790908,  115,    0
111320,19790909,   91,    0
111320,19790910,  107,    0
111320,19790911,   72,    0
111320,19790912,   90,    0
111320,19790913,   76,    0
111320,19790914,   70,    0
111320,19790915,   78,    0
111320,19790916,   75,    0
111320,19790917,   57,    0
111320,19790918,   76,    0
111320,19790919,   89,    0
111320,19790920,   70,    0
111320,19790921,   85,    0
111320,19790922,   79,    0
111320,19790923,   59,    0
111320,19790924,   52,    0
111320,19790925,   81,    0
111320,19790926,   83,    0
111320,19790927,   61,    0
111320,19790928,   61,    0
111320,19790929,   56,    0
111320,19790930,   36,    0
111320,19791001,   44,    0
111320,19791002,   60,    0
111320,19791003,   53,    0
111320,19791004,   35,    0
111320,19791005,   56,    0
111320,19791006,   45,    0
111320,19791007,   44,    0
111320,19791008,   45,    0
111320,19791009,   33,    0
111320,19791010,   27,    0
111320,19791011,   14,    0
111320,19791012,    8,    0
111320,19791013,   17,    0
111320,19791014,   20,    0
111320,19791015,   20,    0
111320,19791016,    4,    0
111320,19791017,   19,    0
111320,19791018,   24,    0
111320,19791019,   59,    0
111320,19791020,   53,    0
111320,19791021,   11,    0
111320,19791022,    9,    0
111320,19791023,   55,    0
111320,19791024,   75,    0
111320,19791025,   61,    0
111320,19791026,   72,    0
111320,19791027,   69,    0
111320,19791028,   55,    0
111320,19791029,   36,    0
111320,19791030,   21,    0
111320,19791031,   13,    0
111320,19791101,   13,    0
111320,19791102,    3,    0
111320,19791103,   26,    0
111320,19791104,   33,    0
111320,19791105,   49,    0
111320,19791106,   46,    0
111320,19791107,   36,    0
111320,19791108,   29,    0
111320,19791109,   29,    0
111320,19791110,   24,    0
111320,19791111,   16,    0
111320,19791112,    8,    0
111320,19791113,    8,    0
111320,19791114,   16,    0
111320,19791115,    8,    0
111320,19791116,   15,    0
111320,19791117,   15,    0
111320,19791118,   24,    0
111320,19791119,   24,    0
111320,19791120,   32,    0
111320,19791121,   41,    0
111320,19791122,   32,    0
111320,19791123,    1,    0
111320,19791124,   17,    0
111320,19791125,   12,    0
111320,19791126,   14,    0
111320,19791127,    3,    0
111320,19791128,   -1,    0
111320,19791129,   -6,    0
111320,19791130,   -4,    0
111320,19791201,   10,    0
111320,19791202,   10,    0
111320,19791203,   37,    0
111320,19791204,   41,    0
111320,19791205,   22,    0
111320,19791206,   -7,    0
111320,19791207,  -32,    0
111320,19791208,  -18,    0
111320,19791209,  -20,    0
111320,19791210,  -16,    0
111320,19791211,  -11,    0
111320,19791212,    8,    0
111320,19791213,   13,    0
111320,19791214,   -7,    0
111320,19791215,   -1,    0
111320,19791216,  -28,    0
111320,19791217,  -60,    0
111320,19791218,  -28,    0
111320,19791219,    6,    0
111320,19791220,   32,    0
111320,19791221,   51,    0
111320,19791222,   62,    0
111320,19791223,   44,    0
111320,19791224,   26,    0
111320,19791225,   28,    0
111320,19791226,   16,    0
111320,19791227,    0,    0
111320,19791228,    0,    0
111320,19791229,   13,    0
111320,19791230,   -6,    0
111320,19791231,  -10,    0
111320,19800101,  -29,    0
111320,19800102,  -33,    0
111320,19800103,  -15,    0
111320,19800104,   16,    0
111320,19800105,  -18,    0
111320,19800106,   11,    0
111320,19800107,   24,    0
111320,19800108,   28,    0
111320,19800109,   21,    0
111320,19800110,    7,    0
111320,19800111,   26,    0
111320,19800112,   14,    0
111320,19800113,   31,    0
111320,19800114,    4,    0
111320,19800115,  -53,    0
111320,19800116,  -22,    0
111320,19800117,    1,    0
111320,19800118,    5,    0
111320,19800119,    8,    0
111320,19800120,   36,    0
111320,19800121,   29,    0
111320,19800122,   15,    0
111320,19800123,  -21,    0
111320,19800124,  -50,    0
111320,19800125,  -38,    0
111320,19800126,  -56,    0
111320,19800127,  -77,    0
111320,19800128,  -89,    0
111320,19800129,  -80,    0
111320,19800130,  -81,    0
111320,19800131,  -59,    0
111320,19800201,  -90,    0
111320,19800202,  -97,    0
111320,19800203,  -89,    0
111320,19800204,  -49,    0
111320,19800205,  -36,    0
111320,19800206,  -20,    0
111320,19800207,  -37,    0
111320,19800208,  -56,    0
111320,19800209,  -55,    0
111320,19800210,  -54,    0
111320,19800211,  -37,    0
111320,19800212,  -17,    0
111320,19800213,  -12,    0
111320,19800214,  -11,    0
111320,19800215,  -19,    0
111320,19800216,    0,    0
111320,19800217,  -29,    0
111320,19800218,   38,    0
111320,19800219,   32,    0
111320,19800220,   51,    0
111320,19800221,   49,    0
111320,19800222,   63,    0
111320,19800223,   40,    0
111320,19800224,   59,    0
111320,19800225,   49,    0
111320,19800226,   52,    0
111320,19800227,   -1,    0
111320,19800228,   21,    0
111320,19800229,  -30,    0
111320,19800301,  -34,    0
111320,19800302,  -43,    0
111320,19800303,  -40,    0
111320,19800304,  -33,    0
111320,19800305,  -40,    0
111320,19800306,   -4,    0
111320,19800307,   17,    0
111320,19800308,   14,    0
111320,19800309,    9,    0
111320,19800310,   11,    0
111320,19800311,   20,    0
111320,19800312,   -2,    0
111320,19800313,   -5,    0
111320,19800314,   20,    0
111320,19800315,   24,    0
111320,19800316,   19,    0
111320,19800317,    8,    0
111320,19800318,   -4,    0
111320,19800319,   12,    0
111320,19800320,    3,    0
111320,19800321,    0,    0
111320,19800322,   -1,    0
111320,19800323,   -1,    0
111320,19800324,  -11,    0
111320,19800325,  -18,    0
111320,19800326,    5,    0
111320,19800327,    9,    0
111320,19800328,   -2,    0
111320,19800329,  -13,    0
111320,19800330,  -10,    0
111320,19800331,    4,    0
111320,19800401,   15,    0
111320,19800402,    6,    0
