EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 21-01-2021
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 TG   : mean temperature in 0.1 &#176;C
23-27 Q_TG : Quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station NORWAY, MAKKAUR FYR (STAID: 2754).
Blended and updated with sources: 111356 901092 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   TG, Q_TG
111356,19790101,  -35,    0
111356,19790102, -109,    0
111356,19790103,  -69,    0
111356,19790104,  -43,    0
111356,19790105,  -84,    0
111356,19790106,  -98,    0
111356,19790107, -107,    0
111356,19790108,  -97,    0
111356,19790109,  -64,    0
111356,19790110,  -64,    0
111356,19790111,  -83,    0
111356,19790112,  -85,    0
111356,19790113,  -88,    0
111356,19790114,  -37,    0
111356,19790115,  -16,    0
111356,19790116,  -66,    0
111356,19790117,  -82,    0
111356,19790118,   13,    0
111356,19790119,   18,    0
111356,19790120,  -28,    0
111356,19790121,  -44,    0
111356,19790122,  -86,    0
111356,19790123, -120,    0
111356,19790124, -139,    0
111356,19790125, -148,    0
111356,19790126, -114,    0
111356,19790127, -168,    0
111356,19790128,  -73,    0
111356,19790129,  -35,    0
111356,19790130,  -60,    0
111356,19790131,  -93,    0
111356,19790201,  -82,    0
111356,19790202,  -34,    0
111356,19790203,  -50,    0
111356,19790204,  -63,    0
111356,19790205,  -79,    0
111356,19790206, -130,    0
111356,19790207, -136,    0
111356,19790208, -143,    0
111356,19790209, -117,    0
111356,19790210,  -79,    0
111356,19790211, -110,    0
111356,19790212, -116,    0
111356,19790213,  -98,    0
111356,19790214,  -64,    0
111356,19790215,    0,    0
111356,19790216,    0,    0
111356,19790217,   30,    0
111356,19790218,   27,    0
111356,19790219,   -9,    0
111356,19790220,  -14,    0
111356,19790221,   10,    0
111356,19790222,   40,    0
111356,19790223,    4,    0
111356,19790224,  -67,    0
111356,19790225, -119,    0
