EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 21-01-2021
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 TG   : mean temperature in 0.1 &#176;C
23-27 Q_TG : Quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station NORWAY, SVINOY FYR (STAID: 5046).
Blended and updated with sources: 133652 901205 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   TG, Q_TG
133652,19790101,  -78,    0
133652,19790102,  -36,    0
133652,19790103,    7,    0
133652,19790104,   24,    0
133652,19790105,   21,    0
133652,19790106,   42,    0
133652,19790107,   38,    0
133652,19790108,   25,    0
133652,19790109,   27,    0
133652,19790110,   17,    0
133652,19790111,   15,    0
133652,19790112,    7,    0
133652,19790113,   15,    0
133652,19790114,   20,    0
133652,19790115,    4,    0
133652,19790116,   36,    0
133652,19790117,   38,    0
133652,19790118,   23,    0
133652,19790119,   21,    0
133652,19790120,    5,    0
133652,19790121,   32,    0
133652,19790122,   20,    0
133652,19790123,   14,    0
133652,19790124,   15,    0
133652,19790125,  -15,    0
133652,19790126,  -30,    0
133652,19790127,   -6,    0
133652,19790128,    6,    0
133652,19790129,   10,    0
133652,19790130,    7,    0
133652,19790131,   21,    0
133652,19790201,   21,    0
133652,19790202,   -1,    0
133652,19790203,    0,    0
133652,19790204,   15,    0
133652,19790205,   14,    0
133652,19790206,   24,    0
133652,19790207,    3,    0
133652,19790208,   10,    0
133652,19790209,   14,    0
133652,19790210,   13,    0
133652,19790211,    5,    0
133652,19790212,    3,    0
133652,19790213,   -8,    0
133652,19790214,  -53,    0
133652,19790215,    0,    0
133652,19790216,    9,    0
133652,19790217,    3,    0
133652,19790218,   30,    0
133652,19790219,   22,    0
133652,19790220,   33,    0
133652,19790221,   27,    0
133652,19790222,   17,    0
133652,19790223,   22,    0
133652,19790224,   31,    0
133652,19790225,   45,    0
133652,19790226,   32,    0
133652,19790227,   18,    0
133652,19790228,   28,    0
133652,19790301,   23,    0
133652,19790302,   53,    0
133652,19790303,   36,    0
133652,19790304,   26,    0
133652,19790305,   24,    0
133652,19790306,   51,    0
133652,19790307,   23,    0
133652,19790308,   34,    0
133652,19790309,   38,    0
133652,19790310,   14,    0
133652,19790311,   29,    0
133652,19790312,   37,    0
133652,19790313,   17,    0
133652,19790314,   14,    0
133652,19790315,    8,    0
133652,19790316,    1,    0
133652,19790317,  -35,    0
133652,19790318,  -24,    0
133652,19790319,   14,    0
133652,19790320,   15,    0
133652,19790321,   30,    0
133652,19790322,   27,    0
133652,19790323,   31,    0
133652,19790324,   36,    0
133652,19790325,   26,    0
133652,19790326,   36,    0
133652,19790327,   42,    0
133652,19790328,   46,    0
133652,19790329,   37,    0
133652,19790330,   23,    0
133652,19790331,   37,    0
133652,19790401,   36,    0
133652,19790402,   40,    0
133652,19790403,   48,    0
133652,19790404,   45,    0
133652,19790405,   39,    0
133652,19790406,   45,    0
133652,19790407,   39,    0
133652,19790408,   29,    0
133652,19790409,   36,    0
133652,19790410,   31,    0
133652,19790411,   71,    0
133652,19790412,   61,    0
133652,19790413,   28,    0
133652,19790414,   25,    0
133652,19790415,   25,    0
133652,19790416,   19,    0
133652,19790417,   23,    0
133652,19790418,   38,    0
133652,19790419,   54,    0
133652,19790420,   62,    0
133652,19790421,   59,    0
133652,19790422,   48,    0
133652,19790423,   54,    0
133652,19790424,   67,    0
133652,19790425,   52,    0
133652,19790426,   49,    0
133652,19790427,   57,    0
133652,19790428,   50,    0
133652,19790429,   33,    0
133652,19790430,   28,    0
133652,19790501,   31,    0
133652,19790502,   39,    0
133652,19790503,   34,    0
133652,19790504,   34,    0
133652,19790505,   23,    0
133652,19790506,   27,    0
133652,19790507,   32,    0
133652,19790508,   45,    0
133652,19790509,   42,    0
133652,19790510,   37,    0
133652,19790511,   59,    0
133652,19790512,   49,    0
133652,19790513,   72,    0
133652,19790514,   78,    0
133652,19790515,   67,    0
133652,19790516,   72,    0
133652,19790517,   63,    0
133652,19790518,   63,    0
133652,19790519,   44,    0
133652,19790520,   59,    0
133652,19790521,   97,    0
133652,19790522,  100,    0
133652,19790523,   68,    0
133652,19790524,   88,    0
133652,19790525,   64,    0
133652,19790526,   71,    0
133652,19790527,   75,    0
133652,19790528,   83,    0
133652,19790529,  102,    0
133652,19790530,  100,    0
133652,19790531,   72,    0
133652,19790601,  103,    0
133652,19790602,   82,    0
133652,19790603,   91,    0
133652,19790604,  111,    0
133652,19790605,  133,    0
133652,19790606,  141,    0
133652,19790607,  106,    0
133652,19790608,   83,    0
133652,19790609,   75,    0
133652,19790610,   87,    0
133652,19790611,   91,    0
133652,19790612,   88,    0
133652,19790613,   95,    0
133652,19790614,   93,    0
133652,19790615,  100,    0
133652,19790616,   95,    0
133652,19790617,   94,    0
133652,19790618,   97,    0
133652,19790619,  102,    0
133652,19790620,  114,    0
133652,19790621,  108,    0
133652,19790622,  120,    0
133652,19790623,  121,    0
133652,19790624,  116,    0
133652,19790625,  113,    0
133652,19790626,  119,    0
133652,19790627,   96,    0
133652,19790628,   98,    0
133652,19790629,   91,    0
133652,19790630,   88,    0
133652,19790701,   83,    0
133652,19790702,   93,    0
133652,19790703,   94,    0
133652,19790704,  112,    0
133652,19790705,  114,    0
133652,19790706,  111,    0
133652,19790707,  120,    0
133652,19790708,  109,    0
133652,19790709,  113,    0
133652,19790710,  116,    0
133652,19790711,  120,    0
133652,19790712,  135,    0
133652,19790713,  142,    0
133652,19790714,  104,    0
133652,19790715,  108,    0
133652,19790716,  102,    0
133652,19790717,  123,    0
133652,19790718,  117,    0
133652,19790719,  115,    0
133652,19790720,  115,    0
133652,19790721,  110,    0
133652,19790722,  105,    0
133652,19790723,  105,    0
133652,19790724,  112,    0
133652,19790725,  118,    0
133652,19790726,  122,    0
133652,19790727,  122,    0
133652,19790728,  127,    0
133652,19790729,  130,    0
133652,19790730,  138,    0
133652,19790731,  134,    0
133652,19790801,  128,    0
133652,19790802,  127,    0
133652,19790803,  104,    0
133652,19790804,  109,    0
133652,19790805,  111,    0
133652,19790806,  130,    0
133652,19790807,  144,    0
133652,19790808,  144,    0
133652,19790809,  118,    0
133652,19790810,  106,    0
133652,19790811,  108,    0
133652,19790812,  113,    0
133652,19790813,  116,    0
133652,19790814,  128,    0
133652,19790815,  123,    0
133652,19790816,  124,    0
133652,19790817,  123,    0
133652,19790818,  122,    0
133652,19790819,  120,    0
133652,19790820,  127,    0
133652,19790821,  121,    0
133652,19790822,  120,    0
133652,19790823,  124,    0
133652,19790824,  113,    0
133652,19790825,  112,    0
133652,19790826,  110,    0
133652,19790827,   98,    0
133652,19790828,  102,    0
133652,19790829,  125,    0
133652,19790830,  104,    0
133652,19790831,   88,    0
133652,19790901,   96,    0
133652,19790902,  112,    0
133652,19790903,  128,    0
133652,19790904,   99,    0
133652,19790905,  117,    0
133652,19790906,  148,    0
133652,19790907,  140,    0
133652,19790908,  116,    0
133652,19790909,  104,    0
133652,19790910,  112,    0
133652,19790911,   94,    0
133652,19790912,   91,    0
133652,19790913,   83,    0
133652,19790914,   73,    0
133652,19790915,   82,    0
133652,19790916,   98,    0
133652,19790917,  105,    0
133652,19790918,  104,    0
133652,19790919,  102,    0
133652,19790920,   94,    0
133652,19790921,   89,    0
133652,19790922,   79,    0
133652,19790923,   85,    0
133652,19790924,   96,    0
133652,19790925,  118,    0
133652,19790926,   92,    0
133652,19790927,   80,    0
133652,19790928,   81,    0
133652,19790929,   67,    0
133652,19790930,   72,    0
133652,19791001,   78,    0
133652,19791002,   86,    0
133652,19791003,   77,    0
133652,19791004,   69,    0
133652,19791005,   87,    0
133652,19791006,   87,    0
133652,19791007,   90,    0
133652,19791008,  115,    0
133652,19791009,  109,    0
133652,19791010,  114,    0
133652,19791011,   97,    0
133652,19791012,  103,    0
133652,19791013,   95,    0
133652,19791014,   91,    0
133652,19791015,   94,    0
133652,19791016,   85,    0
133652,19791017,   69,    0
133652,19791018,   81,    0
133652,19791019,   87,    0
133652,19791020,   75,    0
133652,19791021,   50,    0
133652,19791022,   56,    0
133652,19791023,   73,    0
133652,19791024,   83,    0
133652,19791025,  124,    0
133652,19791026,   96,    0
133652,19791027,   86,    0
133652,19791028,   76,    0
133652,19791029,   72,    0
133652,19791030,   68,    0
133652,19791031,   78,    0
133652,19791101,   79,    0
133652,19791102,   78,    0
133652,19791103,   84,    0
133652,19791104,   85,    0
133652,19791105,   61,    0
133652,19791106,   44,    0
133652,19791107,   51,    0
133652,19791108,   49,    0
133652,19791109,   41,    0
133652,19791110,   29,    0
133652,19791111,   33,    0
133652,19791112,   43,    0
133652,19791113,   30,    0
133652,19791114,   23,    0
133652,19791115,   26,    0
133652,19791116,   28,    0
133652,19791117,   35,    0
133652,19791118,   84,    0
133652,19791119,   76,    0
133652,19791120,   55,    0
133652,19791121,   78,    0
133652,19791122,   75,    0
133652,19791123,   61,    0
133652,19791124,   46,    0
133652,19791125,   55,    0
