EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 21-01-2021
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 TG   : mean temperature in 0.1 &#176;C
23-27 Q_TG : Quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station NORWAY, VIGRA (STAID: 5054).
Blended and updated with sources: 133748 199170 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   TG, Q_TG
133748,19790101,  -94,    0
133748,19790102,  -46,    0
133748,19790103,   -4,    0
133748,19790104,    7,    0
133748,19790105,    5,    0
133748,19790106,   32,    0
133748,19790107,   37,    0
133748,19790108,    9,    0
133748,19790109,   16,    0
133748,19790110,   11,    0
133748,19790111,   -2,    0
133748,19790112,   -2,    0
133748,19790113,   -6,    0
133748,19790114,   -5,    0
133748,19790115,  -12,    0
133748,19790116,   24,    0
133748,19790117,   20,    0
133748,19790118,   10,    0
133748,19790119,    1,    0
133748,19790120,  -17,    0
133748,19790121,    2,    0
133748,19790122,   12,    0
133748,19790123,    3,    0
133748,19790124,    1,    0
133748,19790125,  -23,    0
133748,19790126,  -44,    0
133748,19790127,  -21,    0
133748,19790128,   -4,    0
133748,19790129,  -15,    0
133748,19790130,  -27,    0
133748,19790131,    7,    0
133748,19790201,    7,    0
133748,19790202,   -7,    0
133748,19790203,  -23,    0
133748,19790204,   -3,    0
133748,19790205,    5,    0
133748,19790206,   18,    0
133748,19790207,   -8,    0
133748,19790208,   -7,    0
133748,19790209,    7,    0
133748,19790210,    7,    0
133748,19790211,   -2,    0
133748,19790212,   -6,    0
133748,19790213,  -24,    0
133748,19790214,  -65,    0
133748,19790215,  -24,    0
133748,19790216,  -19,    0
133748,19790217,  -19,    0
133748,19790218,   28,    0
133748,19790219,   10,    0
133748,19790220,   13,    0
133748,19790221,   11,    0
133748,19790222,   12,    0
133748,19790223,   19,    0
133748,19790224,   27,    0
133748,19790225,   43,    0
133748,19790226,   33,    0
133748,19790227,   20,    0
133748,19790228,   34,    0
133748,19790301,   29,    0
133748,19790302,   61,    0
133748,19790303,   38,    0
133748,19790304,   25,    0
133748,19790305,   21,    0
133748,19790306,   49,    0
133748,19790307,   25,    0
133748,19790308,   27,    0
133748,19790309,   56,    0
133748,19790310,    8,    0
133748,19790311,   20,    0
133748,19790312,   34,    0
133748,19790313,   22,    0
133748,19790314,   -3,    0
133748,19790315,  -10,    0
133748,19790316,   -9,    0
133748,19790317,  -42,    0
133748,19790318,  -37,    0
133748,19790319,   10,    0
133748,19790320,    3,    0
133748,19790321,   27,    0
133748,19790322,   26,    0
133748,19790323,   14,    0
133748,19790324,   26,    0
133748,19790325,   27,    0
133748,19790326,   27,    0
133748,19790327,   45,    0
133748,19790328,   36,    0
133748,19790329,   41,    0
133748,19790330,   27,    0
133748,19790331,   43,    0
133748,19790401,   44,    0
133748,19790402,   53,    0
133748,19790403,   49,    0
133748,19790404,   48,    0
133748,19790405,   39,    0
133748,19790406,   46,    0
133748,19790407,   28,    0
133748,19790408,   30,    0
133748,19790409,   38,    0
133748,19790410,   30,    0
133748,19790411,   69,    0
133748,19790412,   69,    0
133748,19790413,   26,    0
133748,19790414,   29,    0
133748,19790415,   28,    0
133748,19790416,   20,    0
133748,19790417,   24,    0
133748,19790418,   40,    0
133748,19790419,   58,    0
133748,19790420,   70,    0
133748,19790421,   64,    0
133748,19790422,   57,    0
133748,19790423,   75,    0
133748,19790424,   91,    0
133748,19790425,   68,    0
133748,19790426,   53,    0
133748,19790427,   65,    0
133748,19790428,   48,    0
133748,19790429,   29,    0
133748,19790430,   25,    0
133748,19790501,   37,    0
133748,19790502,   52,    0
133748,19790503,   42,    0
133748,19790504,   39,    0
133748,19790505,   35,    0
133748,19790506,   31,    0
133748,19790507,   33,    0
133748,19790508,   44,    0
133748,19790509,   49,    0
133748,19790510,   42,    0
133748,19790511,   56,    0
133748,19790512,   54,    0
133748,19790513,   76,    0
133748,19790514,   91,    0
133748,19790515,   79,    0
133748,19790516,   80,    0
133748,19790517,   70,    0
133748,19790518,   74,    0
133748,19790519,   58,    0
133748,19790520,   84,    0
133748,19790521,  128,    0
133748,19790522,  115,    0
133748,19790523,   88,    0
133748,19790524,  104,    0
133748,19790525,   73,    0
133748,19790526,   82,    0
133748,19790527,   96,    0
133748,19790528,  106,    0
133748,19790529,  119,    0
133748,19790530,  127,    0
133748,19790531,   93,    0
133748,19790601,  107,    0
133748,19790602,  100,    0
133748,19790603,  114,    0
133748,19790604,  144,    0
133748,19790605,  158,    0
133748,19790606,  166,    0
133748,19790607,  124,    0
