EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 21-01-2021
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 TG   : mean temperature in 0.1 &#176;C
23-27 Q_TG : Quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station NORWAY, SULA FYR (STAID: 5138).
Blended and updated with sources: 134744 134756 901228 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   TG, Q_TG
134744,19790101,  -34,    0
134744,19790102,   -9,    0
134744,19790103,  -25,    0
134744,19790104,  -29,    0
134744,19790105,  -18,    0
134744,19790106,   21,    0
134744,19790107,   38,    0
134744,19790108,   21,    0
134744,19790109,   11,    0
134744,19790110,   18,    0
134744,19790111,  -17,    0
134744,19790112,   -5,    0
134744,19790113,  -26,    0
134744,19790114,    2,    0
134744,19790115,   -2,    0
134744,19790116,    8,    0
134744,19790117,   27,    0
134744,19790118,   16,    0
134744,19790119,    3,    0
134744,19790120,    4,    0
134744,19790121,   28,    0
134744,19790122,   42,    0
134744,19790123,   19,    0
134744,19790124,   -7,    0
134744,19790125,  -61,    0
134744,19790126,  -79,    0
134744,19790127,  -70,    0
134744,19790128,   -7,    0
134744,19790129,   10,    0
134744,19790130,  -15,    0
134744,19790131,  -23,    0
134744,19790201,  -15,    0
134744,19790202,    5,    0
134744,19790203,  -12,    0
134744,19790204,    2,    0
134744,19790205,   14,    0
134744,19790206,   24,    0
134744,19790207,   17,    0
134744,19790208,  -12,    0
134744,19790209,   14,    0
134744,19790210,    5,    0
134744,19790211,   10,    0
134744,19790212,   11,    0
134744,19790213,  -32,    0
134744,19790214,  -72,    0
134744,19790215,   13,    0
134744,19790216,   24,    0
134744,19790217,  -14,    0
134744,19790218,    1,    0
134744,19790219,   15,    0
134744,19790220,   14,    0
134744,19790221,    4,    0
134744,19790222,    8,    0
134744,19790223,   34,    0
134744,19790224,   34,    0
134744,19790225,   44,    0
134744,19790226,   39,    0
134744,19790227,   11,    0
134744,19790228,   39,    0
134744,19790301,   34,    0
134744,19790302,   31,    0
134744,19790303,   45,    0
134744,19790304,   24,    0
134744,19790305,   21,    0
134744,19790306,   34,    0
134744,19790307,   31,    0
134744,19790308,   30,    0
134744,19790309,   45,    0
134744,19790310,   21,    0
134744,19790311,   13,    0
134744,19790312,   18,    0
134744,19790313,   18,    0
134744,19790314,    4,    0
134744,19790315,   -1,    0
134744,19790316,  -26,    0
134744,19790317,  -70,    0
134744,19790318,  -17,    0
134744,19790319,    4,    0
134744,19790320,    6,    0
134744,19790321,   27,    0
134744,19790322,   26,    0
134744,19790323,   28,    0
134744,19790324,   38,    0
134744,19790325,   35,    0
134744,19790326,   43,    0
134744,19790327,   51,    0
134744,19790328,   51,    0
134744,19790329,   48,    0
134744,19790330,   40,    0
134744,19790331,   44,    0
134744,19790401,   36,    0
134744,19790402,   55,    0
134744,19790403,   42,    0
134744,19790404,   46,    0
134744,19790405,   58,    0
134744,19790406,   54,    0
134744,19790407,   40,    0
134744,19790408,   32,    0
134744,19790409,   22,    0
134744,19790410,   31,    0
134744,19790411,   42,    0
134744,19790412,   52,    0
134744,19790413,   37,    0
134744,19790414,   22,    0
134744,19790415,   16,    0
134744,19790416,   18,    0
134744,19790417,   32,    0
134744,19790418,   39,    0
134744,19790419,   51,    0
134744,19790420,   56,    0
134744,19790421,   57,    0
134744,19790422,   59,    0
134744,19790423,   64,    0
134744,19790424,   73,    0
134744,19790425,   67,    0
134744,19790426,   72,    0
134744,19790427,   59,    0
134744,19790428,   48,    0
134744,19790429,   44,    0
134744,19790430,   28,    0
134744,19790501,   38,    0
134744,19790502,   56,    0
134744,19790503,   45,    0
134744,19790504,   42,    0
134744,19790505,   48,    0
134744,19790506,   44,    0
134744,19790507,   42,    0
134744,19790508,   45,    0
134744,19790509,   48,    0
134744,19790510,   52,    0
134744,19790511,   57,    0
134744,19790512,   50,    0
134744,19790513,   40,    0
134744,19790514,   60,    0
134744,19790515,   75,    0
134744,19790516,   73,    0
134744,19790517,   72,    0
134744,19790518,   71,    0
134744,19790519,   60,    0
134744,19790520,   65,    0
134744,19790521,   92,    0
134744,19790522,   94,    0
134744,19790523,   77,    0
134744,19790524,   98,    0
134744,19790525,   78,    0
134744,19790526,   77,    0
134744,19790527,   96,    0
134744,19790528,   87,    0
134744,19790529,   93,    0
134744,19790530,  105,    0
134744,19790531,   85,    0
134744,19790601,  130,    0
134744,19790602,   89,    0
134744,19790603,  110,    0
134744,19790604,  102,    0
134744,19790605,  114,    0
134744,19790606,  142,    0
134744,19790607,  116,    0
134744,19790608,   83,    0
134744,19790609,   78,    0
134744,19790610,   84,    0
134744,19790611,   93,    0
134744,19790612,   98,    0
134744,19790613,  110,    0
134744,19790614,   99,    0
134744,19790615,  100,    0
134744,19790616,   97,    0
134744,19790617,   90,    0
134744,19790618,   85,    0
134744,19790619,   93,    0
134744,19790620,  110,    0
134744,19790621,  105,    0
134744,19790622,  109,    0
134744,19790623,  128,    0
134744,19790624,  146,    0
134744,19790625,  130,    0
134744,19790626,  116,    0
134744,19790627,  123,    0
134744,19790628,  110,    0
134744,19790629,  106,    0
134744,19790630,  105,    0
134744,19790701,   78,    0
134744,19790702,   86,    0
134744,19790703,   77,    0
134744,19790704,   98,    0
134744,19790705,  103,    0
134744,19790706,  109,    0
134744,19790707,  128,    0
134744,19790708,  108,    0
134744,19790709,  118,    0
134744,19790710,  115,    0
134744,19790711,  117,    0
134744,19790712,  121,    0
134744,19790713,  142,    0
134744,19790714,  135,    0
134744,19790715,   96,    0
134744,19790716,   97,    0
134744,19790717,  109,    0
134744,19790718,  122,    0
134744,19790719,  124,    0
134744,19790720,  113,    0
134744,19790721,  119,    0
134744,19790722,  107,    0
134744,19790723,  114,    0
134744,19790724,  117,    0
134744,19790725,  121,    0
134744,19790726,  121,    0
134744,19790727,  119,    0
134744,19790728,  107,    0
134744,19790729,  134,    0
134744,19790730,  152,    0
134744,19790731,  148,    0
134744,19790801,  142,    0
134744,19790802,  118,    0
134744,19790803,   98,    0
134744,19790804,  113,    0
134744,19790805,  110,    0
134744,19790806,  130,    0
134744,19790807,  146,    0
134744,19790808,  163,    0
134744,19790809,  152,    0
134744,19790810,  111,    0
134744,19790811,  111,    0
134744,19790812,  115,    0
134744,19790813,  120,    0
134744,19790814,  140,    0
134744,19790815,  140,    0
134744,19790816,  131,    0
134744,19790817,  122,    0
134744,19790818,  139,    0
134744,19790819,  135,    0
134744,19790820,  129,    0
134744,19790821,  123,    0
134744,19790822,  116,    0
134744,19790823,  117,    0
134744,19790824,  116,    0
134744,19790825,  109,    0
134744,19790826,   99,    0
134744,19790827,  105,    0
134744,19790828,  102,    0
134744,19790829,  116,    0
134744,19790830,  112,    0
134744,19790831,   92,    0
134744,19790901,   95,    0
134744,19790902,  106,    0
134744,19790903,  120,    0
134744,19790904,  110,    0
134744,19790905,  106,    0
134744,19790906,  151,    0
134744,19790907,  132,    0
134744,19790908,  117,    0
134744,19790909,   99,    0
134744,19790910,  107,    0
134744,19790911,   79,    0
134744,19790912,   82,    0
134744,19790913,   80,    0
134744,19790914,   71,    0
134744,19790915,   77,    0
134744,19790916,   73,    0
134744,19790917,  101,    0
134744,19790918,   99,    0
134744,19790919,   92,    0
134744,19790920,   97,    0
134744,19790921,   89,    0
134744,19790922,   81,    0
134744,19790923,   75,    0
134744,19790924,   90,    0
134744,19790925,  101,    0
134744,19790926,   93,    0
134744,19790927,   89,    0
134744,19790928,   67,    0
134744,19790929,   66,    0
134744,19790930,   70,    0
134744,19791001,   63,    0
134744,19791002,   75,    0
134744,19791003,   70,    0
134744,19791004,   75,    0
134744,19791005,   79,    0
134744,19791006,   85,    0
134744,19791007,   89,    0
134744,19791008,   87,    0
134744,19791009,   91,    0
134744,19791010,   90,    0
134744,19791011,   86,    0
134744,19791012,   88,    0
134744,19791013,   91,    0
134744,19791014,   74,    0
134744,19791015,   80,    0
134744,19791016,   71,    0
134744,19791017,   59,    0
134744,19791018,   76,    0
134744,19791019,   84,    0
134744,19791020,   79,    0
134744,19791021,   45,    0
134744,19791022,   59,    0
134744,19791023,   65,    0
134744,19791024,   46,    0
134744,19791025,   76,    0
134744,19791026,   70,    0
134744,19791027,   68,    0
134744,19791028,   59,    0
134744,19791029,   43,    0
134744,19791030,   40,    0
134744,19791031,   52,    0
134744,19791101,   55,    0
134744,19791102,   56,    0
134744,19791103,   43,    0
134744,19791104,   67,    0
134744,19791105,   60,    0
134744,19791106,   46,    0
134744,19791107,   41,    0
134744,19791108,   30,    0
134744,19791109,   42,    0
134744,19791110,   37,    0
134744,19791111,   16,    0
134744,19791112,   20,    0
134744,19791113,   26,    0
134744,19791114,   15,    0
134744,19791115,   13,    0
134744,19791116,    1,    0
134744,19791117,   21,    0
134744,19791118,   57,    0
134744,19791119,   53,    0
134744,19791120,   48,    0
134744,19791121,   50,    0
134744,19791122,   67,    0
134744,19791123,   58,    0
134744,19791124,   45,    0
134744,19791125,   36,    0
134744,19791126,   24,    0
134744,19791127,   26,    0
134744,19791128,   20,    0
134744,19791129,   77,    0
134744,19791130,   53,    0
134744,19791201,   58,    0
134744,19791202,   75,    0
134744,19791203,   61,    0
134744,19791204,   54,    0
134744,19791205,   50,    0
134744,19791206,   39,    0
134744,19791207,   25,    0
134744,19791208,    8,    0
134744,19791209,   11,    0
134744,19791210,  -12,    0
134744,19791211,  -17,    0
134744,19791212,    0,    0
134744,19791213,   -1,    0
134744,19791214,    2,    0
134744,19791215,  -28,    0
134744,19791216,  -42,    0
134744,19791217,  -60,    0
134744,19791218,    2,    0
134744,19791219,   29,    0
134744,19791220,   43,    0
134744,19791221,   56,    0
134744,19791222,   44,    0
134744,19791223,   -3,    0
134744,19791224,   31,    0
134744,19791225,   24,    0
134744,19791226,   31,    0
134744,19791227,   54,    0
134744,19791228,   51,    0
134744,19791229,   38,    0
134744,19791230,    2,    0
134744,19791231,   15,    0
134744,19800101,   -2,    0
134744,19800102,  -23,    0
134744,19800103,  -23,    0
134744,19800104,  -18,    0
134744,19800105,    3,    0
134744,19800106,   -4,    0
134744,19800107,    1,    0
134744,19800108,  -16,    0
134744,19800109,    8,    0
134744,19800110,   -2,    0
134744,19800111,    6,    0
134744,19800112,   39,    0
134744,19800113,   53,    0
134744,19800114,   30,    0
134744,19800115,   25,    0
134744,19800116,   53,    0
134744,19800117,   49,    0
134744,19800118,   49,    0
134744,19800119,   22,    0
134744,19800120,   23,    0
