EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 21-01-2021
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 TG   : mean temperature in 0.1 &#176;C
23-27 Q_TG : Quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station NORWAY, NORDSTRAUM I KVAENANGEN (STAID: 5153).
Blended and updated with sources: 134936 901045 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   TG, Q_TG
134936,19790101,  -23,    0
134936,19790102,  -64,    0
134936,19790103, -105,    0
134936,19790104,  -66,    0
134936,19790105,  -59,    0
134936,19790106,  -73,    0
134936,19790107,  -86,    0
134936,19790108, -103,    0
134936,19790109,  -61,    0
134936,19790110, -101,    0
134936,19790111,  -69,    0
134936,19790112,  -59,    0
134936,19790113,  -58,    0
134936,19790114,  -39,    0
134936,19790115,  -79,    0
134936,19790116,  -34,    0
134936,19790117,  -38,    0
134936,19790118,   -1,    0
134936,19790119,   35,    0
134936,19790120,   -9,    0
134936,19790121,  -21,    0
134936,19790122,  -61,    0
134936,19790123, -101,    0
134936,19790124, -108,    0
134936,19790125, -128,    0
134936,19790126, -183,    0
134936,19790127, -182,    0
134936,19790128, -120,    0
134936,19790129,  -88,    0
134936,19790130,  -67,    0
134936,19790131,  -91,    0
134936,19790201,  -36,    0
134936,19790202,  -74,    0
134936,19790203,  -83,    0
134936,19790204,  -78,    0
134936,19790205, -119,    0
134936,19790206, -146,    0
134936,19790207, -118,    0
134936,19790208, -104,    0
134936,19790209, -121,    0
134936,19790210, -115,    0
134936,19790211, -132,    0
134936,19790212, -131,    0
134936,19790213, -128,    0
134936,19790214,  -50,    0
134936,19790215,    0,    0
134936,19790216,   22,    0
134936,19790217,   29,    0
134936,19790218,   30,    0
134936,19790219,  -60,    0
134936,19790220,  -54,    0
134936,19790221,   24,    0
134936,19790222,   18,    0
134936,19790223,   -2,    0
