EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 21-01-2021
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 TG   : mean temperature in 0.1 &#176;C
23-27 Q_TG : Quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station NORWAY, MELSOM (STAID: 5160).
Blended and updated with sources: 135020 199140 199313 200847 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   TG, Q_TG
135020,19790101, -194,    0
135020,19790102, -115,    0
135020,19790103, -104,    0
135020,19790104, -156,    0
135020,19790105, -132,    0
135020,19790106,  -53,    0
135020,19790107,   33,    0
135020,19790108,   12,    0
135020,19790109,  -36,    0
135020,19790110,  -67,    0
135020,19790111,  -18,    0
135020,19790112,  -27,    0
135020,19790113,  -54,    0
135020,19790114,  -60,    0
135020,19790115, -127,    0
135020,19790116,  -58,    0
135020,19790117,  -48,    0
135020,19790118,  -30,    0
135020,19790119,  -27,    0
135020,19790120,  -45,    0
135020,19790121,  -54,    0
135020,19790122,  -78,    0
135020,19790123, -103,    0
135020,19790124,  -69,    0
135020,19790125, -115,    0
135020,19790126, -160,    0
135020,19790127, -187,    0
135020,19790128, -134,    0
135020,19790129, -115,    0
135020,19790130,  -89,    0
135020,19790131, -113,    0
135020,19790201,  -98,    0
135020,19790202, -107,    0
135020,19790203,  -80,    0
135020,19790204,  -68,    0
135020,19790205, -118,    0
135020,19790206, -136,    0
135020,19790207,  -33,    0
135020,19790208,  -36,    0
135020,19790209,  -32,    0
135020,19790210,  -59,    0
135020,19790211, -106,    0
135020,19790212, -155,    0
135020,19790213,  -82,    0
135020,19790214, -137,    0
135020,19790215, -154,    0
135020,19790216, -158,    0
135020,19790217, -104,    0
135020,19790218,  -61,    0
135020,19790219,  -31,    0
135020,19790220,  -26,    0
135020,19790221,  -30,    0
135020,19790222,  -50,    0
135020,19790223,  -44,    0
135020,19790224,  -40,    0
135020,19790225,  -41,    0
135020,19790226,    9,    0
135020,19790227,   26,    0
135020,19790228,    4,    0
135020,19790301,  -18,    0
135020,19790302,    2,    0
135020,19790303,   44,    0
135020,19790304,   27,    0
135020,19790305,   34,    0
135020,19790306,   23,    0
135020,19790307,   10,    0
135020,19790308,   20,    0
135020,19790309,   17,    0
135020,19790310,   16,    0
135020,19790311,  -21,    0
135020,19790312,   -5,    0
135020,19790313,  -21,    0
135020,19790314,  -39,    0
135020,19790315,  -43,    0
135020,19790316,  -54,    0
135020,19790317, -100,    0
135020,19790318, -124,    0
135020,19790319,  -77,    0
135020,19790320,   -5,    0
135020,19790321,  -12,    0
135020,19790322,    5,    0
135020,19790323,    0,    0
135020,19790324,   16,    0
135020,19790325,    0,    0
135020,19790326,   26,    0
135020,19790327,   20,    0
135020,19790328,   34,    0
135020,19790329,   29,    0
135020,19790330,   25,    0
135020,19790331,   23,    0
135020,19790401,   33,    0
135020,19790402,   24,    0
135020,19790403,   16,    0
135020,19790404,   18,    0
135020,19790405,   37,    0
135020,19790406,   27,    0
135020,19790407,   37,    0
135020,19790408,   27,    0
135020,19790409,    7,    0
135020,19790410,   36,    0
135020,19790411,   49,    0
135020,19790412,   71,    0
135020,19790413,   49,    0
135020,19790414,   76,    0
135020,19790415,   27,    0
135020,19790416,   11,    0
135020,19790417,   26,    0
135020,19790418,   24,    0
135020,19790419,   38,    0
135020,19790420,   47,    0
135020,19790421,   41,    0
135020,19790422,   52,    0
135020,19790423,   37,    0
135020,19790424,   38,    0
135020,19790425,   24,    0
135020,19790426,   49,    0
135020,19790427,   52,    0
135020,19790428,   51,    0
135020,19790429,   51,    0
135020,19790430,   42,    0
135020,19790501,   56,    0
135020,19790502,   31,    0
135020,19790503,   59,    0
135020,19790504,   34,    0
135020,19790505,   37,    0
135020,19790506,   44,    0
135020,19790507,   53,    0
135020,19790508,   40,    0
135020,19790509,   40,    0
135020,19790510,   84,    0
135020,19790511,   74,    0
135020,19790512,   80,    0
135020,19790513,   81,    0
135020,19790514,  101,    0
135020,19790515,   94,    0
135020,19790516,   95,    0
135020,19790517,   90,    0
135020,19790518,   90,    0
135020,19790519,   80,    0
135020,19790520,   77,    0
135020,19790521,   87,    0
135020,19790522,   96,    0
135020,19790523,   90,    0
135020,19790524,  123,    0
135020,19790525,  115,    0
135020,19790526,   97,    0
135020,19790527,  103,    0
135020,19790528,  120,    0
135020,19790529,  101,    0
135020,19790530,  125,    0
135020,19790531,  168,    0
135020,19790601,  192,    0
135020,19790602,  193,    0
135020,19790603,  174,    0
135020,19790604,  168,    0
135020,19790605,  179,    0
135020,19790606,  198,    0
135020,19790607,  185,    0
135020,19790608,  145,    0
135020,19790609,  120,    0
135020,19790610,  133,    0
135020,19790611,  124,    0
135020,19790612,  124,    0
135020,19790613,  124,    0
135020,19790614,  121,    0
135020,19790615,  123,    0
135020,19790616,  149,    0
135020,19790617,  156,    0
135020,19790618,  169,    0
135020,19790619,  171,    0
135020,19790620,  179,    0
135020,19790621,  170,    0
135020,19790622,  160,    0
135020,19790623,  167,    0
135020,19790624,  159,    0
135020,19790625,  137,    0
135020,19790626,  127,    0
135020,19790627,  137,    0
135020,19790628,  126,    0
135020,19790629,  128,    0
135020,19790630,  115,    0
135020,19790701,  122,    0
135020,19790702,  123,    0
135020,19790703,  152,    0
135020,19790704,  147,    0
135020,19790705,  160,    0
135020,19790706,  177,    0
135020,19790707,  149,    0
135020,19790708,  168,    0
135020,19790709,  173,    0
135020,19790710,  147,    0
135020,19790711,  171,    0
135020,19790712,  168,    0
135020,19790713,  166,    0
135020,19790714,  158,    0
135020,19790715,  143,    0
135020,19790716,  136,    0
135020,19790717,  172,    0
135020,19790718,  149,    0
135020,19790719,  146,    0
135020,19790720,  150,    0
135020,19790721,  131,    0
135020,19790722,  152,    0
135020,19790723,  153,    0
135020,19790724,  147,    0
135020,19790725,  145,    0
135020,19790726,  168,    0
135020,19790727,  171,    0
135020,19790728,  143,    0
135020,19790729,  142,    0
135020,19790730,  158,    0
135020,19790731,  155,    0
135020,19790801,  163,    0
135020,19790802,  150,    0
135020,19790803,  143,    0
135020,19790804,  149,    0
135020,19790805,  148,    0
135020,19790806,  135,    0
135020,19790807,  142,    0
135020,19790808,  141,    0
135020,19790809,  150,    0
135020,19790810,  135,    0
