EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 21-01-2021
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 TG   : mean temperature in 0.1 &#176;C
23-27 Q_TG : Quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station NORWAY, MYKEN (STAID: 11124).
Blended and updated with sources: 157014 199396 901115 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   TG, Q_TG
157014,19790101,  -17,    0
157014,19790102,   -5,    0
157014,19790103,  -15,    0
157014,19790104,  -13,    0
157014,19790105,  -16,    0
157014,19790106,   -9,    0
157014,19790107,   20,    0
157014,19790108,   16,    0
157014,19790109,    8,    0
157014,19790110,    7,    0
157014,19790111,  -10,    0
157014,19790112,   -5,    0
157014,19790113,  -22,    0
157014,19790114,  -14,    0
157014,19790115,  -15,    0
157014,19790116,   -4,    0
157014,19790117,   13,    0
157014,19790118,   27,    0
157014,19790119,   24,    0
157014,19790120,    6,    0
157014,19790121,    6,    0
157014,19790122,   16,    0
157014,19790123,    6,    0
157014,19790124,  -12,    0
157014,19790125,  -57,    0
157014,19790126,  -97,    0
157014,19790127,  -55,    0
157014,19790128,  -28,    0
157014,19790129,  -23,    0
157014,19790130,  -14,    0
157014,19790131,   -3,    0
157014,19790201,  -14,    0
157014,19790202,  -48,    0
157014,19790203,  -27,    0
157014,19790204,  -31,    0
157014,19790205,  -43,    0
157014,19790206,  -24,    0
157014,19790207,    4,    0
157014,19790208,   -9,    0
157014,19790209,  -11,    0
157014,19790210,  -21,    0
157014,19790211,  -20,    0
157014,19790212,  -21,    0
157014,19790213,  -50,    0
157014,19790214,  -30,    0
157014,19790215,   10,    0
157014,19790216,   32,    0
157014,19790217,   27,    0
157014,19790218,   13,    0
157014,19790219,   19,    0
157014,19790220,   -3,    0
157014,19790221,   30,    0
157014,19790222,   30,    0
157014,19790223,   13,    0
157014,19790224,   13,    0
157014,19790225,   53,    0
157014,19790226,   30,    0
157014,19790227,   -1,    0
157014,19790228,   13,    0
157014,19790301,   39,    0
157014,19790302,   19,    0
157014,19790303,   34,    0
157014,19790304,   18,    0
157014,19790305,    1,    0
157014,19790306,   16,    0
157014,19790307,   44,    0
157014,19790308,   24,    0
157014,19790309,   36,    0
157014,19790310,   41,    0
157014,19790311,   27,    0
157014,19790312,   20,    0
157014,19790313,   12,    0
157014,19790314,    3,    0
157014,19790315,  -13,    0
157014,19790316,  -67,    0
157014,19790317,  -57,    0
157014,19790318,  -47,    0
157014,19790319,  -63,    0
157014,19790320,  -35,    0
157014,19790321,  -13,    0
157014,19790322,   13,    0
157014,19790323,   12,    0
157014,19790324,   10,    0
157014,19790325,   15,    0
157014,19790326,   28,    0
157014,19790327,   53,    0
157014,19790328,   47,    0
157014,19790329,   47,    0
157014,19790330,   27,    0
157014,19790331,   43,    0
157014,19790401,   45,    0
157014,19790402,   48,    0
157014,19790403,   42,    0
157014,19790404,   37,    0
157014,19790405,   41,    0
157014,19790406,   42,    0
157014,19790407,   26,    0
157014,19790408,    8,    0
157014,19790409,    5,    0
157014,19790410,   10,    0
157014,19790411,   31,    0
157014,19790412,   17,    0
157014,19790413,    1,    0
157014,19790414,  -17,    0
157014,19790415,  -12,    0
157014,19790416,    2,    0
157014,19790417,    3,    0
157014,19790418,   15,    0
157014,19790419,   47,    0
157014,19790420,   53,    0
157014,19790421,   53,    0
157014,19790422,   58,    0
157014,19790423,   56,    0
157014,19790424,   56,    0
157014,19790425,   69,    0
157014,19790426,   55,    0
157014,19790427,   46,    0
157014,19790428,   34,    0
157014,19790429,   36,    0
157014,19790430,   28,    0
157014,19790501,   29,    0
157014,19790502,   48,    0
157014,19790503,   48,    0
157014,19790504,   43,    0
157014,19790505,   43,    0
157014,19790506,   37,    0
157014,19790507,   47,    0
157014,19790508,   58,    0
157014,19790509,   42,    0
157014,19790510,   42,    0
157014,19790511,   28,    0
157014,19790512,   28,    0
157014,19790513,   21,    0
157014,19790514,   25,    0
157014,19790515,   18,    0
157014,19790516,   54,    0
157014,19790517,   61,    0
157014,19790518,   58,    0
157014,19790519,   45,    0
157014,19790520,   43,    0
157014,19790521,   72,    0
157014,19790522,   78,    0
157014,19790523,   64,    0
157014,19790524,   79,    0
157014,19790525,   73,    0
157014,19790526,   72,    0
157014,19790527,   70,    0
157014,19790528,   66,    0
157014,19790529,   56,    0
157014,19790530,   74,    0
157014,19790531,   70,    0
157014,19790601,   97,    0
157014,19790602,   78,    0
157014,19790603,   67,    0
157014,19790604,   63,    0
157014,19790605,   74,    0
157014,19790606,  101,    0
157014,19790607,   92,    0
157014,19790608,   72,    0
157014,19790609,   66,    0
157014,19790610,   68,    0
157014,19790611,   69,    0
157014,19790612,   78,    0
157014,19790613,   85,    0
157014,19790614,   96,    0
157014,19790615,  107,    0
157014,19790616,   86,    0
157014,19790617,   77,    0
157014,19790618,   71,    0
157014,19790619,   82,    0
157014,19790620,   83,    0
157014,19790621,  106,    0
157014,19790622,  142,    0
157014,19790623,  109,    0
157014,19790624,  124,    0
157014,19790625,  187,    0
157014,19790626,  109,    0
157014,19790627,  105,    0
157014,19790628,  105,    0
157014,19790629,  105,    0
157014,19790630,  103,    0
157014,19790701,-9999,    9
157014,19790702,-9999,    9
157014,19790703,-9999,    9
157014,19790704,-9999,    9
157014,19790705,-9999,    9
157014,19790706,-9999,    9
157014,19790707,-9999,    9
157014,19790708,-9999,    9
157014,19790709,-9999,    9
157014,19790710,-9999,    9
157014,19790711,-9999,    9
157014,19790712,-9999,    9
157014,19790713,-9999,    9
157014,19790714,-9999,    9
157014,19790715,-9999,    9
157014,19790716,-9999,    9
157014,19790717,-9999,    9
157014,19790718,-9999,    9
157014,19790719,-9999,    9
157014,19790720,-9999,    9
157014,19790721,-9999,    9
157014,19790722,-9999,    9
157014,19790723,-9999,    9
157014,19790724,-9999,    9
157014,19790725,-9999,    9
157014,19790726,-9999,    9
157014,19790727,-9999,    9
157014,19790728,-9999,    9
157014,19790729,-9999,    9
157014,19790730,-9999,    9
157014,19790731,-9999,    9
157014,19790801,  114,    0
157014,19790802,  104,    0
157014,19790803,   91,    0
157014,19790804,   92,    0
157014,19790805,   96,    0
157014,19790806,  108,    0
157014,19790807,  130,    0
157014,19790808,  154,    0
157014,19790809,  163,    0
157014,19790810,  140,    0
157014,19790811,  123,    0
157014,19790812,  115,    0
157014,19790813,  142,    0
157014,19790814,  161,    0
157014,19790815,  165,    0
157014,19790816,  125,    0
157014,19790817,  128,    0
157014,19790818,  121,    0
157014,19790819,  166,    0
157014,19790820,  141,    0
157014,19790821,  123,    0
157014,19790822,  137,    0
157014,19790823,  104,    0
157014,19790824,   97,    0
157014,19790825,   92,    0
157014,19790826,   98,    0
157014,19790827,   99,    0
157014,19790828,   98,    0
157014,19790829,  104,    0
157014,19790830,  101,    0
157014,19790831,   94,    0
157014,19790901,   96,    0
157014,19790902,   89,    0
157014,19790903,  102,    0
157014,19790904,  113,    0
157014,19790905,  100,    0
157014,19790906,  111,    0
157014,19790907,  132,    0
157014,19790908,  112,    0
157014,19790909,   88,    0
157014,19790910,   92,    0
157014,19790911,   83,    0
157014,19790912,   82,    0
157014,19790913,   81,    0
157014,19790914,   79,    0
157014,19790915,   68,    0
157014,19790916,   60,    0
157014,19790917,   74,    0
157014,19790918,   85,    0
157014,19790919,   79,    0
157014,19790920,   79,    0
157014,19790921,   83,    0
157014,19790922,   67,    0
157014,19790923,   62,    0
