EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 21-01-2021
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 TG   : mean temperature in 0.1 &#176;C
23-27 Q_TG : Quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station NORWAY, GLAPEN FYR (STAID: 11136).
Blended and updated with sources: 157158 199704 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   TG, Q_TG
157158,19790101,  -21,    0
157158,19790102,  -19,    0
157158,19790103,  -14,    0
157158,19790104,    1,    0
157158,19790105,  -21,    0
157158,19790106,   -4,    0
157158,19790107,  -13,    0
157158,19790108,   -2,    0
157158,19790109,   -6,    0
157158,19790110,   -5,    0
157158,19790111,   -1,    0
157158,19790112,    1,    0
157158,19790113,  -22,    0
157158,19790114,   -2,    0
157158,19790115,   -9,    0
157158,19790116,    3,    0
157158,19790117,   24,    0
157158,19790118,   31,    0
157158,19790119,   41,    0
157158,19790120,  -10,    0
157158,19790121,    1,    0
157158,19790122,    8,    0
157158,19790123,    3,    0
157158,19790124,  -12,    0
157158,19790125,  -49,    0
157158,19790126,  -59,    0
157158,19790127,  -38,    0
157158,19790128,  -41,    0
157158,19790129,  -34,    0
157158,19790130,   -6,    0
157158,19790131,    4,    0
157158,19790201,   -2,    0
157158,19790202,  -40,    0
157158,19790203,  -32,    0
157158,19790204,  -34,    0
157158,19790205,  -56,    0
157158,19790206,  -52,    0
157158,19790207,  -30,    0
157158,19790208,  -28,    0
157158,19790209,  -23,    0
157158,19790210,  -31,    0
157158,19790211,  -32,    0
157158,19790212,  -48,    0
157158,19790213,  -74,    0
157158,19790214,  -12,    0
157158,19790215,   23,    0
157158,19790216,   40,    0
157158,19790217,   32,    0
157158,19790218,    3,    0
157158,19790219,    5,    0
157158,19790220,    7,    0
157158,19790221,   34,    0
157158,19790222,   27,    0
157158,19790223,   26,    0
157158,19790224,    5,    0
157158,19790225,   55,    0
157158,19790226,   32,    0
157158,19790227,  -19,    0
157158,19790228,    1,    0
157158,19790301,   26,    0
157158,19790302,   21,    0
157158,19790303,   31,    0
157158,19790304,   21,    0
157158,19790305,   -2,    0
157158,19790306,   -3,    0
157158,19790307,   33,    0
157158,19790308,   20,    0
157158,19790309,   28,    0
157158,19790310,   32,    0
157158,19790311,   23,    0
157158,19790312,   20,    0
157158,19790313,    5,    0
157158,19790314,  -16,    0
157158,19790315,  -34,    0
157158,19790316,  -58,    0
157158,19790317,  -45,    0
157158,19790318,  -51,    0
157158,19790319,  -71,    0
157158,19790320,  -68,    0
