EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 21-01-2021
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 TG   : mean temperature in 0.1 &#176;C
23-27 Q_TG : Quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station NORWAY, TJOTTA (STAID: 18018).
Blended and updated with sources: 156894 199556 901117 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   TG, Q_TG
156894,19790101,  -32,    0
156894,19790102,  -30,    0
156894,19790103,  -38,    0
156894,19790104,  -44,    0
156894,19790105,  -46,    0
156894,19790106,  -26,    0
156894,19790107,   21,    0
156894,19790108,   20,    0
156894,19790109,    8,    0
156894,19790110,    2,    0
156894,19790111,  -30,    0
156894,19790112,  -11,    0
156894,19790113,  -36,    0
156894,19790114,  -22,    0
156894,19790115,  -38,    0
156894,19790116,  -13,    0
156894,19790117,   15,    0
156894,19790118,   20,    0
156894,19790119,   10,    0
156894,19790120,   16,    0
156894,19790121,    8,    0
156894,19790122,   18,    0
156894,19790123,   16,    0
156894,19790124,  -22,    0
156894,19790125,  -80,    0
156894,19790126, -137,    0
156894,19790127,  -87,    0
156894,19790128,  -58,    0
156894,19790129,  -43,    0
156894,19790130,  -24,    0
156894,19790131,  -28,    0
156894,19790201,  -31,    0
156894,19790202,  -56,    0
156894,19790203,  -38,    0
156894,19790204,  -46,    0
156894,19790205,  -56,    0
156894,19790206,  -20,    0
156894,19790207,   -5,    0
156894,19790208,   -9,    0
156894,19790209,   -3,    0
156894,19790210,  -21,    0
156894,19790211,  -12,    0
156894,19790212,  -22,    0
156894,19790213,  -73,    0
156894,19790214,  -56,    0
156894,19790215,   -6,    0
156894,19790216,   29,    0
156894,19790217,   18,    0
156894,19790218,    3,    0
156894,19790219,    8,    0
156894,19790220,  -11,    0
156894,19790221,   26,    0
156894,19790222,   10,    0
156894,19790223,   12,    0
156894,19790224,   16,    0
156894,19790225,   40,    0
156894,19790226,   31,    0
156894,19790227,    6,    0
156894,19790228,   22,    0
156894,19790301,   41,    0
156894,19790302,   25,    0
156894,19790303,   40,    0
156894,19790304,   19,    0
156894,19790305,   -3,    0
156894,19790306,   25,    0
156894,19790307,   34,    0
156894,19790308,   19,    0
156894,19790309,   44,    0
156894,19790310,   39,    0
156894,19790311,   28,    0
156894,19790312,   22,    0
156894,19790313,    3,    0
156894,19790314,    0,    0
156894,19790315,  -27,    0
156894,19790316,  -80,    0
156894,19790317,  -69,    0
156894,19790318,  -32,    0
156894,19790319,  -66,    0
156894,19790320,  -34,    0
156894,19790321,   -6,    0
156894,19790322,   14,    0
156894,19790323,   19,    0
156894,19790324,    4,    0
156894,19790325,   14,    0
156894,19790326,   38,    0
156894,19790327,   58,    0
156894,19790328,   50,    0
156894,19790329,   49,    0
156894,19790330,   57,    0
156894,19790331,   41,    0
