EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 21-01-2021
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 TG   : mean temperature in 0.1 &#176;C
23-27 Q_TG : Quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station NORWAY, NJOS (STAID: 18050).
Blended and updated with sources: 199425 199692 200662 200703 901338 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   TG, Q_TG
200662,19790101, -162,    0
200662,19790102, -134,    0
200662,19790103,  -93,    0
200662,19790104,  -50,    0
200662,19790105,  -50,    0
200662,19790106,  -17,    0
200662,19790107,   25,    0
200662,19790108,   21,    0
200662,19790109,    2,    0
200662,19790110,  -11,    0
200662,19790111,  -10,    0
200662,19790112,  -38,    0
200662,19790113,  -53,    0
200662,19790114,  -70,    0
200662,19790115,  -73,    0
200662,19790116,  -32,    0
200662,19790117,   11,    0
200662,19790118,   -8,    0
200662,19790119,  -35,    0
200662,19790120,  -51,    0
200662,19790121,  -40,    0
200662,19790122,  -59,    0
200662,19790123,  -48,    0
200662,19790124,  -68,    0
200662,19790125,  -57,    0
200662,19790126,  -99,    0
200662,19790127, -105,    0
200662,19790128,  -49,    0
200662,19790129,  -68,    0
200662,19790130,  -75,    0
200662,19790131,  -83,    0
200662,19790201,  -33,    0
200662,19790202,  -50,    0
200662,19790203,  -54,    0
200662,19790204,  -31,    0
200662,19790205,    1,    0
200662,19790206,   14,    0
200662,19790207,   12,    0
200662,19790208,  -26,    0
200662,19790209,   -4,    0
200662,19790210,   13,    0
200662,19790211,  -51,    0
200662,19790212,  -74,    0
200662,19790213,  -37,    0
200662,19790214, -106,    0
200662,19790215,  -80,    0
200662,19790216,  -47,    0
200662,19790217,  -17,    0
200662,19790218,    2,    0
200662,19790219,   -3,    0
200662,19790220,    3,    0
200662,19790221,    2,    0
200662,19790222,  -20,    0
200662,19790223,  -12,    0
200662,19790224,   -3,    0
200662,19790225,   -5,    0
200662,19790226,   30,    0
200662,19790227,   16,    0
200662,19790228,    9,    0
200662,19790301,   26,    0
200662,19790302,   15,    0
200662,19790303,   38,    0
200662,19790304,   21,    0
200662,19790305,   33,    0
200662,19790306,   63,    0
200662,19790307,   23,    0
200662,19790308,   16,    0
200662,19790309,   43,    0
200662,19790310,   10,    0
200662,19790311,   14,    0
200662,19790312,   21,    0
200662,19790313,   14,    0
200662,19790314,  -14,    0
200662,19790315,  -34,    0
200662,19790316,  -28,    0
200662,19790317,  -62,    0
200662,19790318,  -76,    0
200662,19790319,  -49,    0
200662,19790320,   11,    0
200662,19790321,   26,    0
200662,19790322,   36,    0
200662,19790323,   11,    0
200662,19790324,    8,    0
200662,19790325,   17,    0
200662,19790326,   40,    0
200662,19790327,   67,    0
200662,19790328,   57,    0
200662,19790329,   76,    0
200662,19790330,   49,    0
200662,19790331,   49,    0
200662,19790401,   54,    0
200662,19790402,   57,    0
200662,19790403,   60,    0
200662,19790404,   66,    0
200662,19790405,   66,    0
200662,19790406,   63,    0
200662,19790407,   46,    0
200662,19790408,   30,    0
200662,19790409,   39,    0
200662,19790410,   38,    0
200662,19790411,   88,    0
200662,19790412,   94,    0
200662,19790413,   54,    0
200662,19790414,   57,    0
200662,19790415,   58,    0
200662,19790416,   32,    0
200662,19790417,   29,    0
200662,19790418,   32,    0
200662,19790419,   45,    0
200662,19790420,   46,    0
200662,19790421,   65,    0
200662,19790422,   60,    0
200662,19790423,   83,    0
200662,19790424,   89,    0
200662,19790425,   66,    0
200662,19790426,   65,    0
200662,19790427,   77,    0
200662,19790428,   54,    0
200662,19790429,   34,    0
200662,19790430,   26,    0
200662,19790501,   39,    0
200662,19790502,   32,    0
200662,19790503,   31,    0
200662,19790504,   30,    0
200662,19790505,   44,    0
200662,19790506,   47,    0
200662,19790507,   45,    0
200662,19790508,   44,    0
200662,19790509,   46,    0
200662,19790510,   53,    0
200662,19790511,   59,    0
200662,19790512,   66,    0
200662,19790513,   68,    0
200662,19790514,   94,    0
200662,19790515,   93,    0
200662,19790516,   78,    0
200662,19790517,   92,    0
200662,19790518,   64,    0
200662,19790519,   65,    0
200662,19790520,   71,    0
200662,19790521,  121,    0
200662,19790522,  108,    0
200662,19790523,  107,    0
200662,19790524,  118,    0
200662,19790525,   73,    0
200662,19790526,   89,    0
200662,19790527,  117,    0
200662,19790528,  113,    0
200662,19790529,  113,    0
200662,19790530,  113,    0
200662,19790531,  139,    0
200662,19790601,  146,    0
200662,19790602,  118,    0
200662,19790603,  162,    0
200662,19790604,  168,    0
200662,19790605,  179,    0
200662,19790606,  176,    0
200662,19790607,  171,    0
200662,19790608,  142,    0
200662,19790609,  138,    0
200662,19790610,  128,    0
200662,19790611,  128,    0
200662,19790612,  137,    0
200662,19790613,  148,    0
200662,19790614,  132,    0
200662,19790615,  148,    0
200662,19790616,  125,    0
200662,19790617,  113,    0
200662,19790618,  117,    0
200662,19790619,  130,    0
200662,19790620,  160,    0
200662,19790621,  176,    0
200662,19790622,  170,    0
200662,19790623,  164,    0
200662,19790624,  178,    0
200662,19790625,  140,    0
200662,19790626,  129,    0
200662,19790627,  102,    0
200662,19790628,  104,    0
200662,19790629,   98,    0
200662,19790630,  102,    0
200662,19790701,  103,    0
200662,19790702,   90,    0
200662,19790703,  111,    0
200662,19790704,  132,    0
200662,19790705,  135,    0
200662,19790706,  126,    0
200662,19790707,  129,    0
200662,19790708,  144,    0
200662,19790709,  137,    0
200662,19790710,  127,    0
200662,19790711,  144,    0
200662,19790712,  150,    0
200662,19790713,  165,    0
200662,19790714,  118,    0
200662,19790715,  119,    0
200662,19790716,  143,    0
200662,19790717,  138,    0
200662,19790718,  130,    0
200662,19790719,  141,    0
200662,19790720,  132,    0
200662,19790721,  114,    0
200662,19790722,  133,    0
200662,19790723,  122,    0
200662,19790724,  119,    0
200662,19790725,  136,    0
200662,19790726,  148,    0
200662,19790727,  153,    0
200662,19790728,  159,    0
200662,19790729,  142,    0
200662,19790730,  152,    0
200662,19790731,  168,    0
200662,19790801,  137,    0
200662,19790802,  143,    0
200662,19790803,  158,    0
200662,19790804,  134,    0
200662,19790805,  133,    0
200662,19790806,  129,    0
200662,19790807,  161,    0
200662,19790808,  163,    0
200662,19790809,  134,    0
200662,19790810,  130,    0
200662,19790811,  136,    0
200662,19790812,  141,    0
200662,19790813,  133,    0
200662,19790814,  145,    0
200662,19790815,  132,    0
200662,19790816,  116,    0
200662,19790817,  122,    0
200662,19790818,  137,    0
200662,19790819,  157,    0
200662,19790820,  147,    0
200662,19790821,  128,    0
200662,19790822,  121,    0
200662,19790823,  119,    0
200662,19790824,  127,    0
200662,19790825,  125,    0
200662,19790826,  117,    0
200662,19790827,  112,    0
200662,19790828,  108,    0
200662,19790829,  121,    0
200662,19790830,  126,    0
200662,19790831,   94,    0
200662,19790901,   89,    0
200662,19790902,  110,    0
200662,19790903,  127,    0
200662,19790904,  112,    0
200662,19790905,  106,    0
200662,19790906,  129,    0
200662,19790907,  138,    0
200662,19790908,  135,    0
200662,19790909,  116,    0
200662,19790910,  115,    0
200662,19790911,   82,    0
200662,19790912,   87,    0
200662,19790913,   83,    0
200662,19790914,   70,    0
200662,19790915,   76,    0
200662,19790916,   62,    0
200662,19790917,   89,    0
200662,19790918,  105,    0
200662,19790919,   89,    0
200662,19790920,   82,    0
200662,19790921,   75,    0
200662,19790922,   81,    0
200662,19790923,   55,    0
200662,19790924,   70,    0
200662,19790925,   77,    0
200662,19790926,   97,    0
200662,19790927,   68,    0
200662,19790928,   72,    0
200662,19790929,   64,    0
200662,19790930,   37,    0
200662,19791001,   33,    0
200662,19791002,   30,    0
200662,19791003,   21,    0
200662,19791004,   40,    0
200662,19791005,   86,    0
200662,19791006,   51,    0
200662,19791007,   71,    0
200662,19791008,   74,    0
200662,19791009,   82,    0
200662,19791010,   95,    0
200662,19791011,  112,    0
200662,19791012,   86,    0
200662,19791013,   74,    0
200662,19791014,   79,    0
200662,19791015,   84,    0
200662,19791016,   92,    0
200662,19791017,   79,    0
200662,19791018,   73,    0
200662,19791019,   58,    0
200662,19791020,   75,    0
200662,19791021,   38,    0
200662,19791022,   13,    0
200662,19791023,   13,    0
200662,19791024,   38,    0
200662,19791025,   88,    0
200662,19791026,   50,    0
200662,19791027,   29,    0
200662,19791028,   69,    0
200662,19791029,   52,    0
200662,19791030,   42,    0
200662,19791031,   39,    0
200662,19791101,   36,    0
200662,19791102,   48,    0
200662,19791103,   52,    0
200662,19791104,   66,    0
200662,19791105,   55,    0
200662,19791106,   28,    0
200662,19791107,   16,    0
200662,19791108,   36,    0
200662,19791109,   26,    0
200662,19791110,   20,    0
200662,19791111,    7,    0
200662,19791112,   13,    0
200662,19791113,   -7,    0
200662,19791114,  -16,    0
200662,19791115,  -27,    0
200662,19791116,    8,    0
200662,19791117,   -4,    0
200662,19791118,   75,    0
200662,19791119,   55,    0
200662,19791120,    9,    0
200662,19791121,    4,    0
200662,19791122,   24,    0
200662,19791123,   53,    0
200662,19791124,   27,    0
200662,19791125,   30,    0
200662,19791126,   19,    0
200662,19791127,   23,    0
200662,19791128,    4,    0
200662,19791129,   31,    0
200662,19791130,   45,    0
200662,19791201,   51,    0
200662,19791202,   72,    0
200662,19791203,   69,    0
200662,19791204,   53,    0
200662,19791205,   48,    0
200662,19791206,   30,    0
200662,19791207,   14,    0
200662,19791208,  -29,    0
200662,19791209,  -55,    0
200662,19791210,  -30,    0
200662,19791211,  -65,    0
200662,19791212,  -70,    0
200662,19791213,  -20,    0
200662,19791214,  -15,    0
200662,19791215,  -50,    0
200662,19791216,  -74,    0
200662,19791217,  -62,    0
200662,19791218,  -59,    0
200662,19791219,   16,    0
200662,19791220,    2,    0
200662,19791221,  -18,    0
200662,19791222,  -21,    0
200662,19791223,  -37,    0
200662,19791224,  -22,    0
200662,19791225,   -2,    0
200662,19791226,    8,    0
200662,19791227,   26,    0
200662,19791228,   31,    0
200662,19791229,   -6,    0
200662,19791230,  -43,    0
200662,19791231,  -81,    0
200662,19800101,  -75,    0
200662,19800102,  -90,    0
200662,19800103, -110,    0
200662,19800104,  -35,    0
200662,19800105,  -21,    0
200662,19800106,  -33,    0
200662,19800107,  -50,    0
200662,19800108,  -38,    0
200662,19800109,  -46,    0
200662,19800110,  -76,    0
200662,19800111,  -54,    0
200662,19800112,  -30,    0
200662,19800113,   33,    0
200662,19800114,   15,    0
200662,19800115,   -1,    0
200662,19800116,    7,    0
200662,19800117,   36,    0
200662,19800118,   32,    0
200662,19800119,   -2,    0
200662,19800120,   14,    0
200662,19800121,   16,    0
200662,19800122,    9,    0
200662,19800123,   25,    0
200662,19800124,   -3,    0
200662,19800125,  -71,    0
200662,19800126,  -57,    0
200662,19800127,  -22,    0
200662,19800128,  -25,    0
200662,19800129,  -15,    0
200662,19800130,  -40,    0
200662,19800131, -101,    0
200662,19800201,  -98,    0
200662,19800202,  -72,    0
200662,19800203,  -27,    0
200662,19800204,  -54,    0
200662,19800205,  -81,    0
200662,19800206,  -76,    0
200662,19800207,  -72,    0
200662,19800208,  -80,    0
200662,19800209,  -44,    0
200662,19800210,  -28,    0
200662,19800211,  -34,    0
200662,19800212,  -12,    0
200662,19800213,  -10,    0
200662,19800214,    8,    0
200662,19800215,   41,    0
200662,19800216,   34,    0
200662,19800217,   -1,    0
200662,19800218,   11,    0
200662,19800219,   41,    0
200662,19800220,   18,    0
200662,19800221,   14,    0
200662,19800222,   51,    0
200662,19800223,   17,    0
200662,19800224,   -6,    0
200662,19800225,  -14,    0
200662,19800226,   -3,    0
200662,19800227,   -1,    0
200662,19800228,   28,    0
200662,19800229,   27,    0
200662,19800301,   21,    0
200662,19800302,  -43,    0
200662,19800303,  -23,    0
200662,19800304,  -12,    0
200662,19800305,  -15,    0
200662,19800306,   24,    0
