EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 21-01-2021
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 TG   : mean temperature in 0.1 &#176;C
23-27 Q_TG : Quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station NORWAY, TROMSDALEN (STAID: 18123).
Blended and updated with sources: 134900 199181 199703 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   TG, Q_TG
134900,19790101,  -40,    0
134900,19790102,  -45,    0
134900,19790103,  -93,    0
134900,19790104,  -75,    0
134900,19790105, -108,    0
134900,19790106,  -63,    0
134900,19790107,  -68,    0
134900,19790108,  -61,    0
134900,19790109,  -37,    0
134900,19790110,  -90,    0
134900,19790111,  -83,    0
134900,19790112,  -54,    0
134900,19790113,  -43,    0
134900,19790114,  -30,    0
134900,19790115,  -94,    0
134900,19790116,  -24,    0
134900,19790117,  -23,    0
134900,19790118,   16,    0
134900,19790119,   28,    0
134900,19790120,  -11,    0
134900,19790121,  -55,    0
134900,19790122,  -58,    0
134900,19790123,  -64,    0
134900,19790124,  -82,    0
134900,19790125,  -82,    0
134900,19790126, -143,    0
134900,19790127, -136,    0
134900,19790128,  -73,    0
134900,19790129,  -43,    0
134900,19790130,  -52,    0
134900,19790131,  -48,    0
134900,19790201,  -46,    0
134900,19790202,  -65,    0
134900,19790203,  -77,    0
134900,19790204,  -70,    0
134900,19790205, -100,    0
134900,19790206, -107,    0
134900,19790207, -105,    0
134900,19790208,  -93,    0
134900,19790209,  -87,    0
134900,19790210,  -95,    0
134900,19790211,  -96,    0
134900,19790212, -122,    0
134900,19790213, -108,    0
134900,19790214,  -43,    0
134900,19790215,    3,    0
134900,19790216,   25,    0
134900,19790217,   23,    0
134900,19790218,   15,    0
134900,19790219,  -35,    0
134900,19790220,  -21,    0
134900,19790221,   28,    0
134900,19790222,   30,    0
134900,19790223,    8,    0
134900,19790224,  -35,    0
134900,19790225,  -34,    0
134900,19790226,   26,    0
134900,19790227,  -34,    0
134900,19790228,  -48,    0
134900,19790301,  -14,    0
134900,19790302,    6,    0
134900,19790303,   16,    0
134900,19790304,    7,    0
134900,19790305,   -9,    0
134900,19790306,   -5,    0
134900,19790307,   19,    0
134900,19790308,    7,    0
134900,19790309,   17,    0
134900,19790310,   20,    0
134900,19790311,   -4,    0
134900,19790312,   -7,    0
134900,19790313,  -33,    0
134900,19790314,  -52,    0
134900,19790315,  -87,    0
134900,19790316,  -91,    0
134900,19790317,  -80,    0
134900,19790318,  -93,    0
134900,19790319,  -96,    0
134900,19790320, -105,    0
134900,19790321,  -53,    0
134900,19790322,  -78,    0
134900,19790323,  -54,    0
134900,19790324,  -31,    0
134900,19790325,  -36,    0
134900,19790326,   14,    0
134900,19790327,   30,    0
134900,19790328,   32,    0
134900,19790329,   26,    0
134900,19790330,   30,    0
134900,19790331,   12,    0
134900,19790401,   29,    0
134900,19790402,   15,    0
134900,19790403,   -6,    0
134900,19790404,    7,    0
134900,19790405,   11,    0
134900,19790406,    2,    0
134900,19790407,   17,    0
134900,19790408,  -17,    0
134900,19790409,  -28,    0
134900,19790410,  -36,    0
134900,19790411,  -36,    0
134900,19790412,  -32,    0
134900,19790413,  -40,    0
134900,19790414,  -78,    0
134900,19790415,  -42,    0
134900,19790416,  -31,    0
134900,19790417,  -23,    0
134900,19790418,  -32,    0
134900,19790419,  -19,    0
134900,19790420,   28,    0
134900,19790421,   37,    0
134900,19790422,   42,    0
134900,19790423,   34,    0
134900,19790424,   40,    0
134900,19790425,   40,    0
134900,19790426,   31,    0
134900,19790427,   28,    0
134900,19790428,   33,    0
134900,19790429,   39,    0
134900,19790430,   36,    0
134900,19790501,   50,    0
134900,19790502,   46,    0
134900,19790503,   46,    0
134900,19790504,   60,    0
134900,19790505,   46,    0
134900,19790506,   51,    0
134900,19790507,   48,    0
134900,19790508,   47,    0
134900,19790509,   42,    0
134900,19790510,   30,    0
134900,19790511,   22,    0
134900,19790512,   15,    0
134900,19790513,   11,    0
134900,19790514,    1,    0
134900,19790515,   12,    0
134900,19790516,   16,    0
134900,19790517,   37,    0
134900,19790518,   54,    0
134900,19790519,   46,    0
134900,19790520,   29,    0
134900,19790521,   46,    0
134900,19790522,   57,    0
134900,19790523,   72,    0
134900,19790524,   79,    0
134900,19790525,   86,    0
134900,19790526,  105,    0
134900,19790527,   59,    0
134900,19790528,   45,    0
134900,19790529,   31,    0
134900,19790530,   57,    0
134900,19790531,   56,    0
134900,19790601,   94,    0
134900,19790602,   65,    0
134900,19790603,   65,    0
134900,19790604,   57,    0
134900,19790605,   60,    0
134900,19790606,   73,    0
134900,19790607,   75,    0
134900,19790608,   57,    0
134900,19790609,   54,    0
134900,19790610,   54,    0
134900,19790611,   55,    0
134900,19790612,   66,    0
134900,19790613,   76,    0
134900,19790614,  120,    0
134900,19790615,  111,    0
134900,19790616,   92,    0
134900,19790617,   74,    0
134900,19790618,   76,    0
134900,19790619,   75,    0
134900,19790620,   71,    0
134900,19790621,   79,    0
134900,19790622,  129,    0
134900,19790623,  126,    0
134900,19790624,  109,    0
134900,19790625,  169,    0
134900,19790626,  143,    0
134900,19790627,   92,    0
134900,19790628,   86,    0
134900,19790629,  107,    0
134900,19790630,  131,    0
134900,19790701,  128,    0
134900,19790702,  109,    0
134900,19790703,  125,    0
134900,19790704,   96,    0
134900,19790705,   98,    0
134900,19790706,  109,    0
134900,19790707,  165,    0
134900,19790708,  183,    0
134900,19790709,  210,    0
134900,19790710,  209,    0
134900,19790711,  141,    0
134900,19790712,  118,    0
134900,19790713,  144,    0
134900,19790714,  160,    0
134900,19790715,  179,    0
134900,19790716,  181,    0
134900,19790717,  138,    0
134900,19790718,  138,    0
134900,19790719,  172,    0
134900,19790720,  145,    0
134900,19790721,  152,    0
134900,19790722,  150,    0
134900,19790723,  159,    0
134900,19790724,  120,    0
134900,19790725,  117,    0
134900,19790726,   97,    0
134900,19790727,  100,    0
134900,19790728,   93,    0
134900,19790729,   99,    0
134900,19790730,   96,    0
134900,19790731,   93,    0
134900,19790801,   85,    0
134900,19790802,   83,    0
134900,19790803,   72,    0
134900,19790804,   74,    0
134900,19790805,   88,    0
134900,19790806,   91,    0
134900,19790807,  102,    0
134900,19790808,  137,    0
134900,19790809,  155,    0
134900,19790810,  159,    0
134900,19790811,  132,    0
134900,19790812,  146,    0
134900,19790813,  174,    0
134900,19790814,  173,    0
134900,19790815,  160,    0
