EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 21-01-2021
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 TG   : mean temperature in 0.1 &#176;C
23-27 Q_TG : Quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station NORWAY, NARVIK SENTRUM (STAID: 18203).
Blended and updated with sources: 133940 157134 199398 199742 200805 901194 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   TG, Q_TG
200805,19790101,  -31,    0
200805,19790102,  -19,    0
200805,19790103,  -48,    0
200805,19790104,  -79,    0
200805,19790105,  -64,    0
200805,19790106,  -97,    0
200805,19790107,  -78,    0
200805,19790108,  -65,    0
200805,19790109,   -5,    0
200805,19790110,  -59,    0
200805,19790111,  -96,    0
200805,19790112,  -75,    0
200805,19790113,  -54,    0
200805,19790114,  -44,    0
200805,19790115,  -54,    0
200805,19790116,  -31,    0
200805,19790117,  -35,    0
200805,19790118,   17,    0
200805,19790119,   32,    0
200805,19790120,  -20,    0
200805,19790121,  -28,    0
200805,19790122,  -41,    0
200805,19790123,  -84,    0
200805,19790124,  -95,    0
200805,19790125, -119,    0
200805,19790126, -175,    0
200805,19790127, -147,    0
200805,19790128,  -74,    0
200805,19790129,  -26,    0
200805,19790130,  -65,    0
200805,19790131,  -82,    0
200805,19790201,  -49,    0
200805,19790202,  -75,    0
200805,19790203,  -84,    0
200805,19790204,  -81,    0
200805,19790205, -122,    0
200805,19790206, -125,    0
200805,19790207, -112,    0
200805,19790208,  -96,    0
200805,19790209,  -92,    0
200805,19790210,  -60,    0
200805,19790211,  -84,    0
200805,19790212, -112,    0
200805,19790213, -121,    0
200805,19790214,  -60,    0
200805,19790215,   12,    0
200805,19790216,   25,    0
200805,19790217,   24,    0
200805,19790218,   -2,    0
200805,19790219,  -49,    0
200805,19790220,  -46,    0
200805,19790221,   24,    0
200805,19790222,   31,    0
200805,19790223,   12,    0
200805,19790224,   -4,    0
200805,19790225,  -21,    0
200805,19790226,   14,    0
200805,19790227,  -24,    0
200805,19790228,  -20,    0
200805,19790301,  -17,    0
200805,19790302,   23,    0
200805,19790303,   25,    0
200805,19790304,    8,    0
200805,19790305,  -17,    0
200805,19790306,  -12,    0
200805,19790307,   39,    0
200805,19790308,   13,    0
200805,19790309,   27,    0
200805,19790310,   31,    0
200805,19790311,   16,    0
200805,19790312,   11,    0
200805,19790313,    2,    0
200805,19790314,  -33,    0
200805,19790315,  -95,    0
200805,19790316,  -88,    0
200805,19790317,  -84,    0
200805,19790318,  -91,    0
200805,19790319, -117,    0
200805,19790320, -113,    0
200805,19790321,  -83,    0
200805,19790322,  -65,    0
200805,19790323,  -27,    0
200805,19790324,  -16,    0
200805,19790325,  -19,    0
200805,19790326,   28,    0
200805,19790327,   56,    0
200805,19790328,   56,    0
200805,19790329,   42,    0
200805,19790330,   21,    0
200805,19790331,   34,    0
200805,19790401,   50,    0
200805,19790402,   37,    0
200805,19790403,   20,    0
200805,19790404,   14,    0
200805,19790405,   24,    0
200805,19790406,   28,    0
200805,19790407,   13,    0
200805,19790408,    0,    0
200805,19790409,  -11,    0
200805,19790410,  -21,    0
200805,19790411,  -14,    0
200805,19790412,  -13,    0
200805,19790413,  -31,    0
200805,19790414,  -46,    0
200805,19790415,  -20,    0
200805,19790416,  -18,    0
200805,19790417,  -14,    0
200805,19790418,  -19,    0
200805,19790419,  -11,    0
200805,19790420,   37,    0
200805,19790421,   57,    0
200805,19790422,   60,    0
200805,19790423,   63,    0
200805,19790424,   61,    0
200805,19790425,   69,    0
200805,19790426,   64,    0
200805,19790427,   40,    0
200805,19790428,   41,    0
200805,19790429,   48,    0
200805,19790430,   46,    0
200805,19790501,   51,    0
200805,19790502,   52,    0
200805,19790503,   57,    0
200805,19790504,   74,    0
200805,19790505,   64,    0
200805,19790506,   63,    0
200805,19790507,   53,    0
200805,19790508,   52,    0
200805,19790509,   44,    0
200805,19790510,   42,    0
200805,19790511,   37,    0
200805,19790512,   28,    0
200805,19790513,   15,    0
200805,19790514,    7,    0
200805,19790515,   24,    0
200805,19790516,   32,    0
200805,19790517,   54,    0
200805,19790518,   55,    0
200805,19790519,   48,    0
200805,19790520,   42,    0
200805,19790521,   75,    0
200805,19790522,   76,    0
200805,19790523,   76,    0
200805,19790524,  102,    0
200805,19790525,  112,    0
200805,19790526,  122,    0
200805,19790527,   75,    0
200805,19790528,   80,    0
200805,19790529,   58,    0
200805,19790530,   81,    0
200805,19790531,   68,    0
200805,19790601,  102,    0
200805,19790602,   78,    0
200805,19790603,   74,    0
200805,19790604,   65,    0
200805,19790605,   74,    0
200805,19790606,   84,    0
200805,19790607,   97,    0
200805,19790608,   71,    0
200805,19790609,   67,    0
200805,19790610,   61,    0
200805,19790611,   72,    0
200805,19790612,   76,    0
200805,19790613,   81,    0
200805,19790614,  152,    0
200805,19790615,  131,    0
200805,19790616,   89,    0
200805,19790617,   85,    0
200805,19790618,   79,    0
200805,19790619,   89,    0
200805,19790620,   83,    0
200805,19790621,  116,    0
200805,19790622,  192,    0
200805,19790623,  153,    0
200805,19790624,  155,    0
200805,19790625,  216,    0
200805,19790626,  160,    0
200805,19790627,  129,    0
200805,19790628,  101,    0
200805,19790629,  134,    0
200805,19790630,  151,    0
200805,19790701,  109,    0
200805,19790702,  116,    0
200805,19790703,  118,    0
200805,19790704,  104,    0
200805,19790705,  114,    0
200805,19790706,  108,    0
200805,19790707,  176,    0
200805,19790708,  186,    0
200805,19790709,  227,    0
200805,19790710,  205,    0
200805,19790711,  137,    0
200805,19790712,  135,    0
200805,19790713,  177,    0
200805,19790714,  177,    0
200805,19790715,  193,    0
200805,19790716,  200,    0
200805,19790717,  145,    0
200805,19790718,  162,    0
200805,19790719,  187,    0
200805,19790720,  162,    0
200805,19790721,  167,    0
200805,19790722,  158,    0
200805,19790723,  180,    0
200805,19790724,  159,    0
200805,19790725,  158,    0
200805,19790726,  133,    0
200805,19790727,  134,    0
200805,19790728,  124,    0
200805,19790729,  123,    0
200805,19790730,  133,    0
200805,19790731,  128,    0
200805,19790801,  117,    0
200805,19790802,  108,    0
200805,19790803,   88,    0
200805,19790804,   92,    0
200805,19790805,   98,    0
200805,19790806,  111,    0
200805,19790807,  137,    0
200805,19790808,  174,    0
200805,19790809,  198,    0
200805,19790810,  172,    0
200805,19790811,  123,    0
200805,19790812,  163,    0
200805,19790813,  175,    0
200805,19790814,  192,    0
200805,19790815,  170,    0
200805,19790816,  131,    0
200805,19790817,  140,    0
200805,19790818,  122,    0
200805,19790819,  171,    0
200805,19790820,  188,    0
200805,19790821,  161,    0
200805,19790822,  178,    0
200805,19790823,  110,    0
200805,19790824,   88,    0
200805,19790825,   88,    0
200805,19790826,   87,    0
200805,19790827,  103,    0
200805,19790828,  112,    0
200805,19790829,   97,    0
200805,19790830,  101,    0
200805,19790831,   93,    0
200805,19790901,   84,    0
200805,19790902,   79,    0
200805,19790903,   98,    0
200805,19790904,  101,    0
200805,19790905,   88,    0
200805,19790906,  105,    0
200805,19790907,  137,    0
200805,19790908,  114,    0
200805,19790909,   92,    0
200805,19790910,  109,    0
200805,19790911,   75,    0
200805,19790912,   74,    0
200805,19790913,   78,    0
200805,19790914,   64,    0
200805,19790915,   71,    0
200805,19790916,   63,    0
200805,19790917,   59,    0
200805,19790918,   90,    0
200805,19790919,   77,    0
200805,19790920,   73,    0
200805,19790921,   82,    0
200805,19790922,   68,    0
200805,19790923,   55,    0
200805,19790924,   43,    0
200805,19790925,   89,    0
200805,19790926,   82,    0
200805,19790927,   61,    0
200805,19790928,   63,    0
200805,19790929,   55,    0
200805,19790930,   46,    0
200805,19791001,   35,    0
200805,19791002,   31,    0
200805,19791003,   65,    0
200805,19791004,   39,    0
200805,19791005,   23,    0
200805,19791006,   47,    0
200805,19791007,   41,    0
200805,19791008,   61,    0
200805,19791009,   44,    0
200805,19791010,   27,    0
200805,19791011,   22,    0
200805,19791012,   15,    0
200805,19791013,   31,    0
200805,19791014,   21,    0
200805,19791015,   13,    0
200805,19791016,  -10,    0
200805,19791017,   19,    0
200805,19791018,   18,    0
200805,19791019,   43,    0
200805,19791020,   46,    0
200805,19791021,    8,    0
200805,19791022,   40,    0
200805,19791023,   68,    0
200805,19791024,   49,    0
200805,19791025,   26,    0
200805,19791026,   17,    0
200805,19791027,   17,    0
200805,19791028,   21,    0
200805,19791029,   13,    0
200805,19791030,    6,    0
200805,19791031,   12,    0
200805,19791101,  -10,    0
200805,19791102,  -10,    0
200805,19791103,    0,    0
200805,19791104,   33,    0
200805,19791105,   37,    0
200805,19791106,   32,    0
200805,19791107,   27,    0
200805,19791108,   31,    0
200805,19791109,   -2,    0
200805,19791110,   14,    0
200805,19791111,  -19,    0
200805,19791112,  -53,    0
200805,19791113,    7,    0
200805,19791114,    4,    0
200805,19791115,  -29,    0
200805,19791116,  -12,    0
200805,19791117,    6,    0
200805,19791118,    4,    0
200805,19791119,   15,    0
200805,19791120,   23,    0
200805,19791121,   52,    0
200805,19791122,   39,    0
200805,19791123,   -1,    0
200805,19791124,   12,    0
200805,19791125,  -19,    0
200805,19791126,  -23,    0
200805,19791127,   -9,    0
200805,19791128,  -12,    0
200805,19791129,   -7,    0
200805,19791130,  -15,    0
200805,19791201,  -11,    0
200805,19791202,   11,    0
200805,19791203,   33,    0
200805,19791204,   35,    0
200805,19791205,   12,    0
200805,19791206,  -15,    0
200805,19791207,  -74,    0
200805,19791208,  -26,    0
200805,19791209,  -21,    0
200805,19791210,  -16,    0
200805,19791211,  -38,    0
200805,19791212,  -31,    0
200805,19791213,  -19,    0
200805,19791214,  -32,    0
200805,19791215,  -46,    0
200805,19791216,  -71,    0
200805,19791217, -104,    0
200805,19791218,  -72,    0
200805,19791219,  -54,    0
200805,19791220,   23,    0
200805,19791221,   50,    0
200805,19791222,   52,    0
200805,19791223,   -4,    0
200805,19791224,    7,    0
200805,19791225,    6,    0
200805,19791226,    8,    0
200805,19791227,   -6,    0
200805,19791228,    4,    0
200805,19791229,   28,    0
200805,19791230,   -6,    0
200805,19791231,  -30,    0
200805,19800101,  -29,    0
200805,19800102,  -60,    0
200805,19800103,  -86,    0
200805,19800104,  -66,    0
200805,19800105,  -66,    0
200805,19800106,  -31,    0
200805,19800107,  -18,    0
200805,19800108,   -9,    0
200805,19800109,  -39,    0
200805,19800110,  -63,    0
200805,19800111,  -21,    0
200805,19800112,   -9,    0
200805,19800113,   18,    0
200805,19800114,  -29,    0
200805,19800115,  -61,    0
200805,19800116,  -63,    0
200805,19800117,    7,    0
200805,19800118,   -6,    0
200805,19800119,   -8,    0
200805,19800120,  -24,    0
200805,19800121,  -21,    0
200805,19800122,  -57,    0
200805,19800123,  -35,    0
200805,19800124, -110,    0
200805,19800125, -132,    0
200805,19800126,  -72,    0
200805,19800127,  -87,    0
200805,19800128,  -65,    0
200805,19800129,  -89,    0
200805,19800130, -122,    0
200805,19800131, -141,    0
200805,19800201, -207,    0
200805,19800202, -182,    0
200805,19800203, -151,    0
200805,19800204,  -96,    0
200805,19800205,  -39,    0
200805,19800206,  -71,    0
200805,19800207, -100,    0
200805,19800208, -118,    0
200805,19800209,  -98,    0
200805,19800210, -117,    0
200805,19800211,  -93,    0
200805,19800212,  -74,    0
200805,19800213,  -75,    0
200805,19800214,  -76,    0
200805,19800215,  -20,    0
200805,19800216,  -18,    0
200805,19800217,   -6,    0
200805,19800218,    4,    0
200805,19800219,   20,    0
200805,19800220,   30,    0
200805,19800221,   -1,    0
200805,19800222,   10,    0
200805,19800223,   32,    0
200805,19800224,   44,    0
200805,19800225,   18,    0
200805,19800226,   23,    0
200805,19800227,    0,    0
200805,19800228,    9,    0
200805,19800229,  -28,    0
200805,19800301,  -55,    0
200805,19800302,  -66,    0
200805,19800303,  -81,    0
200805,19800304,  -84,    0
200805,19800305,  -83,    0
200805,19800306,  -38,    0
200805,19800307,   15,    0
200805,19800308,    8,    0
200805,19800309,   -3,    0
200805,19800310,  -12,    0
200805,19800311,  -34,    0
200805,19800312,  -11,    0
200805,19800313,  -26,    0
200805,19800314,  -18,    0
200805,19800315,   16,    0
200805,19800316,    5,    0
200805,19800317,   -8,    0
200805,19800318,  -43,    0
200805,19800319,  -20,    0
200805,19800320,  -36,    0
200805,19800321,  -51,    0
200805,19800322,  -28,    0
200805,19800323,  -13,    0
200805,19800324,  -16,    0
200805,19800325,    0,    0
200805,19800326,  -13,    0
200805,19800327,  -10,    0
200805,19800328,  -17,    0
200805,19800329,   -5,    0
200805,19800330,   -3,    0
200805,19800331,    7,    0
200805,19800401,    8,    0
200805,19800402,    9,    0
200805,19800403,   28,    0
200805,19800404,   15,    0
200805,19800405,   21,    0
200805,19800406,   36,    0
200805,19800407,   34,    0
200805,19800408,   12,    0
200805,19800409,  -11,    0
200805,19800410,   -1,    0
200805,19800411,    6,    0
200805,19800412,   29,    0
200805,19800413,   11,    0
200805,19800414,   56,    0
200805,19800415,   50,    0
200805,19800416,   39,    0
200805,19800417,   40,    0
200805,19800418,   39,    0
200805,19800419,   44,    0
200805,19800420,   34,    0
200805,19800421,   26,    0
200805,19800422,   31,    0
200805,19800423,   61,    0
200805,19800424,    9,    0
200805,19800425,   38,    0
200805,19800426,   45,    0
200805,19800427,   82,    0
200805,19800428,   87,    0
200805,19800429,   56,    0
200805,19800430,   56,    0
200805,19800501,   31,    0
200805,19800502,   52,    0
200805,19800503,   50,    0
200805,19800504,   54,    0
200805,19800505,   51,    0
200805,19800506,   46,    0
200805,19800507,   34,    0
200805,19800508,   61,    0
200805,19800509,   34,    0
200805,19800510,   23,    0
200805,19800511,   14,    0
200805,19800512,   21,    0
200805,19800513,   58,    0
200805,19800514,   68,    0
200805,19800515,   89,    0
200805,19800516,   67,    0
200805,19800517,   60,    0
200805,19800518,   53,    0
200805,19800519,   63,    0
200805,19800520,   70,    0
200805,19800521,   66,    0
200805,19800522,   39,    0
200805,19800523,   45,    0
200805,19800524,   93,    0
200805,19800525,  108,    0
200805,19800526,  110,    0
200805,19800527,   94,    0
200805,19800528,  120,    0
200805,19800529,  126,    0
200805,19800530,  156,    0
200805,19800531,  179,    0
200805,19800601,  169,    0
200805,19800602,  100,    0
200805,19800603,   96,    0
200805,19800604,  104,    0
200805,19800605,   86,    0
200805,19800606,  106,    0
200805,19800607,  122,    0
200805,19800608,  114,    0
200805,19800609,   84,    0
200805,19800610,   81,    0
200805,19800611,   48,    0
200805,19800612,   39,    0
200805,19800613,   70,    0
200805,19800614,   84,    0
200805,19800615,  120,    0
200805,19800616,  137,    0
200805,19800617,  157,    0
200805,19800618,  191,    0
200805,19800619,  200,    0
200805,19800620,  194,    0
200805,19800621,  184,    0
200805,19800622,  184,    0
200805,19800623,  172,    0
200805,19800624,  177,    0
200805,19800625,  190,    0
200805,19800626,  189,    0
200805,19800627,  143,    0
200805,19800628,  167,    0
200805,19800629,  170,    0
200805,19800630,  189,    0
200805,19800701,  200,    0
200805,19800702,  181,    0
200805,19800703,  167,    0
200805,19800704,  159,    0
200805,19800705,  148,    0
200805,19800706,  146,    0
200805,19800707,  133,    0
200805,19800708,  145,    0
200805,19800709,  170,    0
200805,19800710,  183,    0
200805,19800711,  158,    0
200805,19800712,  111,    0
200805,19800713,   98,    0
200805,19800714,  102,    0
200805,19800715,  134,    0
200805,19800716,  177,    0
200805,19800717,  185,    0
200805,19800718,  141,    0
200805,19800719,  144,    0
200805,19800720,  172,    0
200805,19800721,  187,    0
200805,19800722,  137,    0
200805,19800723,  131,    0
200805,19800724,  176,    0
200805,19800725,  142,    0
200805,19800726,  194,    0
200805,19800727,  206,    0
200805,19800728,  162,    0
200805,19800729,  157,    0
200805,19800730,  210,    0
200805,19800731,  207,    0
200805,19800801,  197,    0
200805,19800802,  202,    0
200805,19800803,  155,    0
200805,19800804,  137,    0
200805,19800805,  158,    0
200805,19800806,   95,    0
200805,19800807,  111,    0
200805,19800808,  112,    0
200805,19800809,  116,    0
200805,19800810,  122,    0
200805,19800811,  149,    0
200805,19800812,  177,    0
200805,19800813,  167,    0
200805,19800814,  183,    0
200805,19800815,  192,    0
200805,19800816,  196,    0
200805,19800817,  203,    0
200805,19800818,  192,    0
200805,19800819,  159,    0
200805,19800820,  133,    0
200805,19800821,  162,    0
200805,19800822,  148,    0
200805,19800823,  143,    0
200805,19800824,  101,    0
200805,19800825,  106,    0
200805,19800826,   95,    0
200805,19800827,  102,    0
200805,19800828,  134,    0
200805,19800829,  120,    0
200805,19800830,  103,    0
200805,19800831,   91,    0
200805,19800901,   88,    0
200805,19800902,  109,    0
200805,19800903,  106,    0
200805,19800904,   90,    0
200805,19800905,  100,    0
200805,19800906,  114,    0
200805,19800907,  115,    0
200805,19800908,  106,    0
200805,19800909,  105,    0
200805,19800910,   91,    0
200805,19800911,   84,    0
200805,19800912,   90,    0
200805,19800913,   96,    0
200805,19800914,  116,    0
200805,19800915,   79,    0
200805,19800916,   64,    0
200805,19800917,   99,    0
200805,19800918,  109,    0
200805,19800919,   77,    0
200805,19800920,   54,    0
200805,19800921,   55,    0
200805,19800922,   62,    0
200805,19800923,   50,    0
200805,19800924,   72,    0
200805,19800925,   89,    0
200805,19800926,   85,    0
200805,19800927,   99,    0
200805,19800928,   95,    0
200805,19800929,   85,    0
200805,19800930,  100,    0
200805,19801001,   65,    0
200805,19801002,   72,    0
200805,19801003,   53,    0
200805,19801004,  105,    0
200805,19801005,  117,    0
200805,19801006,  126,    0
200805,19801007,  106,    0
200805,19801008,   88,    0
200805,19801009,   86,    0
200805,19801010,   71,    0
200805,19801011,   66,    0
200805,19801012,   74,    0
200805,19801013,   55,    0
200805,19801014,   35,    0
200805,19801015,   26,    0
200805,19801016,   -5,    0
200805,19801017,   12,    0
200805,19801018,    4,    0
200805,19801019,   22,    0
200805,19801020,   28,    0
200805,19801021,   23,    0
200805,19801022,    3,    0
200805,19801023,  -10,    0
200805,19801024,  -32,    0
200805,19801025,  -66,    0
200805,19801026,  -16,    0
200805,19801027,  -10,    0
200805,19801028,  -41,    0
200805,19801029,  -73,    0
200805,19801030,  -17,    0
200805,19801031,   10,    0
200805,19801101,   65,    0
200805,19801102,   79,    0
200805,19801103,   69,    0
200805,19801104,   33,    0
200805,19801105,   43,    0
200805,19801106,   31,    0
200805,19801107,   35,    0
200805,19801108,   13,    0
200805,19801109,  -38,    0
200805,19801110,  -55,    0
200805,19801111,  -64,    0
200805,19801112,  -71,    0
200805,19801113,  -82,    0
200805,19801114,  -79,    0
200805,19801115,  -51,    0
200805,19801116,  -34,    0
200805,19801117,    0,    0
200805,19801118,   -9,    0
200805,19801119,  -32,    0
200805,19801120,  -30,    0
200805,19801121,  -43,    0
200805,19801122,  -41,    0
200805,19801123,  -60,    0
200805,19801124,  -28,    0
200805,19801125,  -61,    0
200805,19801126, -100,    0
200805,19801127,  -69,    0
200805,19801128,  -23,    0
200805,19801129,  -44,    0
200805,19801130,   -9,    0
200805,19801201,    9,    0
200805,19801202,  -22,    0
200805,19801203,  -60,    0
200805,19801204,  -72,    0
200805,19801205,  -96,    0
200805,19801206,  -83,    0
200805,19801207,  -85,    0
200805,19801208,  -71,    0
200805,19801209, -110,    0
200805,19801210,  -33,    0
200805,19801211,  -35,    0
200805,19801212,  -36,    0
200805,19801213,  -89,    0
200805,19801214,  -69,    0
200805,19801215,  -66,    0
200805,19801216,  -52,    0
200805,19801217,  -14,    0
200805,19801218,    1,    0
200805,19801219,   10,    0
200805,19801220,  -30,    0
200805,19801221,  -21,    0
200805,19801222,  -65,    0
200805,19801223,  -54,    0
200805,19801224,  -43,    0
200805,19801225,  -24,    0
200805,19801226,  -60,    0
200805,19801227,  -75,    0
200805,19801228,   -3,    0
200805,19801229,   -6,    0
200805,19801230,  -12,    0
200805,19801231,  -12,    0
200805,19810101,  -19,    0
200805,19810102,  -61,    0
200805,19810103,  -75,    0
200805,19810104, -118,    0
200805,19810105, -129,    0
200805,19810106, -131,    0
200805,19810107, -134,    0
200805,19810108,  -43,    0
200805,19810109,  -21,    0
200805,19810110,  -23,    0
200805,19810111,  -22,    0
200805,19810112,    2,    0
200805,19810113,   -2,    0
200805,19810114,  -51,    0
200805,19810115,  -58,    0
200805,19810116,  -59,    0
200805,19810117, -107,    0
200805,19810118, -124,    0
200805,19810119, -100,    0
200805,19810120,  -88,    0
200805,19810121, -112,    0
200805,19810122,  -82,    0
200805,19810123,   43,    0
200805,19810124,   28,    0
