EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 21-01-2021
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 TG   : mean temperature in 0.1 &#176;C
23-27 Q_TG : Quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station NORWAY, VARDOE LUFTHAVN (STAID: 18236).
Blended and updated with sources: 100607 199496 901098 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   TG, Q_TG
100607,19790101,  -53,    0
100607,19790102, -109,    0
100607,19790103,  -75,    0
100607,19790104,  -49,    0
100607,19790105,  -75,    0
100607,19790106, -115,    0
100607,19790107,  -89,    0
100607,19790108,  -90,    0
100607,19790109,  -51,    0
100607,19790110,  -58,    0
100607,19790111,  -88,    0
100607,19790112,  -87,    0
100607,19790113,  -67,    0
100607,19790114,  -34,    0
100607,19790115,  -33,    0
100607,19790116,  -49,    0
100607,19790117,  -53,    0
100607,19790118,    3,    0
100607,19790119,    9,    0
100607,19790120,  -47,    0
100607,19790121,  -52,    0
100607,19790122,  -87,    0
100607,19790123, -113,    0
100607,19790124, -120,    0
100607,19790125, -126,    0
100607,19790126, -123,    0
100607,19790127, -147,    0
100607,19790128,  -67,    0
100607,19790129,  -53,    0
100607,19790130,  -77,    0
100607,19790131, -114,    0
100607,19790201,  -92,    0
100607,19790202,  -32,    0
100607,19790203,  -45,    0
100607,19790204,  -68,    0
100607,19790205,  -86,    0
100607,19790206, -109,    0
100607,19790207, -124,    0
100607,19790208, -125,    0
100607,19790209,  -93,    0
100607,19790210,  -86,    0
100607,19790211, -122,    0
100607,19790212, -122,    0
100607,19790213, -112,    0
100607,19790214,  -65,    0
100607,19790215,  -13,    0
100607,19790216,  -10,    0
100607,19790217,   25,    0
100607,19790218,   16,    0
100607,19790219,  -41,    0
100607,19790220,  -85,    0
100607,19790221,  -43,    0
100607,19790222,  -17,    0
100607,19790223,  -18,    0
100607,19790224,  -74,    0
100607,19790225, -104,    0
100607,19790226,  -50,    0
100607,19790227,  -41,    0
100607,19790228,  -76,    0
100607,19790301,  -44,    0
100607,19790302,   -5,    0
100607,19790303,  -19,    0
100607,19790304,   -3,    0
100607,19790305,  -37,    0
100607,19790306,  -34,    0
100607,19790307,  -17,    0
100607,19790308,  -15,    0
100607,19790309,  -13,    0
100607,19790310,   -2,    0
100607,19790311,   -6,    0
100607,19790312,  -16,    0
100607,19790313,  -13,    0
100607,19790314,  -82,    0
100607,19790315,  -89,    0
100607,19790316,  -92,    0
100607,19790317,  -86,    0
100607,19790318, -104,    0
100607,19790319, -109,    0
100607,19790320, -124,    0
100607,19790321,  -91,    0
100607,19790322,  -91,    0
100607,19790323,  -55,    0
100607,19790324,  -55,    0
100607,19790325,  -21,    0
100607,19790326,   -2,    0
100607,19790327,   12,    0
100607,19790328,   13,    0
100607,19790329,   10,    0
100607,19790330,    3,    0
100607,19790331,   14,    0
100607,19790401,  -10,    0
100607,19790402,  -31,    0
100607,19790403,  -16,    0
100607,19790404,   -9,    0
100607,19790405,   -4,    0
100607,19790406,  -32,    0
100607,19790407,  -41,    0
100607,19790408,  -22,    0
100607,19790409,  -34,    0
100607,19790410,  -22,    0
100607,19790411,  -31,    0
100607,19790412,  -51,    0
100607,19790413,  -86,    0
100607,19790414,  -67,    0
100607,19790415,  -66,    0
100607,19790416,  -55,    0
100607,19790417,  -57,    0
100607,19790418,  -63,    0
100607,19790419,  -61,    0
100607,19790420,  -41,    0
100607,19790421,  -20,    0
100607,19790422,  -15,    0
100607,19790423,   13,    0
100607,19790424,   12,    0
100607,19790425,    6,    0
100607,19790426,   16,    0
100607,19790427,   19,    0
100607,19790428,    7,    0
100607,19790429,   16,    0
100607,19790430,   25,    0
100607,19790501,   33,    0
100607,19790502,   33,    0
100607,19790503,   34,    0
100607,19790504,   41,    0
100607,19790505,   35,    0
100607,19790506,   26,    0
100607,19790507,   30,    0
100607,19790508,   21,    0
100607,19790509,   28,    0
100607,19790510,   41,    0
100607,19790511,   30,    0
100607,19790512,   14,    0
100607,19790513,   14,    0
