EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 21-01-2021
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 TG   : mean temperature in 0.1 &#176;C
23-27 Q_TG : Quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station NORWAY, VANGSNES (STAID: 18311).
Blended and updated with sources: 199692 200703 901338 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   TG, Q_TG
200703,19790101, -135,    0
200703,19790102, -111,    0
200703,19790103,  -73,    0
200703,19790104,  -42,    0
200703,19790105,  -43,    0
200703,19790106,  -14,    0
200703,19790107,   27,    0
200703,19790108,   16,    0
200703,19790109,    6,    0
200703,19790110,   -2,    0
200703,19790111,   -5,    0
200703,19790112,  -17,    0
200703,19790113,  -37,    0
200703,19790114,  -45,    0
200703,19790115,  -56,    0
200703,19790116,  -29,    0
200703,19790117,   18,    0
200703,19790118,    2,    0
200703,19790119,  -22,    0
200703,19790120,  -30,    0
200703,19790121,  -19,    0
200703,19790122,  -45,    0
200703,19790123,  -33,    0
200703,19790124,  -50,    0
200703,19790125,  -39,    0
200703,19790126,  -72,    0
200703,19790127,  -88,    0
200703,19790128,  -45,    0
200703,19790129,  -42,    0
200703,19790130,  -52,    0
200703,19790131,  -64,    0
200703,19790201,  -26,    0
200703,19790202,  -41,    0
200703,19790203,  -25,    0
200703,19790204,  -27,    0
200703,19790205,    1,    0
200703,19790206,   11,    0
200703,19790207,   -2,    0
200703,19790208,  -18,    0
200703,19790209,  -15,    0
200703,19790210,   11,    0
200703,19790211,  -25,    0
200703,19790212,  -52,    0
200703,19790213,  -25,    0
200703,19790214,  -83,    0
200703,19790215,  -70,    0
200703,19790216,  -41,    0
200703,19790217,  -19,    0
200703,19790218,    3,    0
200703,19790219,   10,    0
200703,19790220,    7,    0
200703,19790221,   15,    0
200703,19790222,  -11,    0
200703,19790223,  -10,    0
200703,19790224,    2,    0
200703,19790225,    2,    0
200703,19790226,   25,    0
200703,19790227,   14,    0
200703,19790228,    6,    0
200703,19790301,   23,    0
200703,19790302,   22,    0
200703,19790303,   31,    0
200703,19790304,   20,    0
200703,19790305,   34,    0
200703,19790306,   46,    0
200703,19790307,   24,    0
200703,19790308,   15,    0
200703,19790309,   41,    0
200703,19790310,   11,    0
200703,19790311,   -3,    0
200703,19790312,   26,    0
200703,19790313,   20,    0
200703,19790314,  -15,    0
200703,19790315,  -20,    0
200703,19790316,  -18,    0
200703,19790317,  -48,    0
200703,19790318,  -65,    0
200703,19790319,  -48,    0
200703,19790320,   13,    0
200703,19790321,   19,    0
200703,19790322,   36,    0
200703,19790323,    8,    0
200703,19790324,    2,    0
200703,19790325,   14,    0
200703,19790326,   25,    0
200703,19790327,   58,    0
200703,19790328,   50,    0
200703,19790329,   61,    0
200703,19790330,   40,    0
200703,19790331,   44,    0
200703,19790401,   46,    0
200703,19790402,   49,    0
200703,19790403,   55,    0
200703,19790404,   64,    0
200703,19790405,   56,    0
200703,19790406,   62,    0
200703,19790407,   50,    0
200703,19790408,   34,    0
200703,19790409,   40,    0
200703,19790410,   35,    0
