EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 21-01-2021
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 TG   : mean temperature in 0.1 &#176;C
23-27 Q_TG : Quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station NORWAY, BODOE - SKIVIKA (STAID: 18353).
Blended and updated with sources: 105468 199073 199182 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   TG, Q_TG
105468,19790101,  -19,    0
105468,19790102,  -40,    0
105468,19790103,  -58,    0
105468,19790104,  -45,    0
105468,19790105,  -37,    0
105468,19790106,  -60,    0
105468,19790107,  -48,    0
105468,19790108,   12,    0
105468,19790109,  -31,    0
105468,19790110,  -22,    0
105468,19790111,  -49,    0
105468,19790112,  -30,    0
105468,19790113,  -43,    0
105468,19790114,  -35,    0
105468,19790115,  -46,    0
105468,19790116,  -28,    0
105468,19790117,  -23,    0
105468,19790118,   25,    0
105468,19790119,   21,    0
105468,19790120,  -27,    0
105468,19790121,   -3,    0
105468,19790122,  -21,    0
105468,19790123,  -44,    0
105468,19790124,  -45,    0
105468,19790125,  -78,    0
105468,19790126, -148,    0
105468,19790127,  -77,    0
105468,19790128,  -19,    0
105468,19790129,  -48,    0
105468,19790130,  -40,    0
105468,19790131,  -52,    0
105468,19790201,  -36,    0
105468,19790202,  -67,    0
105468,19790203,  -56,    0
105468,19790204,  -77,    0
105468,19790205,  -90,    0
105468,19790206,  -99,    0
105468,19790207,  -21,    0
105468,19790208,  -19,    0
105468,19790209,  -38,    0
105468,19790210,  -16,    0
105468,19790211,  -18,    0
105468,19790212,  -61,    0
105468,19790213, -111,    0
105468,19790214,  -53,    0
105468,19790215,   12,    0
105468,19790216,   24,    0
105468,19790217,   18,    0
105468,19790218,  -30,    0
105468,19790219,  -16,    0
105468,19790220,  -29,    0
105468,19790221,   29,    0
105468,19790222,   21,    0
105468,19790223,    6,    0
105468,19790224,   -7,    0
105468,19790225,   42,    0
105468,19790226,   26,    0
105468,19790227,   -3,    0
105468,19790228,    2,    0
105468,19790301,   29,    0
105468,19790302,   12,    0
105468,19790303,   37,    0
105468,19790304,   18,    0
105468,19790305,  -11,    0
105468,19790306,    2,    0
105468,19790307,   39,    0
105468,19790308,   15,    0
105468,19790309,   30,    0
105468,19790310,   35,    0
105468,19790311,   21,    0
105468,19790312,   19,    0
105468,19790313,    2,    0
105468,19790314,  -29,    0
105468,19790315,  -57,    0
105468,19790316,  -92,    0
105468,19790317,  -84,    0
105468,19790318,  -68,    0
105468,19790319, -108,    0
105468,19790320,  -90,    0
105468,19790321,  -55,    0
105468,19790322,   -7,    0
105468,19790323,    6,    0
105468,19790324,   -4,    0
105468,19790325,  -14,    0
105468,19790326,   33,    0
105468,19790327,   58,    0
105468,19790328,   52,    0
105468,19790329,   41,    0
105468,19790330,   23,    0
105468,19790331,   42,    0
105468,19790401,   45,    0
105468,19790402,   46,    0
105468,19790403,   28,    0
105468,19790404,   30,    0
105468,19790405,   30,    0
105468,19790406,   29,    0
105468,19790407,   15,    0
105468,19790408,    0,    0
105468,19790409,  -19,    0
105468,19790410,   -2,    0
105468,19790411,   26,    0
105468,19790412,    9,    0
105468,19790413,  -20,    0
105468,19790414,  -27,    0
105468,19790415,  -13,    0
105468,19790416,  -13,    0
105468,19790417,    3,    0
105468,19790418,   14,    0
105468,19790419,   18,    0
105468,19790420,   60,    0
105468,19790421,   61,    0
105468,19790422,   71,    0
105468,19790423,   73,    0
105468,19790424,   78,    0
105468,19790425,   78,    0
105468,19790426,   67,    0
105468,19790427,   48,    0
105468,19790428,   36,    0
105468,19790429,   46,    0
105468,19790430,   25,    0
105468,19790501,   37,    0
105468,19790502,   67,    0
105468,19790503,   54,    0
105468,19790504,   59,    0
105468,19790505,   61,    0
105468,19790506,   50,    0
105468,19790507,   51,    0
105468,19790508,   48,    0
105468,19790509,   42,    0
105468,19790510,   30,    0
105468,19790511,   37,    0
105468,19790512,   28,    0
105468,19790513,   28,    0
105468,19790514,   24,    0
105468,19790515,    5,    0
105468,19790516,   35,    0
105468,19790517,   79,    0
105468,19790518,   56,    0
105468,19790519,   45,    0
105468,19790520,   37,    0
105468,19790521,   89,    0
105468,19790522,   92,    0
105468,19790523,   77,    0
105468,19790524,  106,    0
105468,19790525,  114,    0
105468,19790526,   78,    0
105468,19790527,   82,    0
105468,19790528,  108,    0
105468,19790529,   76,    0
105468,19790530,   91,    0
105468,19790531,   66,    0
105468,19790601,  133,    0
105468,19790602,   77,    0
105468,19790603,   71,    0
105468,19790604,   67,    0
105468,19790605,   78,    0
105468,19790606,  121,    0
105468,19790607,  105,    0
105468,19790608,   64,    0
105468,19790609,   64,    0
105468,19790610,   69,    0
105468,19790611,   75,    0
105468,19790612,   84,    0
105468,19790613,   87,    0
105468,19790614,  153,    0
105468,19790615,  123,    0
105468,19790616,   87,    0
105468,19790617,   68,    0
105468,19790618,   72,    0
105468,19790619,   85,    0
105468,19790620,   91,    0
105468,19790621,  134,    0
105468,19790622,  193,    0
105468,19790623,  131,    0
105468,19790624,  170,    0
105468,19790625,  220,    0
105468,19790626,  120,    0
105468,19790627,  136,    0
105468,19790628,  108,    0
105468,19790629,  105,    0
105468,19790630,  117,    0
105468,19790701,   86,    0
105468,19790702,   83,    0
105468,19790703,  103,    0
105468,19790704,   92,    0
105468,19790705,  108,    0
105468,19790706,  109,    0
105468,19790707,  165,    0
105468,19790708,  187,    0
105468,19790709,  221,    0
105468,19790710,  146,    0
105468,19790711,  108,    0
105468,19790712,  125,    0
105468,19790713,  151,    0
105468,19790714,  136,    0
105468,19790715,  170,    0
105468,19790716,  153,    0
105468,19790717,  124,    0
105468,19790718,  177,    0
105468,19790719,  198,    0
105468,19790720,  162,    0
105468,19790721,  172,    0
105468,19790722,  126,    0
105468,19790723,  130,    0
105468,19790724,  139,    0
105468,19790725,  139,    0
105468,19790726,  133,    0
105468,19790727,  122,    0
105468,19790728,  111,    0
105468,19790729,  123,    0
105468,19790730,  164,    0
105468,19790731,  136,    0
105468,19790801,  133,    0
105468,19790802,  117,    0
105468,19790803,  102,    0
105468,19790804,   94,    0
105468,19790805,   94,    0
105468,19790806,  113,    0
105468,19790807,  163,    0
105468,19790808,  192,    0
105468,19790809,  201,    0
105468,19790810,  145,    0
105468,19790811,  121,    0
105468,19790812,  156,    0
105468,19790813,  176,    0
105468,19790814,  179,    0
105468,19790815,  177,    0
105468,19790816,  130,    0
105468,19790817,  135,    0
105468,19790818,  138,    0
105468,19790819,  205,    0
105468,19790820,  178,    0
105468,19790821,  174,    0
105468,19790822,  145,    0
105468,19790823,  105,    0
105468,19790824,   99,    0
105468,19790825,   97,    0
105468,19790826,  101,    0
105468,19790827,   92,    0
105468,19790828,   99,    0
105468,19790829,  111,    0
105468,19790830,   96,    0
105468,19790831,   87,    0
105468,19790901,   99,    0
105468,19790902,   84,    0
105468,19790903,  109,    0
105468,19790904,  119,    0
105468,19790905,  107,    0
105468,19790906,  107,    0
105468,19790907,  155,    0
105468,19790908,  121,    0
105468,19790909,   92,    0
105468,19790910,  100,    0
105468,19790911,   85,    0
105468,19790912,   84,    0
105468,19790913,   80,    0
105468,19790914,   84,    0
105468,19790915,   68,    0
105468,19790916,   50,    0
105468,19790917,   58,    0
105468,19790918,   87,    0
105468,19790919,   81,    0
105468,19790920,   81,    0
