EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 21-01-2021
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 TG   : mean temperature in 0.1 &#176;C
23-27 Q_TG : Quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station NORWAY, E16 INDRE ARNA (STAID: 18432).
Blended and updated with sources: 105463 199224 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   TG, Q_TG
105463,19790101, -119,    0
105463,19790102,  -96,    0
105463,19790103,  -36,    0
105463,19790104,  -13,    0
105463,19790105,  -10,    0
105463,19790106,   24,    0
105463,19790107,   42,    0
105463,19790108,   20,    0
105463,19790109,   18,    0
105463,19790110,    6,    0
105463,19790111,   -9,    0
105463,19790112,  -13,    0
105463,19790113,  -13,    0
105463,19790114,  -31,    0
105463,19790115,  -28,    0
105463,19790116,   22,    0
105463,19790117,   46,    0
105463,19790118,    5,    0
105463,19790119,   -7,    0
105463,19790120,  -25,    0
105463,19790121,   -8,    0
105463,19790122,   -9,    0
105463,19790123,  -26,    0
105463,19790124,  -32,    0
105463,19790125,  -26,    0
105463,19790126,  -51,    0
105463,19790127,  -40,    0
105463,19790128,   -8,    0
105463,19790129,   -8,    0
105463,19790130,  -42,    0
105463,19790131,   -8,    0
105463,19790201,    7,    0
105463,19790202,   -5,    0
105463,19790203,   -9,    0
105463,19790204,    1,    0
105463,19790205,    4,    0
105463,19790206,    5,    0
105463,19790207,    1,    0
105463,19790208,  -11,    0
105463,19790209,  -16,    0
105463,19790210,  -10,    0
105463,19790211,  -17,    0
105463,19790212,  -37,    0
105463,19790213,  -30,    0
105463,19790214,  -81,    0
105463,19790215,  -22,    0
105463,19790216,  -36,    0
105463,19790217,  -29,    0
105463,19790218,   27,    0
105463,19790219,    9,    0
105463,19790220,   24,    0
105463,19790221,    5,    0
105463,19790222,    3,    0
105463,19790223,    9,    0
105463,19790224,   14,    0
105463,19790225,   26,    0
105463,19790226,   38,    0
105463,19790227,   30,    0
105463,19790228,   13,    0
105463,19790301,   13,    0
105463,19790302,   38,    0
105463,19790303,   53,    0
105463,19790304,   37,    0
105463,19790305,   46,    0
105463,19790306,   53,    0
105463,19790307,   32,    0
105463,19790308,   25,    0
105463,19790309,   20,    0
105463,19790310,    8,    0
105463,19790311,   24,    0
105463,19790312,   31,    0
105463,19790313,   14,    0
105463,19790314,    6,    0
105463,19790315,   -2,    0
105463,19790316,  -11,    0
105463,19790317,  -30,    0
105463,19790318,  -46,    0
105463,19790319,  -10,    0
105463,19790320,    9,    0
105463,19790321,   26,    0
105463,19790322,   32,    0
105463,19790323,   15,    0
105463,19790324,   23,    0
105463,19790325,   35,    0
105463,19790326,   56,    0
105463,19790327,   47,    0
105463,19790328,   65,    0
105463,19790329,   85,    0
105463,19790330,   51,    0
105463,19790331,   39,    0
105463,19790401,   48,    0
105463,19790402,   48,    0
105463,19790403,   68,    0
105463,19790404,   73,    0
105463,19790405,   59,    0
105463,19790406,   69,    0
105463,19790407,   61,    0
105463,19790408,   42,    0
105463,19790409,   50,    0
105463,19790410,   56,    0
105463,19790411,  121,    0
105463,19790412,  112,    0
105463,19790413,   76,    0
105463,19790414,   60,    0
105463,19790415,   50,    0
105463,19790416,   47,    0
105463,19790417,   47,    0
105463,19790418,   48,    0
105463,19790419,   55,    0
105463,19790420,   63,    0
105463,19790421,   56,    0
105463,19790422,   49,    0
105463,19790423,   75,    0
105463,19790424,   84,    0
105463,19790425,   81,    0
105463,19790426,   66,    0
105463,19790427,   66,    0
105463,19790428,   51,    0
105463,19790429,   41,    0
105463,19790430,   26,    0
105463,19790501,   29,    0
105463,19790502,   34,    0
105463,19790503,   36,    0
105463,19790504,   25,    0
105463,19790505,   29,    0
105463,19790506,   39,    0
105463,19790507,   45,    0
105463,19790508,   55,    0
105463,19790509,   58,    0
105463,19790510,   51,    0
105463,19790511,   66,    0
105463,19790512,   60,    0
105463,19790513,   89,    0
105463,19790514,   87,    0
105463,19790515,   86,    0
105463,19790516,   89,    0
105463,19790517,   86,    0
105463,19790518,   66,    0
105463,19790519,   51,    0
105463,19790520,   87,    0
105463,19790521,  136,    0
105463,19790522,  110,    0
105463,19790523,  118,    0
105463,19790524,  117,    0
105463,19790525,   79,    0
105463,19790526,   86,    0
105463,19790527,  108,    0
105463,19790528,  100,    0
105463,19790529,  109,    0
105463,19790530,  128,    0
105463,19790531,  153,    0
105463,19790601,  114,    0
105463,19790602,  127,    0
105463,19790603,  147,    0
105463,19790604,  184,    0
105463,19790605,  190,    0
105463,19790606,  185,    0
105463,19790607,  158,    0
105463,19790608,  110,    0
105463,19790609,  108,    0
105463,19790610,  101,    0
105463,19790611,  113,    0
105463,19790612,  121,    0
105463,19790613,  112,    0
105463,19790614,  108,    0
105463,19790615,  155,    0
105463,19790616,  101,    0
105463,19790617,  102,    0
105463,19790618,  110,    0
105463,19790619,  127,    0
105463,19790620,  153,    0
105463,19790621,  142,    0
105463,19790622,  138,    0
105463,19790623,  147,    0
105463,19790624,  152,    0
105463,19790625,  125,    0
105463,19790626,   90,    0
105463,19790627,  101,    0
105463,19790628,  100,    0
105463,19790629,   89,    0
105463,19790630,   87,    0
105463,19790701,   95,    0
105463,19790702,   89,    0
105463,19790703,  105,    0
105463,19790704,  131,    0
105463,19790705,  130,    0
105463,19790706,  126,    0
105463,19790707,  129,    0
105463,19790708,  119,    0
105463,19790709,  119,    0
105463,19790710,  127,    0
105463,19790711,  133,    0
105463,19790712,  144,    0
105463,19790713,  165,    0
105463,19790714,  117,    0
105463,19790715,  116,    0
105463,19790716,  128,    0
105463,19790717,  128,    0
105463,19790718,  118,    0
105463,19790719,  117,    0
105463,19790720,  106,    0
105463,19790721,  110,    0
105463,19790722,  119,    0
105463,19790723,   99,    0
105463,19790724,  108,    0
105463,19790725,  120,    0
105463,19790726,  130,    0
105463,19790727,  144,    0
105463,19790728,  143,    0
105463,19790729,  141,    0
105463,19790730,  137,    0
105463,19790731,  153,    0
105463,19790801,  155,    0
105463,19790802,  133,    0
105463,19790803,  141,    0
105463,19790804,  128,    0
105463,19790805,  115,    0
105463,19790806,  149,    0
105463,19790807,  165,    0
105463,19790808,  158,    0
105463,19790809,  113,    0
105463,19790810,  118,    0
105463,19790811,  133,    0
105463,19790812,  128,    0
105463,19790813,  143,    0
105463,19790814,  158,    0
105463,19790815,  125,    0
105463,19790816,  138,    0
105463,19790817,  138,    0
105463,19790818,  146,    0
105463,19790819,  159,    0
105463,19790820,  148,    0
105463,19790821,  132,    0
105463,19790822,   98,    0
105463,19790823,  129,    0
105463,19790824,  124,    0
105463,19790825,  139,    0
105463,19790826,  137,    0
105463,19790827,  122,    0
105463,19790828,  103,    0
105463,19790829,  129,    0
105463,19790830,  121,    0
105463,19790831,  104,    0
105463,19790901,  110,    0
105463,19790902,  146,    0
105463,19790903,  148,    0
105463,19790904,  107,    0
105463,19790905,  130,    0
105463,19790906,  172,    0
105463,19790907,  159,    0
105463,19790908,  139,    0
105463,19790909,  114,    0
105463,19790910,  113,    0
105463,19790911,  107,    0
105463,19790912,   94,    0
105463,19790913,   99,    0
105463,19790914,   70,    0
105463,19790915,   72,    0
105463,19790916,   88,    0
105463,19790917,  108,    0
105463,19790918,  110,    0
105463,19790919,  103,    0
105463,19790920,   97,    0
105463,19790921,   82,    0
105463,19790922,   91,    0
105463,19790923,   83,    0
105463,19790924,   87,    0
