EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 21-01-2021
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 TG   : mean temperature in 0.1 &#176;C
23-27 Q_TG : Quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station NORWAY, OSLO - LILLEAKER (STAID: 18438).
Blended and updated with sources: 199234 199424 200667 200771 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   TG, Q_TG
200667,19790101, -178,    0
200667,19790102,  -90,    0
200667,19790103,  -95,    0
200667,19790104, -149,    0
200667,19790105, -161,    0
200667,19790106, -111,    0
200667,19790107,   17,    0
200667,19790108,  -40,    0
200667,19790109, -109,    0
200667,19790110,  -70,    0
200667,19790111,  -25,    0
200667,19790112,  -25,    0
200667,19790113,  -63,    0
200667,19790114,  -68,    0
200667,19790115, -115,    0
200667,19790116,  -77,    0
200667,19790117,  -59,    0
200667,19790118,  -12,    0
200667,19790119,  -23,    0
200667,19790120,  -60,    0
200667,19790121,  -51,    0
200667,19790122,  -70,    0
200667,19790123,  -77,    0
200667,19790124,  -69,    0
200667,19790125, -134,    0
200667,19790126, -180,    0
200667,19790127, -175,    0
200667,19790128, -145,    0
200667,19790129, -110,    0
200667,19790130, -100,    0
200667,19790131,  -98,    0
200667,19790201,  -97,    0
200667,19790202, -112,    0
200667,19790203,  -86,    0
200667,19790204, -122,    0
200667,19790205, -153,    0
200667,19790206, -146,    0
200667,19790207,  -48,    0
200667,19790208,  -77,    0
200667,19790209,  -51,    0
200667,19790210,  -49,    0
200667,19790211,  -95,    0
200667,19790212, -139,    0
200667,19790213,  -85,    0
200667,19790214, -145,    0
200667,19790215, -143,    0
200667,19790216, -143,    0
200667,19790217, -151,    0
200667,19790218,  -72,    0
200667,19790219,  -39,    0
200667,19790220,  -38,    0
200667,19790221,  -31,    0
200667,19790222,  -47,    0
200667,19790223,  -42,    0
200667,19790224,  -36,    0
200667,19790225,  -57,    0
200667,19790226,  -50,    0
200667,19790227,   -4,    0
200667,19790228,    4,    0
200667,19790301,  -18,    0
200667,19790302,  -23,    0
200667,19790303,   36,    0
200667,19790304,   11,    0
200667,19790305,   10,    0
200667,19790306,   23,    0
200667,19790307,    3,    0
200667,19790308,   11,    0
200667,19790309,    8,    0
200667,19790310,    7,    0
200667,19790311,  -10,    0
200667,19790312,   -4,    0
200667,19790313,  -22,    0
200667,19790314,  -38,    0
200667,19790315,  -34,    0
200667,19790316,  -49,    0
200667,19790317, -103,    0
200667,19790318, -137,    0
