EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 21-01-2021
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 TG   : mean temperature in 0.1 &#176;C
23-27 Q_TG : Quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station NORWAY, BERGEN - SANDSLI (STAID: 18495).
Blended and updated with sources: 110655 199337 901317 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   TG, Q_TG
110655,19790101, -124,    0
110655,19790102, -105,    0
110655,19790103,  -27,    0
110655,19790104,  -11,    0
110655,19790105,   -8,    0
110655,19790106,   26,    0
110655,19790107,   51,    0
110655,19790108,   25,    0
110655,19790109,   27,    0
110655,19790110,    3,    0
110655,19790111,  -31,    0
110655,19790112,  -29,    0
110655,19790113,  -22,    0
110655,19790114,  -49,    0
110655,19790115,  -32,    0
110655,19790116,   22,    0
110655,19790117,   40,    0
110655,19790118,    5,    0
110655,19790119,  -13,    0
110655,19790120,  -33,    0
110655,19790121,  -19,    0
110655,19790122,  -16,    0
110655,19790123,  -29,    0
110655,19790124,  -42,    0
110655,19790125,  -38,    0
110655,19790126,  -66,    0
110655,19790127,  -44,    0
110655,19790128,  -11,    0
110655,19790129,  -16,    0
110655,19790130,  -41,    0
110655,19790131,  -20,    0
110655,19790201,    1,    0
110655,19790202,   -8,    0
110655,19790203,  -23,    0
110655,19790204,   -7,    0
110655,19790205,   -4,    0
110655,19790206,  -12,    0
110655,19790207,  -11,    0
110655,19790208,  -24,    0
110655,19790209,  -39,    0
110655,19790210,  -19,    0
110655,19790211,  -40,    0
110655,19790212,  -48,    0
110655,19790213,  -57,    0
110655,19790214,  -83,    0
110655,19790215,  -52,    0
110655,19790216,  -55,    0
110655,19790217,  -48,    0
110655,19790218,    5,    0
110655,19790219,   -4,    0
110655,19790220,    7,    0
110655,19790221,   -6,    0
110655,19790222,   -7,    0
110655,19790223,    1,    0
110655,19790224,    1,    0
110655,19790225,   10,    0
110655,19790226,   23,    0
110655,19790227,   16,    0
110655,19790228,    6,    0
110655,19790301,    9,    0
110655,19790302,   31,    0
110655,19790303,   44,    0
110655,19790304,   32,    0
110655,19790305,   42,    0
110655,19790306,   38,    0
110655,19790307,   17,    0
110655,19790308,    9,    0
110655,19790309,   14,    0
110655,19790310,    4,    0
110655,19790311,   13,    0
110655,19790312,   19,    0
110655,19790313,   -6,    0
110655,19790314,   -5,    0
110655,19790315,  -14,    0
110655,19790316,  -20,    0
110655,19790317,  -44,    0
110655,19790318,  -55,    0
110655,19790319,   -8,    0
110655,19790320,   13,    0
110655,19790321,   20,    0
110655,19790322,   22,    0
110655,19790323,   22,    0
110655,19790324,   25,    0
110655,19790325,   30,    0
110655,19790326,   47,    0
110655,19790327,   39,    0
110655,19790328,   67,    0
110655,19790329,   89,    0
110655,19790330,   46,    0
110655,19790331,   39,    0
110655,19790401,   49,    0
110655,19790402,   47,    0
110655,19790403,   65,    0
110655,19790404,   69,    0
110655,19790405,   58,    0
110655,19790406,   60,    0
110655,19790407,   61,    0
110655,19790408,   39,    0
110655,19790409,   44,    0
110655,19790410,   51,    0
