EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 21-01-2021
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 TG   : mean temperature in 0.1 &#176;C
23-27 Q_TG : Quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station NORWAY, E18 STUDEVANN (STAID: 18647).
Blended and updated with sources: 110449 199624 901452 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   TG, Q_TG
110449,19790101, -157,    0
110449,19790102, -189,    0
110449,19790103, -179,    0
110449,19790104, -148,    0
110449,19790105, -111,    0
110449,19790106,  -14,    0
110449,19790107,   46,    0
110449,19790108,   25,    0
110449,19790109,  -40,    0
110449,19790110,  -20,    0
110449,19790111,  -10,    0
110449,19790112,  -23,    0
110449,19790113,  -61,    0
110449,19790114, -116,    0
110449,19790115, -164,    0
110449,19790116,  -54,    0
110449,19790117,  -35,    0
110449,19790118,  -36,    0
110449,19790119,  -26,    0
110449,19790120,  -41,    0
110449,19790121,  -51,    0
110449,19790122,  -66,    0
110449,19790123,  -81,    0
110449,19790124,  -74,    0
110449,19790125,  -92,    0
110449,19790126, -148,    0
110449,19790127, -166,    0
110449,19790128,  -45,    0
110449,19790129,  -35,    0
110449,19790130,  -79,    0
110449,19790131, -134,    0
110449,19790201,  -66,    0
110449,19790202, -102,    0
110449,19790203,   -4,    0
110449,19790204,  -45,    0
110449,19790205,  -88,    0
110449,19790206, -125,    0
110449,19790207,  -47,    0
110449,19790208,  -21,    0
110449,19790209,  -13,    0
110449,19790210,  -86,    0
110449,19790211, -105,    0
110449,19790212, -133,    0
110449,19790213,  -93,    0
110449,19790214, -139,    0
110449,19790215, -107,    0
110449,19790216, -104,    0
110449,19790217,  -70,    0
110449,19790218,  -50,    0
110449,19790219,  -29,    0
110449,19790220,  -20,    0
110449,19790221,  -23,    0
110449,19790222,  -30,    0
110449,19790223,  -68,    0
110449,19790224,  -60,    0
110449,19790225,  -16,    0
110449,19790226,   28,    0
110449,19790227,    9,    0
110449,19790228,   14,    0
110449,19790301,  -16,    0
110449,19790302,   18,    0
110449,19790303,   50,    0
110449,19790304,   31,    0
110449,19790305,   38,    0
110449,19790306,   36,    0
110449,19790307,   20,    0
110449,19790308,   29,    0
110449,19790309,   24,    0
110449,19790310,    9,    0
110449,19790311,  -10,    0
110449,19790312,   -6,    0
110449,19790313,   -4,    0
110449,19790314,  -36,    0
110449,19790315,  -27,    0
110449,19790316,  -31,    0
110449,19790317,  -78,    0
110449,19790318,  -89,    0
110449,19790319,  -50,    0
110449,19790320,   -3,    0
110449,19790321,   -6,    0
110449,19790322,   14,    0
110449,19790323,   32,    0
110449,19790324,   22,    0
110449,19790325,   -7,    0
110449,19790326,   31,    0
110449,19790327,   18,    0
110449,19790328,   29,    0
110449,19790329,   29,    0
110449,19790330,   40,    0
110449,19790331,   25,    0
110449,19790401,   35,    0
110449,19790402,   12,    0
110449,19790403,   10,    0
110449,19790404,   26,    0
110449,19790405,   24,    0
110449,19790406,   14,    0
110449,19790407,   34,    0
110449,19790408,   32,    0
110449,19790409,   11,    0
110449,19790410,   30,    0
110449,19790411,   47,    0
110449,19790412,   59,    0
110449,19790413,   39,    0
110449,19790414,   73,    0
110449,19790415,   29,    0
110449,19790416,   10,    0
110449,19790417,   23,    0
110449,19790418,   28,    0
110449,19790419,   35,    0
110449,19790420,   40,    0
110449,19790421,   44,    0
110449,19790422,   36,    0
110449,19790423,   40,    0
110449,19790424,   40,    0
110449,19790425,   41,    0
110449,19790426,   44,    0
110449,19790427,   60,    0
110449,19790428,   43,    0
110449,19790429,   59,    0
110449,19790430,   41,    0
110449,19790501,   43,    0
110449,19790502,   38,    0
110449,19790503,   50,    0
110449,19790504,   29,    0
110449,19790505,   30,    0
110449,19790506,   46,    0
110449,19790507,   34,    0
110449,19790508,   42,    0
110449,19790509,   32,    0
110449,19790510,   68,    0
110449,19790511,   53,    0
110449,19790512,   63,    0
110449,19790513,   73,    0
110449,19790514,   95,    0
110449,19790515,   97,    0
110449,19790516,  106,    0
110449,19790517,   84,    0
110449,19790518,   76,    0
110449,19790519,   69,    0
110449,19790520,   65,    0
110449,19790521,   79,    0
110449,19790522,   82,    0
110449,19790523,   85,    0
110449,19790524,  111,    0
110449,19790525,   99,    0
110449,19790526,   79,    0
110449,19790527,   92,    0
110449,19790528,  101,    0
110449,19790529,   97,    0
110449,19790530,  107,    0
110449,19790531,  168,    0
110449,19790601,  192,    0
110449,19790602,  196,    0
110449,19790603,  164,    0
110449,19790604,  160,    0
110449,19790605,  162,    0
110449,19790606,  183,    0
110449,19790607,  141,    0
110449,19790608,  126,    0
110449,19790609,  120,    0
110449,19790610,  127,    0
110449,19790611,  136,    0
110449,19790612,  115,    0
110449,19790613,  116,    0
110449,19790614,  104,    0
110449,19790615,  116,    0
110449,19790616,  127,    0
110449,19790617,  130,    0
110449,19790618,  160,    0
110449,19790619,  144,    0
110449,19790620,  144,    0
110449,19790621,  133,    0
110449,19790622,  153,    0
110449,19790623,  134,    0
110449,19790624,  148,    0
110449,19790625,  132,    0
110449,19790626,  119,    0
110449,19790627,  117,    0
110449,19790628,  113,    0
110449,19790629,  112,    0
110449,19790630,  110,    0
110449,19790701,  138,    0
110449,19790702,  123,    0
110449,19790703,  151,    0
110449,19790704,  144,    0
110449,19790705,  166,    0
110449,19790706,  165,    0
110449,19790707,  141,    0
110449,19790708,  187,    0
110449,19790709,  154,    0
110449,19790710,  168,    0
110449,19790711,  163,    0
110449,19790712,  156,    0
110449,19790713,  165,    0
110449,19790714,  160,    0
110449,19790715,  145,    0
110449,19790716,  144,    0
110449,19790717,  136,    0
110449,19790718,  144,    0
110449,19790719,  143,    0
110449,19790720,  141,    0
110449,19790721,  129,    0
110449,19790722,  161,    0
110449,19790723,  148,    0
110449,19790724,  147,    0
110449,19790725,  130,    0
110449,19790726,  132,    0
110449,19790727,  152,    0
110449,19790728,  147,    0
110449,19790729,  140,    0
110449,19790730,  157,    0
110449,19790731,  138,    0
110449,19790801,  142,    0
110449,19790802,  127,    0
110449,19790803,  154,    0
110449,19790804,  136,    0
110449,19790805,  134,    0
110449,19790806,  124,    0
110449,19790807,  146,    0
110449,19790808,  144,    0
110449,19790809,  147,    0
110449,19790810,  137,    0
110449,19790811,  124,    0
110449,19790812,  141,    0
110449,19790813,  118,    0
110449,19790814,  153,    0
110449,19790815,  149,    0
110449,19790816,  113,    0
110449,19790817,  128,    0
110449,19790818,  185,    0
110449,19790819,  182,    0
110449,19790820,  147,    0
110449,19790821,  142,    0
110449,19790822,  111,    0
110449,19790823,  102,    0
110449,19790824,  118,    0
110449,19790825,  128,    0
110449,19790826,  140,    0
110449,19790827,  136,    0
110449,19790828,  115,    0
110449,19790829,  158,    0
110449,19790830,  149,    0
110449,19790831,  126,    0
110449,19790901,  135,    0
110449,19790902,  146,    0
110449,19790903,  145,    0
110449,19790904,  126,    0
110449,19790905,  155,    0
110449,19790906,  141,    0
110449,19790907,  154,    0
110449,19790908,  149,    0
110449,19790909,  140,    0
110449,19790910,  129,    0
110449,19790911,  134,    0
110449,19790912,  109,    0
110449,19790913,  118,    0
110449,19790914,   77,    0
110449,19790915,   94,    0
110449,19790916,   71,    0
110449,19790917,  122,    0
110449,19790918,  132,    0
110449,19790919,  119,    0
110449,19790920,   81,    0
110449,19790921,   93,    0
110449,19790922,  108,    0
110449,19790923,   61,    0
110449,19790924,   86,    0
110449,19790925,   72,    0
110449,19790926,  130,    0
110449,19790927,   93,    0
110449,19790928,   94,    0
110449,19790929,   94,    0
110449,19790930,   33,    0
110449,19791001,   42,    0
110449,19791002,   47,    0
110449,19791003,   56,    0
110449,19791004,   58,    0
110449,19791005,   70,    0
110449,19791006,   82,    0
110449,19791007,   84,    0
110449,19791008,   94,    0
110449,19791009,  101,    0
110449,19791010,  110,    0
110449,19791011,  123,    0
110449,19791012,   96,    0
110449,19791013,  106,    0
110449,19791014,   96,    0
110449,19791015,  101,    0
110449,19791016,   93,    0
110449,19791017,   70,    0
110449,19791018,   93,    0
110449,19791019,   66,    0
110449,19791020,   95,    0
110449,19791021,   57,    0
110449,19791022,   16,    0
110449,19791023,    9,    0
110449,19791024,   45,    0
110449,19791025,   70,    0
110449,19791026,   35,    0
110449,19791027,   19,    0
110449,19791028,   28,    0
110449,19791029,   41,    0
110449,19791030,   35,    0
110449,19791031,   38,    0
110449,19791101,   54,    0
110449,19791102,   30,    0
110449,19791103,   46,    0
110449,19791104,   82,    0
110449,19791105,   54,    0
110449,19791106,   34,    0
110449,19791107,   32,    0
110449,19791108,   36,    0
110449,19791109,    6,    0
110449,19791110,    6,    0
110449,19791111,    6,    0
110449,19791112,   -9,    0
110449,19791113,  -61,    0
110449,19791114,  -72,    0
110449,19791115,  -13,    0
110449,19791116,    9,    0
110449,19791117,   -2,    0
110449,19791118,   45,    0
110449,19791119,   32,    0
110449,19791120,    8,    0
110449,19791121,  -10,    0
110449,19791122,   64,    0
110449,19791123,   62,    0
110449,19791124,   22,    0
110449,19791125,   34,    0
110449,19791126,   65,    0
110449,19791127,   47,    0
110449,19791128,    8,    0
110449,19791129,   62,    0
110449,19791130,   41,    0
110449,19791201,   56,    0
110449,19791202,   83,    0
110449,19791203,   66,    0
110449,19791204,   68,    0
110449,19791205,   66,    0
110449,19791206,   57,    0
110449,19791207,   25,    0
110449,19791208,  -17,    0
110449,19791209,  -12,    0
110449,19791210,  -34,    0
110449,19791211,  -37,    0
110449,19791212,  -90,    0
110449,19791213,   -5,    0
110449,19791214,    2,    0
110449,19791215,  -42,    0
110449,19791216,  -83,    0
110449,19791217,  -35,    0
110449,19791218, -112,    0
110449,19791219,  -81,    0
110449,19791220,  -70,    0
110449,19791221,  -90,    0
110449,19791222,  -43,    0
110449,19791223,  -17,    0
110449,19791224,    7,    0
110449,19791225,   21,    0
110449,19791226,    7,    0
110449,19791227,   28,    0
110449,19791228,   18,    0
110449,19791229,  -16,    0
110449,19791230,  -29,    0
110449,19791231,  -34,    0
110449,19800101,  -47,    0
110449,19800102,  -82,    0
110449,19800103, -120,    0
110449,19800104,  -40,    0
110449,19800105,  -41,    0
110449,19800106,   -9,    0
110449,19800107,  -43,    0
110449,19800108,  -32,    0
110449,19800109,  -40,    0
110449,19800110,  -34,    0
110449,19800111,  -34,    0
110449,19800112, -100,    0
110449,19800113,   19,    0
110449,19800114,   22,    0
110449,19800115,  -45,    0
110449,19800116,  -74,    0
110449,19800117,  -59,    0
110449,19800118,  -63,    0
110449,19800119,  -15,    0
110449,19800120,    0,    0
110449,19800121,   -3,    0
110449,19800122,   -2,    0
110449,19800123,   18,    0
110449,19800124,  -29,    0
110449,19800125,  -89,    0
110449,19800126, -109,    0
110449,19800127, -106,    0
110449,19800128,  -64,    0
110449,19800129,  -78,    0
110449,19800130,  -66,    0
110449,19800131,  -96,    0
110449,19800201, -123,    0
110449,19800202, -141,    0
110449,19800203, -107,    0
110449,19800204, -148,    0
110449,19800205,  -83,    0
110449,19800206,  -77,    0
110449,19800207,  -85,    0
110449,19800208, -108,    0
110449,19800209, -105,    0
110449,19800210,  -73,    0
110449,19800211,  -57,    0
110449,19800212,  -44,    0
110449,19800213,  -14,    0
110449,19800214,   19,    0
110449,19800215,   19,    0
110449,19800216,  -15,    0
110449,19800217,  -33,    0
110449,19800218,  -32,    0
110449,19800219,  -12,    0
110449,19800220,  -12,    0
110449,19800221,  -20,    0
110449,19800222,  -27,    0
110449,19800223,  -38,    0
110449,19800224,  -58,    0
110449,19800225,  -41,    0
110449,19800226,  -41,    0
110449,19800227,  -65,    0
110449,19800228,   -3,    0
110449,19800229,   21,    0
110449,19800301,   47,    0
110449,19800302,  -10,    0
110449,19800303,  -12,    0
110449,19800304,  -37,    0
110449,19800305,    6,    0
110449,19800306,    1,    0
110449,19800307,    3,    0
110449,19800308,   -2,    0
110449,19800309,    6,    0
110449,19800310,    4,    0
110449,19800311,   -4,    0
110449,19800312,    0,    0
110449,19800313,   12,    0
110449,19800314,   -3,    0
110449,19800315,  -14,    0
110449,19800316,   -5,    0
110449,19800317,   -6,    0
110449,19800318,  -37,    0
110449,19800319,  -59,    0
110449,19800320,  -77,    0
110449,19800321,  -41,    0
110449,19800322,  -29,    0
110449,19800323,  -42,    0
110449,19800324,  -30,    0
110449,19800325,  -27,    0
110449,19800326,   -9,    0
110449,19800327,  -15,    0
110449,19800328,   -9,    0
110449,19800329,   11,    0
110449,19800330,   24,    0
110449,19800331,   19,    0
110449,19800401,    2,    0
110449,19800402,   11,    0
110449,19800403,   34,    0
110449,19800404,   15,    0
110449,19800405,   20,    0
110449,19800406,   12,    0
110449,19800407,   20,    0
110449,19800408,   58,    0
110449,19800409,   12,    0
110449,19800410,   42,    0
110449,19800411,   63,    0
110449,19800412,   43,    0
110449,19800413,   43,    0
110449,19800414,   53,    0
110449,19800415,   76,    0
110449,19800416,   58,    0
110449,19800417,   72,    0
110449,19800418,   73,    0
110449,19800419,   18,    0
110449,19800420,   59,    0
110449,19800421,   50,    0
110449,19800422,   37,    0
110449,19800423,   45,    0
110449,19800424,   82,    0
110449,19800425,   92,    0
110449,19800426,   62,    0
110449,19800427,   91,    0
110449,19800428,   86,    0
110449,19800429,  110,    0
110449,19800430,  101,    0
110449,19800501,  115,    0
110449,19800502,   86,    0
110449,19800503,   94,    0
110449,19800504,   96,    0
110449,19800505,  105,    0
110449,19800506,   99,    0
110449,19800507,   89,    0
110449,19800508,   91,    0
110449,19800509,   74,    0
110449,19800510,   92,    0
110449,19800511,   87,    0
110449,19800512,   84,    0
110449,19800513,   97,    0
110449,19800514,  122,    0
110449,19800515,  146,    0
110449,19800516,  161,    0
110449,19800517,  166,    0
110449,19800518,  172,    0
110449,19800519,  150,    0
110449,19800520,  117,    0
110449,19800521,   72,    0
110449,19800522,  123,    0
110449,19800523,  126,    0
110449,19800524,  117,    0
110449,19800525,  119,    0
110449,19800526,  117,    0
110449,19800527,  109,    0
110449,19800528,   93,    0
110449,19800529,  115,    0
110449,19800530,  119,    0
110449,19800531,  118,    0
110449,19800601,  129,    0
110449,19800602,  154,    0
110449,19800603,  150,    0
110449,19800604,  162,    0
110449,19800605,  190,    0
110449,19800606,  187,    0
110449,19800607,  193,    0
