EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 21-01-2021
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 TG   : mean temperature in 0.1 &#176;C
23-27 Q_TG : Quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station NORWAY, HOEYLANDET - DRAGEIDET (STAID: 18742).
Blended and updated with sources: 199080 200582 200723 901295 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   TG, Q_TG
200723,19790101, -192,    0
200723,19790102, -117,    0
200723,19790103, -223,    0
200723,19790104, -197,    0
200723,19790105, -141,    0
200723,19790106, -136,    0
200723,19790107,  -12,    0
200723,19790108,    9,    0
200723,19790109,  -16,    0
200723,19790110, -161,    0
200723,19790111, -215,    0
200723,19790112,  -49,    0
200723,19790113,  -93,    0
200723,19790114,  -89,    0
200723,19790115, -132,    0
200723,19790116, -104,    0
200723,19790117,  -48,    0
200723,19790118,  -31,    0
200723,19790119,  -69,    0
200723,19790120,  -72,    0
200723,19790121,  -20,    0
200723,19790122,    9,    0
200723,19790123,-9999,    9
200723,19790124,-9999,    9
200723,19790125,-9999,    9
200723,19790126,-9999,    9
200723,19790127,-9999,    9
200723,19790128,-9999,    9
200723,19790129,-9999,    9
200723,19790130,-9999,    9
200723,19790131,-9999,    9
200723,19790201,-9999,    9
200723,19790202,-9999,    9
200723,19790203,-9999,    9
200723,19790204,-9999,    9
200723,19790205,-9999,    9
200723,19790206,-9999,    9
200723,19790207,-9999,    9
200723,19790208,-9999,    9
200723,19790209,-9999,    9
200723,19790210,-9999,    9
200723,19790211,-9999,    9
200723,19790212,-9999,    9
200723,19790213,-9999,    9
200723,19790214,-9999,    9
200723,19790215,-9999,    9
200723,19790216,-9999,    9
200723,19790217,-9999,    9
200723,19790218,-9999,    9
200723,19790219,-9999,    9
200723,19790220,-9999,    9
200723,19790221,-9999,    9
200723,19790222,-9999,    9
200723,19790223,-9999,    9
200723,19790224,-9999,    9
200723,19790225,-9999,    9
200723,19790226,-9999,    9
200723,19790227,-9999,    9
200723,19790228,-9999,    9
200723,19790301,   30,    0
200723,19790302,  -20,    0
200723,19790303,   26,    0
200723,19790304,   13,    0
200723,19790305,    1,    0
200723,19790306,  -16,    0
200723,19790307,   18,    0
200723,19790308,    3,    0
200723,19790309,   33,    0
200723,19790310,   26,    0
200723,19790311,   15,    0
200723,19790312,   10,    0
200723,19790313,  -12,    0
200723,19790314,  -74,    0
200723,19790315,  -94,    0
200723,19790316, -125,    0
200723,19790317, -155,    0
200723,19790318, -136,    0
200723,19790319,  -83,    0
200723,19790320,   -2,    0
200723,19790321,   11,    0
200723,19790322,  -46,    0
200723,19790323,   10,    0
200723,19790324,  -46,    0
200723,19790325,  -11,    0
200723,19790326,   49,    0
200723,19790327,   56,    0
200723,19790328,   55,    0
200723,19790329,   51,    0
200723,19790330,   27,    0
200723,19790331,   18,    0
200723,19790401,   36,    0
200723,19790402,   40,    0
200723,19790403,   22,    0
200723,19790404,   18,    0
200723,19790405,   28,    0
200723,19790406,   11,    0
200723,19790407,   -5,    0
200723,19790408,   16,    0
200723,19790409,  -15,    0
200723,19790410,   11,    0
200723,19790411,   21,    0
200723,19790412,   46,    0
200723,19790413,    5,    0
200723,19790414,  -30,    0
200723,19790415,  -29,    0
200723,19790416,  -46,    0
200723,19790417,  -38,    0
200723,19790418,    8,    0
200723,19790419,   30,    0
200723,19790420,   48,    0
200723,19790421,   39,    0
200723,19790422,   57,    0
200723,19790423,   53,    0
200723,19790424,   60,    0
200723,19790425,   64,    0
200723,19790426,   61,    0
200723,19790427,   27,    0
200723,19790428,   19,    0
200723,19790429,   24,    0
200723,19790430,    9,    0
200723,19790501,   10,    0
200723,19790502,   40,    0
200723,19790503,   22,    0
200723,19790504,   49,    0
200723,19790505,   46,    0
200723,19790506,   36,    0
200723,19790507,   33,    0
200723,19790508,   36,    0
200723,19790509,   37,    0
200723,19790510,   31,    0
200723,19790511,   45,    0
200723,19790512,   32,    0
200723,19790513,   44,    0
200723,19790514,   73,    0
200723,19790515,   69,    0
200723,19790516,   76,    0
200723,19790517,   99,    0
200723,19790518,   74,    0
200723,19790519,   51,    0
200723,19790520,   57,    0
200723,19790521,   88,    0
200723,19790522,  117,    0
200723,19790523,  112,    0
200723,19790524,  113,    0
200723,19790525,  111,    0
200723,19790526,   73,    0
200723,19790527,   99,    0
200723,19790528,  116,    0
200723,19790529,  120,    0
