EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 21-01-2021
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 TG   : mean temperature in 0.1 &#176;C
23-27 Q_TG : Quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station NORWAY, FANA FORSOEKSSTASJON (STAID: 18745).
Blended and updated with sources: 110655 199337 200585 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   TG, Q_TG
200585,19790101, -140,    0
200585,19790102, -132,    0
200585,19790103,  -31,    0
200585,19790104,  -15,    0
200585,19790105,   -8,    0
200585,19790106,   23,    0
200585,19790107,   48,    0
200585,19790108,   15,    0
200585,19790109,   18,    0
200585,19790110,    5,    0
200585,19790111,  -48,    0
200585,19790112,  -65,    0
200585,19790113,  -37,    0
200585,19790114,  -93,    0
200585,19790115,  -54,    0
200585,19790116,   23,    0
200585,19790117,   23,    0
200585,19790118,  -21,    0
200585,19790119,  -46,    0
200585,19790120,  -65,    0
200585,19790121,  -48,    0
200585,19790122,  -24,    0
200585,19790123,  -57,    0
200585,19790124,  -52,    0
200585,19790125,  -45,    0
200585,19790126,  -81,    0
200585,19790127,  -47,    0
200585,19790128,  -10,    0
200585,19790129,  -44,    0
200585,19790130,  -96,    0
200585,19790131,  -14,    0
200585,19790201,   -7,    0
200585,19790202,  -11,    0
200585,19790203,  -27,    0
200585,19790204,  -12,    0
200585,19790205,  -11,    0
200585,19790206,  -12,    0
200585,19790207,  -14,    0
200585,19790208,  -45,    0
200585,19790209,  -64,    0
200585,19790210,  -46,    0
200585,19790211,  -92,    0
200585,19790212, -111,    0
200585,19790213,  -88,    0
200585,19790214, -116,    0
200585,19790215, -106,    0
200585,19790216,  -97,    0
200585,19790217,  -93,    0
200585,19790218,    3,    0
200585,19790219,  -11,    0
200585,19790220,   13,    0
200585,19790221,  -18,    0
200585,19790222,  -14,    0
200585,19790223,    0,    0
200585,19790224,   -8,    0
200585,19790225,   20,    0
200585,19790226,   44,    0
200585,19790227,   24,    0
200585,19790228,    9,    0
200585,19790301,   10,    0
200585,19790302,   42,    0
200585,19790303,   48,    0
200585,19790304,   34,    0
200585,19790305,   43,    0
200585,19790306,   46,    0
200585,19790307,   19,    0
200585,19790308,   18,    0
200585,19790309,   19,    0
200585,19790310,    5,    0
200585,19790311,   20,    0
200585,19790312,   12,    0
200585,19790313,   -9,    0
200585,19790314,  -21,    0
200585,19790315,  -27,    0
200585,19790316,  -38,    0
200585,19790317,  -47,    0
200585,19790318,  -72,    0
200585,19790319,  -16,    0
200585,19790320,   11,    0
200585,19790321,   16,    0
200585,19790322,   23,    0
200585,19790323,   20,    0
200585,19790324,   18,    0
200585,19790325,   33,    0
200585,19790326,   44,    0
200585,19790327,   35,    0
200585,19790328,   49,    0
200585,19790329,   63,    0
200585,19790330,   36,    0
200585,19790331,   39,    0
200585,19790401,   43,    0
200585,19790402,   35,    0
200585,19790403,   47,    0
200585,19790404,   53,    0
200585,19790405,   48,    0
200585,19790406,   46,    0
200585,19790407,   47,    0
200585,19790408,   39,    0
200585,19790409,   35,    0
200585,19790410,   48,    0
200585,19790411,  102,    0
200585,19790412,  105,    0
200585,19790413,   62,    0
200585,19790414,   54,    0
200585,19790415,   33,    0
200585,19790416,   46,    0
200585,19790417,   24,    0
200585,19790418,   27,    0
200585,19790419,   46,    0
200585,19790420,   55,    0
200585,19790421,   52,    0
200585,19790422,   39,    0
200585,19790423,   73,    0
200585,19790424,   60,    0
200585,19790425,   57,    0
200585,19790426,   60,    0
200585,19790427,   58,    0
200585,19790428,   46,    0
200585,19790429,   43,    0
200585,19790430,   26,    0
200585,19790501,   31,    0
200585,19790502,   33,    0
200585,19790503,   29,    0
200585,19790504,   20,    0
200585,19790505,   30,    0
200585,19790506,   33,    0
200585,19790507,   38,    0
200585,19790508,   48,    0
200585,19790509,   53,    0
200585,19790510,   42,    0
200585,19790511,   53,    0
200585,19790512,   58,    0
200585,19790513,   84,    0
200585,19790514,   83,    0
200585,19790515,   84,    0
200585,19790516,   74,    0
200585,19790517,   73,    0
200585,19790518,   65,    0
200585,19790519,   44,    0
200585,19790520,   65,    0
200585,19790521,  124,    0
200585,19790522,   90,    0
200585,19790523,  110,    0
200585,19790524,  105,    0
200585,19790525,   67,    0
200585,19790526,   78,    0
200585,19790527,  103,    0
200585,19790528,   95,    0
200585,19790529,   99,    0
200585,19790530,  111,    0
200585,19790531,  147,    0
200585,19790601,  106,    0
200585,19790602,  131,    0
200585,19790603,  149,    0
200585,19790604,  187,    0
200585,19790605,  180,    0
200585,19790606,  171,    0
200585,19790607,  135,    0
200585,19790608,  104,    0
200585,19790609,  109,    0
200585,19790610,   96,    0
200585,19790611,  107,    0
200585,19790612,  113,    0
200585,19790613,  106,    0
200585,19790614,  105,    0
200585,19790615,  152,    0
200585,19790616,  100,    0
200585,19790617,   98,    0
200585,19790618,  105,    0
200585,19790619,  124,    0
200585,19790620,  140,    0
200585,19790621,  131,    0
200585,19790622,  130,    0
200585,19790623,  143,    0
200585,19790624,  138,    0
200585,19790625,  115,    0
200585,19790626,   91,    0
200585,19790627,   93,    0
200585,19790628,  100,    0
200585,19790629,   77,    0
200585,19790630,   86,    0
200585,19790701,   95,    0
200585,19790702,   83,    0
200585,19790703,  100,    0
200585,19790704,  131,    0
200585,19790705,  118,    0
200585,19790706,  119,    0
200585,19790707,  121,    0
200585,19790708,  115,    0
200585,19790709,  118,    0
200585,19790710,  130,    0
200585,19790711,  146,    0
200585,19790712,  135,    0
200585,19790713,  141,    0
200585,19790714,  114,    0
200585,19790715,  110,    0
200585,19790716,  121,    0
200585,19790717,  112,    0
200585,19790718,  116,    0
200585,19790719,  110,    0
200585,19790720,  105,    0
200585,19790721,  104,    0
200585,19790722,  118,    0
200585,19790723,   90,    0
200585,19790724,  104,    0
200585,19790725,  121,    0
200585,19790726,  124,    0
200585,19790727,  143,    0
200585,19790728,  135,    0
200585,19790729,  136,    0
200585,19790730,  135,    0
200585,19790731,  144,    0
200585,19790801,  138,    0
200585,19790802,  129,    0
200585,19790803,  136,    0
200585,19790804,  117,    0
200585,19790805,  119,    0
200585,19790806,  130,    0
200585,19790807,  163,    0
200585,19790808,  151,    0
200585,19790809,  109,    0
200585,19790810,  117,    0
200585,19790811,  127,    0
200585,19790812,  120,    0
200585,19790813,  132,    0
200585,19790814,  154,    0
200585,19790815,  114,    0
200585,19790816,  131,    0
200585,19790817,  132,    0
200585,19790818,  147,    0
200585,19790819,  155,    0
200585,19790820,  140,    0
200585,19790821,  118,    0
200585,19790822,  100,    0
200585,19790823,  119,    0
200585,19790824,  122,    0
200585,19790825,  133,    0
200585,19790826,  139,    0
200585,19790827,  106,    0
200585,19790828,   88,    0
200585,19790829,  123,    0
200585,19790830,  115,    0
200585,19790831,   97,    0
200585,19790901,  100,    0
200585,19790902,  141,    0
200585,19790903,  139,    0
200585,19790904,  100,    0
200585,19790905,  127,    0
200585,19790906,  167,    0
200585,19790907,  150,    0
200585,19790908,  131,    0
200585,19790909,  104,    0
200585,19790910,  111,    0
200585,19790911,   99,    0
200585,19790912,   79,    0
200585,19790913,   90,    0
200585,19790914,   63,    0
200585,19790915,   59,    0
200585,19790916,   78,    0
200585,19790917,  104,    0
200585,19790918,  107,    0
200585,19790919,   96,    0
200585,19790920,   80,    0
200585,19790921,   77,    0
200585,19790922,   84,    0
200585,19790923,   70,    0
200585,19790924,   76,    0
200585,19790925,  104,    0
200585,19790926,   85,    0
200585,19790927,   79,    0
200585,19790928,   69,    0
200585,19790929,   55,    0
200585,19790930,   37,    0
200585,19791001,   56,    0
200585,19791002,   52,    0
200585,19791003,   52,    0
200585,19791004,   54,    0
200585,19791005,   58,    0
200585,19791006,   49,    0
200585,19791007,   85,    0
200585,19791008,  116,    0
200585,19791009,  134,    0
200585,19791010,  133,    0
200585,19791011,  119,    0
200585,19791012,  105,    0
200585,19791013,   64,    0
200585,19791014,   85,    0
200585,19791015,   94,    0
200585,19791016,   79,    0
200585,19791017,   67,    0
200585,19791018,   58,    0
200585,19791019,   83,    0
200585,19791020,   73,    0
200585,19791021,   34,    0
200585,19791022,   32,    0
200585,19791023,   37,    0
200585,19791024,   56,    0
200585,19791025,   98,    0
200585,19791026,   45,    0
200585,19791027,   28,    0
200585,19791028,   20,    0
200585,19791029,   30,    0
200585,19791030,   35,    0
200585,19791031,   52,    0
200585,19791101,   68,    0
200585,19791102,   49,    0
200585,19791103,   69,    0
200585,19791104,   78,    0
200585,19791105,   53,    0
200585,19791106,   14,    0
200585,19791107,   42,    0
200585,19791108,   38,    0
200585,19791109,    6,    0
200585,19791110,    3,    0
200585,19791111,   15,    0
200585,19791112,   -1,    0
200585,19791113,   -6,    0
200585,19791114,    8,    0
200585,19791115,  -31,    0
200585,19791116,   -3,    0
200585,19791117,   24,    0
200585,19791118,   73,    0
200585,19791119,   60,    0
200585,19791120,    6,    0
200585,19791121,   56,    0
200585,19791122,   79,    0
200585,19791123,   63,    0
200585,19791124,   44,    0
200585,19791125,   51,    0
200585,19791126,   49,    0
200585,19791127,   16,    0
200585,19791128,   44,    0
200585,19791129,   79,    0
200585,19791130,   49,    0
200585,19791201,   60,    0
200585,19791202,   80,    0
200585,19791203,   61,    0
200585,19791204,   67,    0
200585,19791205,   48,    0
200585,19791206,   37,    0
200585,19791207,   16,    0
200585,19791208,  -17,    0
200585,19791209,   -5,    0
200585,19791210,   11,    0
200585,19791211,  -51,    0
200585,19791212,  -10,    0
200585,19791213,   12,    0
200585,19791214,   13,    0
200585,19791215,  -15,    0
200585,19791216,  -40,    0
200585,19791217,    9,    0
200585,19791218,  -24,    0
200585,19791219,    2,    0
200585,19791220,   -5,    0
200585,19791221,   15,    0
200585,19791222,   10,    0
200585,19791223,  -24,    0
200585,19791224,   -1,    0
200585,19791225,    7,    0
200585,19791226,   44,    0
200585,19791227,   47,    0
200585,19791228,   21,    0
200585,19791229,  -19,    0
200585,19791230,  -11,    0
200585,19791231,  -48,    0
200585,19800101,  -59,    0
200585,19800102,  -78,    0
200585,19800103,  -29,    0
200585,19800104,    3,    0
200585,19800105,   21,    0
200585,19800106,  -37,    0
200585,19800107,  -18,    0
200585,19800108,  -13,    0
200585,19800109,  -35,    0
200585,19800110,  -45,    0
200585,19800111,    5,    0
200585,19800112,   18,    0
200585,19800113,   26,    0
200585,19800114,    9,    0
200585,19800115,  -15,    0
200585,19800116,   -1,    0
200585,19800117,   38,    0
200585,19800118,   29,    0
200585,19800119,   15,    0
200585,19800120,   -8,    0
200585,19800121,   30,    0
200585,19800122,   35,    0
200585,19800123,   46,    0
200585,19800124,   10,    0
200585,19800125,  -27,    0
200585,19800126,  -29,    0
200585,19800127,  -51,    0
200585,19800128,   -8,    0
200585,19800129,  -47,    0
200585,19800130,  -51,    0
200585,19800131, -102,    0
200585,19800201,  -58,    0
200585,19800202,  -40,    0
200585,19800203,  -60,    0
200585,19800204,  -84,    0
200585,19800205, -120,    0
200585,19800206,  -98,    0
200585,19800207, -113,    0
200585,19800208, -111,    0
200585,19800209,  -14,    0
200585,19800210,    1,    0
200585,19800211,    9,    0
200585,19800212,    5,    0
200585,19800213,   24,    0
200585,19800214,   42,    0
200585,19800215,   46,    0
200585,19800216,   10,    0
200585,19800217,   15,    0
200585,19800218,   48,    0
