EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 21-01-2021
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 TG   : mean temperature in 0.1 &#176;C
23-27 Q_TG : Quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station NORWAY, OERSTAVIK - VELLE (STAID: 18746).
Blended and updated with sources: 199715 200587 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   TG, Q_TG
200587,19790101, -196,    0
200587,19790102, -100,    0
200587,19790103,  -35,    0
200587,19790104,  -10,    0
200587,19790105,    1,    0
200587,19790106,   35,    0
200587,19790107,   20,    0
200587,19790108,   -2,    0
200587,19790109,    0,    0
200587,19790110,  -31,    0
200587,19790111,  -74,    0
200587,19790112,  -65,    0
200587,19790113,  -68,    0
200587,19790114,  -35,    0
200587,19790115,  -86,    0
200587,19790116,   32,    0
200587,19790117,   14,    0
200587,19790118,  -56,    0
200587,19790119,  -75,    0
200587,19790120,  -82,    0
200587,19790121,  -27,    0
200587,19790122,  -32,    0
200587,19790123,  -13,    0
200587,19790124,  -31,    0
200587,19790125,  -52,    0
200587,19790126, -111,    0
200587,19790127,  -70,    0
200587,19790128,   -2,    0
200587,19790129,  -81,    0
200587,19790130, -102,    0
200587,19790131,   -6,    0
200587,19790201,   -1,    0
200587,19790202,  -20,    0
200587,19790203,  -78,    0
200587,19790204,   -2,    0
200587,19790205,   -7,    0
200587,19790206,   -3,    0
200587,19790207,  -16,    0
200587,19790208,  -17,    0
200587,19790209,    4,    0
200587,19790210,   -3,    0
200587,19790211,  -51,    0
200587,19790212,  -40,    0
200587,19790213, -105,    0
200587,19790214, -144,    0
200587,19790215,  -89,    0
200587,19790216,  -61,    0
200587,19790217, -101,    0
200587,19790218,  -11,    0
200587,19790219,  -19,    0
200587,19790220,    3,    0
200587,19790221,   27,    0
200587,19790222,  -25,    0
200587,19790223,    7,    0
200587,19790224,    4,    0
200587,19790225,   42,    0
200587,19790226,   33,    0
200587,19790227,   15,    0
200587,19790228,   39,    0
200587,19790301,   36,    0
200587,19790302,   52,    0
200587,19790303,   50,    0
200587,19790304,   25,    0
200587,19790305,   22,    0
200587,19790306,   43,    0
200587,19790307,   20,    0
200587,19790308,   21,    0
200587,19790309,   41,    0
200587,19790310,   -7,    0
200587,19790311,   11,    0
200587,19790312,   15,    0
200587,19790313,   -2,    0
200587,19790314,  -27,    0
200587,19790315,  -37,    0
200587,19790316,  -35,    0
200587,19790317,  -55,    0
200587,19790318,  -63,    0
200587,19790319,  -14,    0
200587,19790320,   22,    0
200587,19790321,   36,    0
200587,19790322,   15,    0
200587,19790323,    8,    0
200587,19790324,   20,    0
200587,19790325,   35,    0
200587,19790326,   25,    0
200587,19790327,   37,    0
200587,19790328,   48,    0
200587,19790329,   35,    0
200587,19790330,   36,    0
200587,19790331,   62,    0
200587,19790401,   57,    0
200587,19790402,   52,    0
200587,19790403,   52,    0
200587,19790404,   34,    0
200587,19790405,   34,    0
200587,19790406,   38,    0
200587,19790407,   32,    0
200587,19790408,   42,    0
200587,19790409,   37,    0
200587,19790410,   18,    0
200587,19790411,   67,    0
200587,19790412,   73,    0
200587,19790413,   26,    0
200587,19790414,   30,    0
200587,19790415,   19,    0
200587,19790416,   27,    0
200587,19790417,   14,    0
200587,19790418,   29,    0
200587,19790419,   65,    0
200587,19790420,   75,    0
200587,19790421,   72,    0
200587,19790422,   66,    0
200587,19790423,   72,    0
200587,19790424,   76,    0
200587,19790425,   58,    0
200587,19790426,   49,    0
200587,19790427,   59,    0
200587,19790428,   56,    0
200587,19790429,   20,    0
200587,19790430,    5,    0
200587,19790501,   34,    0
200587,19790502,   43,    0
200587,19790503,   38,    0
200587,19790504,   42,    0
200587,19790505,   46,    0
200587,19790506,   29,    0
200587,19790507,   45,    0
200587,19790508,   34,    0
200587,19790509,   28,    0
200587,19790510,   34,    0
200587,19790511,   72,    0
200587,19790512,   55,    0
200587,19790513,   82,    0
200587,19790514,  105,    0
200587,19790515,   84,    0
200587,19790516,   89,    0
200587,19790517,   97,    0
200587,19790518,   71,    0
200587,19790519,   55,    0
200587,19790520,   83,    0
200587,19790521,  138,    0
200587,19790522,  113,    0
200587,19790523,  118,    0
200587,19790524,  126,    0
200587,19790525,   68,    0
200587,19790526,   85,    0
200587,19790527,  102,    0
200587,19790528,  114,    0
200587,19790529,  126,    0
200587,19790530,  147,    0
200587,19790531,   99,    0
200587,19790601,  142,    0
200587,19790602,  120,    0
200587,19790603,  140,    0
200587,19790604,  171,    0
200587,19790605,  183,    0
200587,19790606,  164,    0
200587,19790607,  141,    0
200587,19790608,  109,    0
200587,19790609,   82,    0
200587,19790610,  116,    0
200587,19790611,  103,    0
200587,19790612,  104,    0
200587,19790613,  114,    0
200587,19790614,  108,    0
200587,19790615,  124,    0
200587,19790616,  109,    0
200587,19790617,  100,    0
200587,19790618,  102,    0
200587,19790619,  119,    0
200587,19790620,  153,    0
200587,19790621,  143,    0
200587,19790622,  174,    0
200587,19790623,  151,    0
200587,19790624,  152,    0
200587,19790625,  130,    0
200587,19790626,  136,    0
200587,19790627,  103,    0
200587,19790628,  111,    0
200587,19790629,   96,    0
200587,19790630,   95,    0
200587,19790701,   74,    0
200587,19790702,   82,    0
200587,19790703,   98,    0
200587,19790704,  134,    0
200587,19790705,  114,    0
200587,19790706,  104,    0
200587,19790707,  136,    0
200587,19790708,  123,    0
200587,19790709,  123,    0
200587,19790710,  107,    0
200587,19790711,  131,    0
200587,19790712,  134,    0
200587,19790713,  142,    0
200587,19790714,  110,    0
200587,19790715,  103,    0
200587,19790716,  107,    0
200587,19790717,  108,    0
200587,19790718,  122,    0
200587,19790719,  118,    0
200587,19790720,  121,    0
200587,19790721,  109,    0
200587,19790722,  106,    0
200587,19790723,   98,    0
200587,19790724,  119,    0
200587,19790725,  118,    0
200587,19790726,  135,    0
200587,19790727,  141,    0
200587,19790728,  147,    0
200587,19790729,  141,    0
200587,19790730,  152,    0
200587,19790731,  149,    0
200587,19790801,  140,    0
200587,19790802,  128,    0
200587,19790803,  114,    0
200587,19790804,  104,    0
200587,19790805,  117,    0
200587,19790806,  136,    0
200587,19790807,  173,    0
200587,19790808,  171,    0
200587,19790809,  120,    0
200587,19790810,  112,    0
200587,19790811,  123,    0
200587,19790812,  138,    0
200587,19790813,  120,    0
200587,19790814,  174,    0
200587,19790815,  129,    0
200587,19790816,  122,    0
200587,19790817,  118,    0
200587,19790818,  125,    0
200587,19790819,  145,    0
200587,19790820,  137,    0
200587,19790821,  130,    0
200587,19790822,  107,    0
200587,19790823,  118,    0
200587,19790824,  103,    0
200587,19790825,  120,    0
200587,19790826,  124,    0
200587,19790827,   93,    0
200587,19790828,  101,    0
200587,19790829,  120,    0
200587,19790830,  100,    0
200587,19790831,   83,    0
200587,19790901,   82,    0
200587,19790902,  110,    0
200587,19790903,  129,    0
200587,19790904,   96,    0
200587,19790905,  106,    0
200587,19790906,  174,    0
200587,19790907,  160,    0
200587,19790908,  114,    0
200587,19790909,  103,    0
200587,19790910,  114,    0
200587,19790911,   79,    0
200587,19790912,   69,    0
200587,19790913,   84,    0
200587,19790914,   47,    0
200587,19790915,   57,    0
200587,19790916,   86,    0
200587,19790917,   95,    0
200587,19790918,   94,    0
200587,19790919,   81,    0
200587,19790920,   81,    0
200587,19790921,   65,    0
200587,19790922,   54,    0
200587,19790923,   67,    0
200587,19790924,   79,    0
200587,19790925,  129,    0
200587,19790926,   82,    0
200587,19790927,   67,    0
200587,19790928,   63,    0
200587,19790929,   41,    0
200587,19790930,   46,    0
200587,19791001,   29,    0
200587,19791002,   37,    0
200587,19791003,   31,    0
200587,19791004,   20,    0
200587,19791005,   64,    0
200587,19791006,   42,    0
200587,19791007,   81,    0
200587,19791008,  110,    0
200587,19791009,  112,    0
200587,19791010,  147,    0
200587,19791011,  100,    0
200587,19791012,   75,    0
200587,19791013,   68,    0
200587,19791014,   82,    0
200587,19791015,   85,    0
200587,19791016,   86,    0
200587,19791017,   66,    0
200587,19791018,   61,    0
200587,19791019,   94,    0
200587,19791020,   73,    0
200587,19791021,   13,    0
200587,19791022,   -3,    0
200587,19791023,   -2,    0
200587,19791024,   40,    0
200587,19791025,   68,    0
200587,19791026,   36,    0
200587,19791027,   23,    0
200587,19791028,   14,    0
200587,19791029,   40,    0
200587,19791030,   49,    0
200587,19791031,   78,    0
200587,19791101,   67,    0
200587,19791102,   56,    0
200587,19791103,   86,    0
200587,19791104,   67,    0
200587,19791105,   39,    0
200587,19791106,   23,    0
200587,19791107,   32,    0
200587,19791108,   19,    0
200587,19791109,   12,    0
200587,19791110,   -3,    0
200587,19791111,   17,    0
200587,19791112,   10,    0
200587,19791113,   -5,    0
200587,19791114,    1,    0
200587,19791115,  -31,    0
200587,19791116,  -60,    0
200587,19791117,  -26,    0
200587,19791118,   78,    0
200587,19791119,   35,    0
200587,19791120,  -13,    0
200587,19791121,   78,    0
200587,19791122,   67,    0
200587,19791123,   49,    0
200587,19791124,   28,    0
200587,19791125,   38,    0
200587,19791126,   27,    0
200587,19791127,   18,    0
200587,19791128,   40,    0
200587,19791129,   78,    0
200587,19791130,   54,    0
200587,19791201,   62,    0
200587,19791202,   85,    0
200587,19791203,   47,    0
200587,19791204,   60,    0
200587,19791205,   45,    0
200587,19791206,   23,    0
200587,19791207,    7,    0
200587,19791208,  -62,    0
200587,19791209, -107,    0
200587,19791210,  -88,    0
200587,19791211, -111,    0
200587,19791212,  -44,    0
200587,19791213,  -31,    0
200587,19791214,   -3,    0
200587,19791215,  -56,    0
200587,19791216,  -58,    0
200587,19791217,  -38,    0
200587,19791218,  -48,    0
200587,19791219,   27,    0
200587,19791220,   12,    0
200587,19791221,   29,    0
200587,19791222,    6,    0
200587,19791223,  -66,    0
200587,19791224,  -23,    0
200587,19791225,  -18,    0
200587,19791226,   42,    0
200587,19791227,   60,    0
200587,19791228,   24,    0
200587,19791229,  -52,    0
200587,19791230,  -50,    0
200587,19791231,  -66,    0
200587,19800101,  -84,    0
200587,19800102, -114,    0
200587,19800103, -104,    0
200587,19800104,  -12,    0
200587,19800105,  -13,    0
200587,19800106,  -78,    0
200587,19800107,  -28,    0
200587,19800108,  -11,    0
200587,19800109,  -15,    0
200587,19800110,  -76,    0
200587,19800111,   -5,    0
200587,19800112,   47,    0
200587,19800113,   43,    0
200587,19800114,   22,    0
200587,19800115,   19,    0
200587,19800116,   14,    0
200587,19800117,   34,    0
200587,19800118,   32,    0
200587,19800119,  -37,    0
200587,19800120,   16,    0
200587,19800121,   14,    0
200587,19800122,    2,    0
200587,19800123,    0,    0
200587,19800124,  -45,    0
200587,19800125,  -73,    0
200587,19800126,  -19,    0
200587,19800127,  -32,    0
200587,19800128,  -25,    0
200587,19800129,  -24,    0
200587,19800130,  -82,    0
200587,19800131, -126,    0
200587,19800201,  -65,    0
200587,19800202,  -32,    0
200587,19800203,  -24,    0
200587,19800204,  -44,    0
200587,19800205, -121,    0
200587,19800206, -120,    0
200587,19800207, -134,    0
200587,19800208, -138,    0
200587,19800209,  -78,    0
200587,19800210,    4,    0
200587,19800211,    8,    0
200587,19800212,    0,    0
200587,19800213,   39,    0
200587,19800214,   40,    0
200587,19800215,   45,    0
200587,19800216,   13,    0
200587,19800217,    1,    0
200587,19800218,   75,    0
200587,19800219,   70,    0
200587,19800220,   24,    0
200587,19800221,   89,    0
200587,19800222,  107,    0
200587,19800223,   58,    0
