EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 21-01-2021
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 TG   : mean temperature in 0.1 &#176;C
23-27 Q_TG : Quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station NORWAY, FJAERLAND - SKARESTAD (STAID: 18776).
Blended and updated with sources: 199518 200622 901332 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   TG, Q_TG
200622,19790101, -230,    0
200622,19790102, -182,    0
200622,19790103, -147,    0
200622,19790104,  -82,    0
200622,19790105,  -57,    0
200622,19790106,  -35,    0
200622,19790107,   25,    0
200622,19790108,    1,    0
200622,19790109,    2,    0
200622,19790110,  -20,    0
200622,19790111,  -46,    0
200622,19790112,  -92,    0
200622,19790113,  -83,    0
200622,19790114,  -94,    0
200622,19790115,  -83,    0
200622,19790116,  -45,    0
200622,19790117,  -33,    0
200622,19790118,  -56,    0
200622,19790119, -109,    0
200622,19790120, -128,    0
200622,19790121, -123,    0
200622,19790122, -108,    0
200622,19790123,  -89,    0
200622,19790124,  -84,    0
200622,19790125,  -95,    0
200622,19790126, -146,    0
200622,19790127, -146,    0
200622,19790128,  -70,    0
200622,19790129, -104,    0
200622,19790130, -164,    0
200622,19790131, -150,    0
200622,19790201,  -71,    0
200622,19790202,  -57,    0
200622,19790203,  -90,    0
200622,19790204,  -40,    0
200622,19790205,  -22,    0
200622,19790206,  -27,    0
200622,19790207,  -16,    0
200622,19790208,  -41,    0
200622,19790209,  -28,    0
200622,19790210,   -2,    0
200622,19790211, -104,    0
200622,19790212, -133,    0
200622,19790213, -114,    0
200622,19790214, -179,    0
200622,19790215, -110,    0
200622,19790216, -117,    0
200622,19790217, -108,    0
200622,19790218,  -55,    0
200622,19790219,  -13,    0
200622,19790220,  -15,    0
200622,19790221,  -33,    0
200622,19790222,  -69,    0
200622,19790223,  -22,    0
200622,19790224,   -5,    0
200622,19790225,  -13,    0
200622,19790226,   15,    0
200622,19790227,    9,    0
200622,19790228,    2,    0
200622,19790301,    7,    0
200622,19790302,    4,    0
200622,19790303,   21,    0
200622,19790304,   16,    0
200622,19790305,   28,    0
200622,19790306,   53,    0
200622,19790307,   28,    0
200622,19790308,   11,    0
200622,19790309,   45,    0
200622,19790310,   10,    0
200622,19790311,   -4,    0
200622,19790312,    3,    0
200622,19790313,    9,    0
200622,19790314,  -45,    0
200622,19790315,  -65,    0
200622,19790316,  -68,    0
200622,19790317,  -72,    0
200622,19790318,  -97,    0
200622,19790319,  -56,    0
200622,19790320,    1,    0
200622,19790321,   18,    0
200622,19790322,   25,    0
200622,19790323,    9,    0
200622,19790324,    4,    0
200622,19790325,    4,    0
200622,19790326,   19,    0
200622,19790327,   56,    0
200622,19790328,   56,    0
200622,19790329,   43,    0
200622,19790330,   29,    0
200622,19790331,   36,    0
200622,19790401,   31,    0
200622,19790402,   47,    0
200622,19790403,   47,    0
200622,19790404,   60,    0
200622,19790405,   40,    0
200622,19790406,   46,    0
200622,19790407,   36,    0
200622,19790408,   10,    0
200622,19790409,   25,    0
200622,19790410,   23,    0
200622,19790411,   48,    0
200622,19790412,   40,    0
200622,19790413,   34,    0
200622,19790414,   31,    0
200622,19790415,   21,    0
200622,19790416,   16,    0
200622,19790417,   18,    0
200622,19790418,   17,    0
200622,19790419,   25,    0
200622,19790420,   32,    0
200622,19790421,   46,    0
200622,19790422,   45,    0
200622,19790423,   60,    0
200622,19790424,   68,    0
200622,19790425,   43,    0
200622,19790426,   58,    0
200622,19790427,   72,    0
200622,19790428,   31,    0
200622,19790429,   20,    0
200622,19790430,   24,    0
200622,19790501,   34,    0
200622,19790502,   22,    0
200622,19790503,   21,    0
200622,19790504,   26,    0
200622,19790505,   38,    0
200622,19790506,   39,    0
200622,19790507,   42,    0
200622,19790508,   21,    0
200622,19790509,   27,    0
200622,19790510,   36,    0
200622,19790511,   43,    0
200622,19790512,   49,    0
200622,19790513,   59,    0
