EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 21-01-2021
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 TG   : mean temperature in 0.1 &#176;C
23-27 Q_TG : Quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station NORWAY, NERDAL I RANA (STAID: 18797).
Blended and updated with sources: 199067 200644 200883 901149 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   TG, Q_TG
200644,19790101, -107,    0
200644,19790102, -100,    0
200644,19790103, -140,    0
200644,19790104, -116,    0
200644,19790105, -132,    0
200644,19790106,  -91,    0
200644,19790107,  -31,    0
200644,19790108,    6,    0
200644,19790109,  -19,    0
200644,19790110,  -44,    0
200644,19790111,  -99,    0
200644,19790112,  -47,    0
200644,19790113,  -61,    0
200644,19790114,  -58,    0
200644,19790115,  -90,    0
200644,19790116,  -48,    0
200644,19790117,  -45,    0
200644,19790118,  -21,    0
200644,19790119,  -20,    0
200644,19790120,  -13,    0
200644,19790121,  -31,    0
200644,19790122,  -32,    0
200644,19790123,  -44,    0
200644,19790124,  -61,    0
200644,19790125, -109,    0
200644,19790126, -196,    0
200644,19790127, -191,    0
200644,19790128, -168,    0
200644,19790129, -142,    0
200644,19790130, -107,    0
200644,19790131, -119,    0
200644,19790201,  -49,    0
200644,19790202,  -75,    0
200644,19790203,  -88,    0
200644,19790204, -132,    0
200644,19790205, -116,    0
200644,19790206, -103,    0
200644,19790207,  -25,    0
200644,19790208,  -40,    0
200644,19790209,  -46,    0
200644,19790210,  -38,    0
200644,19790211,  -28,    0
200644,19790212,  -65,    0
200644,19790213, -168,    0
200644,19790214, -139,    0
200644,19790215,  -59,    0
200644,19790216,   17,    0
200644,19790217,   16,    0
200644,19790218,  -82,    0
200644,19790219,  -90,    0
200644,19790220,  -70,    0
200644,19790221,  -39,    0
200644,19790222,  -28,    0
200644,19790223,  -41,    0
200644,19790224,   -4,    0
200644,19790225,   45,    0
200644,19790226,   20,    0
200644,19790227,  -10,    0
200644,19790228,  -10,    0
200644,19790301,   34,    0
200644,19790302,    1,    0
200644,19790303,   35,    0
200644,19790304,   10,    0
200644,19790305,   -5,    0
200644,19790306,   -6,    0
200644,19790307,   26,    0
200644,19790308,    8,    0
200644,19790309,   27,    0
200644,19790310,   30,    0
200644,19790311,   23,    0
200644,19790312,   13,    0
200644,19790313,   -4,    0
200644,19790314,  -47,    0
200644,19790315,  -81,    0
200644,19790316, -109,    0
200644,19790317, -136,    0
200644,19790318,  -76,    0
200644,19790319, -122,    0
200644,19790320,  -81,    0
200644,19790321,  -53,    0
