EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 21-01-2021
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 TG   : mean temperature in 0.1 &#176;C
23-27 Q_TG : Quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station NORWAY, NORDREISA - OEYENG (STAID: 18849).
Blended and updated with sources: 134924 200708 200779 901041 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   TG, Q_TG
200779,19790101,  -33,    0
200779,19790102,  -48,    0
200779,19790103, -159,    0
200779,19790104, -153,    0
200779,19790105, -105,    0
200779,19790106, -115,    0
200779,19790107,  -99,    0
200779,19790108, -121,    0
200779,19790109, -111,    0
200779,19790110, -160,    0
200779,19790111, -125,    0
200779,19790112, -116,    0
200779,19790113,  -67,    0
200779,19790114,  -91,    0
200779,19790115, -141,    0
200779,19790116,  -40,    0
200779,19790117,  -58,    0
200779,19790118,  -26,    0
200779,19790119,   49,    0
200779,19790120,  -11,    0
200779,19790121,  -76,    0
200779,19790122,  -89,    0
200779,19790123, -102,    0
200779,19790124, -115,    0
200779,19790125, -140,    0
200779,19790126, -197,    0
200779,19790127, -217,    0
200779,19790128, -189,    0
200779,19790129, -137,    0
200779,19790130, -123,    0
200779,19790131, -156,    0
200779,19790201,  -65,    0
200779,19790202,  -75,    0
200779,19790203,  -91,    0
200779,19790204,  -89,    0
200779,19790205, -125,    0
200779,19790206, -159,    0
200779,19790207, -141,    0
200779,19790208, -142,    0
200779,19790209, -180,    0
200779,19790210, -173,    0
200779,19790211, -181,    0
200779,19790212, -203,    0
200779,19790213, -191,    0
200779,19790214, -124,    0
200779,19790215,  -41,    0
200779,19790216,   33,    0
200779,19790217,   39,    0
200779,19790218,   -5,    0
200779,19790219, -119,    0
200779,19790220, -144,    0
200779,19790221,   -7,    0
200779,19790222,   28,    0
200779,19790223,  -20,    0
200779,19790224,  -40,    0
200779,19790225,  -57,    0
200779,19790226,   30,    0
200779,19790227,  -35,    0
200779,19790228,  -63,    0
200779,19790301,  -40,    0
200779,19790302,    3,    0
200779,19790303,   17,    0
200779,19790304,  -12,    0
200779,19790305,  -55,    0
200779,19790306,  -51,    0
200779,19790307,   23,    0
200779,19790308,   -8,    0
200779,19790309,    4,    0
200779,19790310,   16,    0
200779,19790311,    3,    0
200779,19790312,   -2,    0
200779,19790313,  -29,    0
200779,19790314,  -51,    0
200779,19790315, -121,    0
200779,19790316, -141,    0
200779,19790317,  -83,    0
200779,19790318, -144,    0
200779,19790319, -119,    0
200779,19790320, -167,    0
200779,19790321, -123,    0
200779,19790322, -125,    0
200779,19790323,  -44,    0
200779,19790324,  -49,    0
200779,19790325,  -36,    0
200779,19790326,   13,    0
200779,19790327,   43,    0
200779,19790328,   31,    0
200779,19790329,   30,    0
200779,19790330,   20,    0
200779,19790331,   19,    0
200779,19790401,   30,    0
200779,19790402,   20,    0
200779,19790403,    3,    0
200779,19790404,    5,    0
200779,19790405,    8,    0
200779,19790406,   11,    0
200779,19790407,   26,    0
200779,19790408,  -32,    0
200779,19790409,  -54,    0
200779,19790410,  -51,    0
200779,19790411,  -58,    0
200779,19790412,  -53,    0
200779,19790413,  -59,    0
200779,19790414,  -66,    0
200779,19790415,  -44,    0
200779,19790416,  -29,    0
200779,19790417,  -11,    0
200779,19790418,  -46,    0
200779,19790419,  -37,    0
200779,19790420,   20,    0
200779,19790421,   40,    0
200779,19790422,   40,    0
200779,19790423,   36,    0
200779,19790424,   42,    0
200779,19790425,   33,    0
200779,19790426,   47,    0
200779,19790427,   26,    0
200779,19790428,   37,    0
200779,19790429,   46,    0
200779,19790430,   47,    0
200779,19790501,   48,    0
200779,19790502,   46,    0
200779,19790503,   46,    0
200779,19790504,   55,    0
200779,19790505,   52,    0
200779,19790506,   49,    0
200779,19790507,   45,    0
200779,19790508,   41,    0
200779,19790509,   53,    0
200779,19790510,   57,    0
200779,19790511,   28,    0
200779,19790512,   23,    0
200779,19790513,   10,    0
200779,19790514,   12,    0
200779,19790515,   10,    0
200779,19790516,   21,    0
200779,19790517,   34,    0
200779,19790518,   58,    0
200779,19790519,   65,    0
200779,19790520,   49,    0
200779,19790521,   42,    0
200779,19790522,   71,    0
200779,19790523,   76,    0
200779,19790524,   89,    0
200779,19790525,  103,    0
200779,19790526,  138,    0
200779,19790527,   97,    0
200779,19790528,   53,    0
200779,19790529,   16,    0
200779,19790530,   64,    0
200779,19790531,   73,    0
200779,19790601,  113,    0
200779,19790602,   89,    0
200779,19790603,  100,    0
200779,19790604,   66,    0
200779,19790605,   81,    0
200779,19790606,   79,    0
200779,19790607,   62,    0
200779,19790608,   70,    0
200779,19790609,   67,    0
200779,19790610,   67,    0
200779,19790611,   58,    0
200779,19790612,   82,    0
200779,19790613,   92,    0
200779,19790614,  139,    0
200779,19790615,  141,    0
200779,19790616,  104,    0
200779,19790617,   83,    0
200779,19790618,   76,    0
200779,19790619,   66,    0
200779,19790620,   78,    0
200779,19790621,   80,    0
200779,19790622,  142,    0
200779,19790623,  157,    0
200779,19790624,  125,    0
200779,19790625,  175,    0
200779,19790626,  191,    0
200779,19790627,  104,    0
200779,19790628,  102,    0
200779,19790629,  109,    0
200779,19790630,  153,    0
200779,19790701,  150,    0
200779,19790702,  121,    0
200779,19790703,  147,    0
200779,19790704,  113,    0
200779,19790705,  110,    0
200779,19790706,  120,    0
200779,19790707,  170,    0
200779,19790708,  204,    0
200779,19790709,  234,    0
200779,19790710,  218,    0
200779,19790711,  164,    0
200779,19790712,  128,    0
200779,19790713,  171,    0
200779,19790714,  187,    0
200779,19790715,  215,    0
200779,19790716,  206,    0
200779,19790717,  181,    0
200779,19790718,  165,    0
200779,19790719,  185,    0
200779,19790720,  162,    0
200779,19790721,  154,    0
200779,19790722,  155,    0
200779,19790723,  157,    0
200779,19790724,  126,    0
200779,19790725,  110,    0
200779,19790726,  102,    0
200779,19790727,  105,    0
200779,19790728,  102,    0
200779,19790729,  102,    0
200779,19790730,   88,    0
200779,19790731,   99,    0
200779,19790801,   82,    0
200779,19790802,   80,    0
200779,19790803,   74,    0
200779,19790804,   83,    0
200779,19790805,  111,    0
200779,19790806,   95,    0
200779,19790807,  107,    0
200779,19790808,  144,    0
200779,19790809,  178,    0
200779,19790810,  185,    0
200779,19790811,  177,    0
200779,19790812,  165,    0
200779,19790813,  187,    0
200779,19790814,  196,    0
200779,19790815,  186,    0
200779,19790816,  142,    0
200779,19790817,  136,    0
200779,19790818,  110,    0
200779,19790819,  167,    0
200779,19790820,  161,    0
200779,19790821,  129,    0
200779,19790822,  137,    0
200779,19790823,   95,    0
200779,19790824,   94,    0
200779,19790825,   76,    0
200779,19790826,   79,    0
200779,19790827,   84,    0
200779,19790828,   93,    0
200779,19790829,   90,    0
200779,19790830,  103,    0
200779,19790831,   83,    0
200779,19790901,   67,    0
200779,19790902,   58,    0
200779,19790903,   48,    0
200779,19790904,   76,    0
200779,19790905,   80,    0
200779,19790906,   90,    0
200779,19790907,  129,    0
200779,19790908,  115,    0
200779,19790909,  105,    0
200779,19790910,   97,    0
200779,19790911,   54,    0
200779,19790912,   69,    0
200779,19790913,   68,    0
200779,19790914,   66,    0
200779,19790915,   77,    0
200779,19790916,   75,    0
200779,19790917,   39,    0
200779,19790918,   69,    0
200779,19790919,   79,    0
200779,19790920,   68,    0
200779,19790921,   63,    0
200779,19790922,   62,    0
200779,19790923,   51,    0
200779,19790924,   24,    0
200779,19790925,   55,    0
200779,19790926,   82,    0
200779,19790927,   55,    0
200779,19790928,   41,    0
200779,19790929,   39,    0
200779,19790930,   22,    0
200779,19791001,   30,    0
200779,19791002,   38,    0
200779,19791003,   47,    0
200779,19791004,   30,    0
200779,19791005,   36,    0
200779,19791006,   49,    0
200779,19791007,   22,    0
200779,19791008,   30,    0
200779,19791009,   15,    0
200779,19791010,    9,    0
200779,19791011,  -10,    0
200779,19791012,  -13,    0
200779,19791013,  -20,    0
200779,19791014,  -17,    0
200779,19791015,  -45,    0
200779,19791016,  -73,    0
200779,19791017,  -58,    0
200779,19791018,  -15,    0
200779,19791019,   25,    0
200779,19791020,   30,    0
200779,19791021,    6,    0
200779,19791022,   -2,    0
200779,19791023,    6,    0
200779,19791024,   -3,    0
200779,19791025,  -16,    0
200779,19791026,  -44,    0
200779,19791027,  -70,    0
200779,19791028,  -10,    0
200779,19791029,  -29,    0
200779,19791030,  -28,    0
200779,19791031,  -15,    0
200779,19791101,  -67,    0
