EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 21-01-2021
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 TG   : mean temperature in 0.1 &#176;C
23-27 Q_TG : Quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station NORWAY, JELOEY (STAID: 18901).
Blended and updated with sources: 199294 199566 200768 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   TG, Q_TG
200768,19790101, -132,    0
200768,19790102,  -69,    0
200768,19790103,  -54,    0
200768,19790104,  -99,    0
200768,19790105, -122,    0
200768,19790106,  -54,    0
200768,19790107,   36,    0
200768,19790108,   21,    0
200768,19790109,  -10,    0
200768,19790110,  -36,    0
200768,19790111,  -17,    0
200768,19790112,  -24,    0
200768,19790113,  -39,    0
200768,19790114,  -37,    0
200768,19790115,  -78,    0
200768,19790116,  -45,    0
200768,19790117,  -47,    0
200768,19790118,  -15,    0
200768,19790119,  -24,    0
200768,19790120,  -49,    0
200768,19790121,  -47,    0
200768,19790122,  -53,    0
200768,19790123,  -67,    0
200768,19790124,  -64,    0
200768,19790125, -115,    0
200768,19790126, -152,    0
200768,19790127, -129,    0
200768,19790128, -100,    0
200768,19790129,  -77,    0
200768,19790130,  -74,    0
200768,19790131,  -78,    0
200768,19790201,  -80,    0
200768,19790202,  -77,    0
200768,19790203,  -65,    0
200768,19790204,  -66,    0
200768,19790205, -105,    0
200768,19790206,  -97,    0
200768,19790207,  -29,    0
200768,19790208,  -31,    0
200768,19790209,  -14,    0
200768,19790210,  -11,    0
200768,19790211,  -69,    0
200768,19790212,  -95,    0
200768,19790213,  -74,    0
200768,19790214, -128,    0
200768,19790215, -108,    0
200768,19790216, -106,    0
200768,19790217,  -74,    0
200768,19790218,  -51,    0
200768,19790219,  -30,    0
200768,19790220,  -21,    0
200768,19790221,  -25,    0
200768,19790222,  -50,    0
200768,19790223,  -31,    0
200768,19790224,  -19,    0
200768,19790225,  -29,    0
200768,19790226,   -6,    0
200768,19790227,   20,    0
200768,19790228,   -1,    0
200768,19790301,  -21,    0
200768,19790302,    0,    0
200768,19790303,   28,    0
200768,19790304,   27,    0
200768,19790305,   29,    0
200768,19790306,   25,    0
200768,19790307,    9,    0
200768,19790308,   18,    0
200768,19790309,    9,    0
200768,19790310,   12,    0
200768,19790311,   -9,    0
200768,19790312,   -3,    0
200768,19790313,  -13,    0
200768,19790314,  -14,    0
