EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 21-01-2021
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 TG   : mean temperature in 0.1 &#176;C
23-27 Q_TG : Quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station NORWAY, SKUDENES (STAID: 18930).
Blended and updated with sources: 199196 200645 200794 200925 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   TG, Q_TG
200645,19790101, -102,    0
200645,19790102,  -92,    0
200645,19790103,  -28,    0
200645,19790104,  -18,    0
200645,19790105,  -13,    0
200645,19790106,   41,    0
200645,19790107,   58,    0
200645,19790108,   42,    0
200645,19790109,   32,    0
200645,19790110,   18,    0
200645,19790111,   10,    0
200645,19790112,   -5,    0
200645,19790113,    5,    0
200645,19790114,  -24,    0
200645,19790115,   -7,    0
200645,19790116,   17,    0
200645,19790117,   10,    0
200645,19790118,    0,    0
200645,19790119,  -16,    0
200645,19790120,  -35,    0
200645,19790121,  -25,    0
200645,19790122,  -32,    0
200645,19790123,  -40,    0
200645,19790124,  -41,    0
200645,19790125,  -42,    0
200645,19790126,  -58,    0
200645,19790127,  -26,    0
200645,19790128,  -19,    0
200645,19790129,   -8,    0
200645,19790130,  -48,    0
200645,19790131,  -13,    0
200645,19790201,   10,    0
200645,19790202,    0,    0
200645,19790203,  -10,    0
200645,19790204,    2,    0
200645,19790205,   -1,    0
200645,19790206,  -17,    0
200645,19790207,    3,    0
200645,19790208,   -7,    0
200645,19790209,  -11,    0
200645,19790210,  -24,    0
200645,19790211,  -51,    0
200645,19790212,  -60,    0
200645,19790213,  -24,    0
200645,19790214,  -92,    0
200645,19790215,  -64,    0
200645,19790216,  -27,    0
200645,19790217,  -12,    0
200645,19790218,    1,    0
200645,19790219,  -12,    0
200645,19790220,    7,    0
200645,19790221,   -5,    0
200645,19790222,  -17,    0
200645,19790223,    2,    0
200645,19790224,    2,    0
200645,19790225,    1,    0
200645,19790226,   23,    0
200645,19790227,   12,    0
200645,19790228,   22,    0
200645,19790301,   13,    0
200645,19790302,   36,    0
200645,19790303,   42,    0
200645,19790304,   36,    0
200645,19790305,   45,    0
200645,19790306,   41,    0
200645,19790307,   18,    0
200645,19790308,   29,    0
200645,19790309,   33,    0
200645,19790310,   17,    0
200645,19790311,   18,    0
200645,19790312,   19,    0
200645,19790313,    6,    0
200645,19790314,    7,    0
200645,19790315,   -9,    0
200645,19790316,  -10,    0
200645,19790317,  -28,    0
200645,19790318,  -52,    0
200645,19790319,   -1,    0
200645,19790320,   20,    0
200645,19790321,   19,    0
200645,19790322,   12,    0
200645,19790323,   24,    0
200645,19790324,   32,    0
200645,19790325,   23,    0
200645,19790326,   39,    0
200645,19790327,   31,    0
200645,19790328,   56,    0
200645,19790329,   80,    0
200645,19790330,   36,    0
200645,19790331,   24,    0
200645,19790401,   36,    0
200645,19790402,   28,    0
200645,19790403,   45,    0
200645,19790404,   46,    0
200645,19790405,   55,    0
