EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 21-01-2021
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 TG   : mean temperature in 0.1 &#176;C
23-27 Q_TG : Quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station NORWAY, SKODJE (STAID: 18953).
Blended and updated with sources: 110943 199685 200821 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   TG, Q_TG
200821,19790101, -143,    0
200821,19790102,  -71,    0
200821,19790103,  -21,    0
200821,19790104,  -11,    0
200821,19790105,  -15,    0
200821,19790106,   35,    0
200821,19790107,   24,    0
200821,19790108,    2,    0
200821,19790109,   -2,    0
200821,19790110,  -10,    0
200821,19790111,  -18,    0
200821,19790112,  -24,    0
200821,19790113,  -43,    0
200821,19790114,  -17,    0
200821,19790115,  -34,    0
200821,19790116,   29,    0
200821,19790117,   14,    0
200821,19790118,   -6,    0
200821,19790119,  -21,    0
200821,19790120,  -47,    0
200821,19790121,    2,    0
200821,19790122,   -4,    0
200821,19790123,  -12,    0
200821,19790124,  -16,    0
200821,19790125,  -36,    0
200821,19790126,  -79,    0
200821,19790127,  -38,    0
200821,19790128,   -6,    0
200821,19790129,  -33,    0
200821,19790130,  -59,    0
200821,19790131,    6,    0
200821,19790201,    1,    0
200821,19790202,  -24,    0
200821,19790203,  -55,    0
200821,19790204,  -11,    0
200821,19790205,   -5,    0
200821,19790206,   12,    0
200821,19790207,  -12,    0
200821,19790208,  -15,    0
200821,19790209,   -2,    0
200821,19790210,   -6,    0
200821,19790211,  -13,    0
200821,19790212,  -28,    0
200821,19790213,  -58,    0
200821,19790214,  -88,    0
200821,19790215,  -40,    0
200821,19790216,  -30,    0
200821,19790217,  -26,    0
200821,19790218,   41,    0
200821,19790219,   18,    0
200821,19790220,   -2,    0
200821,19790221,    9,    0
200821,19790222,  -19,    0
200821,19790223,   10,    0
200821,19790224,   10,    0
200821,19790225,   46,    0
200821,19790226,   34,    0
200821,19790227,   17,    0
200821,19790228,   40,    0
200821,19790301,   41,    0
200821,19790302,   55,    0
200821,19790303,   33,    0
200821,19790304,   14,    0
200821,19790305,    5,    0
200821,19790306,   51,    0
200821,19790307,   33,    0
200821,19790308,   27,    0
200821,19790309,   54,    0
200821,19790310,   -1,    0
200821,19790311,   10,    0
200821,19790312,   26,    0
200821,19790313,   19,    0
200821,19790314,  -13,    0
200821,19790315,  -24,    0
200821,19790316,  -24,    0
200821,19790317,  -58,    0
200821,19790318,  -55,    0
200821,19790319,   -8,    0
200821,19790320,    6,    0
200821,19790321,   40,    0
200821,19790322,   41,    0
200821,19790323,   17,    0
200821,19790324,   26,    0
200821,19790325,   46,    0
200821,19790326,   27,    0
200821,19790327,   69,    0
200821,19790328,   50,    0
200821,19790329,   39,    0
200821,19790330,   37,    0
200821,19790331,   47,    0
200821,19790401,   51,    0
200821,19790402,   57,    0
200821,19790403,   56,    0
200821,19790404,   57,    0
200821,19790405,   41,    0
200821,19790406,   50,    0
200821,19790407,   37,    0
200821,19790408,   30,    0
200821,19790409,   37,    0
200821,19790410,   30,    0
200821,19790411,   79,    0
200821,19790412,   94,    0
200821,19790413,   26,    0
200821,19790414,   23,    0
200821,19790415,   20,    0
200821,19790416,   17,    0
200821,19790417,   17,    0
200821,19790418,   32,    0
200821,19790419,   63,    0
200821,19790420,   75,    0
200821,19790421,   67,    0
200821,19790422,   67,    0
200821,19790423,   87,    0
200821,19790424,   90,    0
200821,19790425,   68,    0
200821,19790426,   53,    0
200821,19790427,   61,    0
200821,19790428,   43,    0
200821,19790429,   24,    0
200821,19790430,    5,    0
200821,19790501,   34,    0
200821,19790502,   43,    0
200821,19790503,   32,    0
200821,19790504,   33,    0
200821,19790505,   54,    0
200821,19790506,   29,    0
200821,19790507,   25,    0
200821,19790508,   36,    0
200821,19790509,   44,    0
200821,19790510,   38,    0
200821,19790511,   63,    0
200821,19790512,   44,    0
200821,19790513,   85,    0
200821,19790514,  107,    0
200821,19790515,   95,    0
200821,19790516,   89,    0
200821,19790517,   85,    0
200821,19790518,   72,    0
200821,19790519,   62,    0
200821,19790520,   85,    0
200821,19790521,  147,    0
200821,19790522,  122,    0
200821,19790523,  112,    0
200821,19790524,  121,    0
200821,19790525,   68,    0
200821,19790526,   91,    0
200821,19790527,  110,    0
200821,19790528,   99,    0
200821,19790529,  131,    0
200821,19790530,  140,    0
200821,19790531,  119,    0
200821,19790601,  140,    0
200821,19790602,  113,    0
200821,19790603,  157,    0
200821,19790604,  177,    0
200821,19790605,  192,    0
200821,19790606,  172,    0
200821,19790607,  144,    0
200821,19790608,   97,    0
200821,19790609,   86,    0
200821,19790610,  105,    0
200821,19790611,  100,    0
200821,19790612,  112,    0
200821,19790613,  117,    0
200821,19790614,   95,    0
200821,19790615,  115,    0
200821,19790616,  108,    0
200821,19790617,   99,    0
200821,19790618,   97,    0
200821,19790619,  116,    0
200821,19790620,  158,    0
200821,19790621,  125,    0
200821,19790622,  158,    0
200821,19790623,  152,    0
200821,19790624,  160,    0
200821,19790625,  131,    0
200821,19790626,  144,    0
200821,19790627,  109,    0
200821,19790628,   98,    0
200821,19790629,   91,    0
200821,19790630,   98,    0
200821,19790701,   74,    0
200821,19790702,   88,    0
200821,19790703,   91,    0
200821,19790704,  118,    0
200821,19790705,  109,    0
200821,19790706,  104,    0
200821,19790707,  129,    0
200821,19790708,  116,    0
200821,19790709,  120,    0
200821,19790710,  112,    0
200821,19790711,  120,    0
200821,19790712,  137,    0
200821,19790713,  155,    0
200821,19790714,  111,    0
200821,19790715,   98,    0
200821,19790716,   99,    0
200821,19790717,  114,    0
200821,19790718,  116,    0
200821,19790719,  119,    0
200821,19790720,  119,    0
200821,19790721,  111,    0
200821,19790722,  105,    0
200821,19790723,  105,    0
200821,19790724,  121,    0
200821,19790725,  132,    0
200821,19790726,  131,    0
200821,19790727,  137,    0
200821,19790728,  145,    0
200821,19790729,  158,    0
200821,19790730,  150,    0
200821,19790731,  161,    0
200821,19790801,  135,    0
200821,19790802,  134,    0
200821,19790803,  105,    0
200821,19790804,  111,    0
200821,19790805,  120,    0
200821,19790806,  133,    0
200821,19790807,  164,    0
200821,19790808,  177,    0
200821,19790809,  131,    0
200821,19790810,  111,    0
200821,19790811,  114,    0
200821,19790812,  137,    0
200821,19790813,  129,    0
200821,19790814,  185,    0
200821,19790815,  145,    0
200821,19790816,  126,    0
200821,19790817,  129,    0
200821,19790818,  134,    0
200821,19790819,  154,    0
200821,19790820,  135,    0
200821,19790821,  114,    0
200821,19790822,  116,    0
200821,19790823,  107,    0
200821,19790824,  109,    0
200821,19790825,  128,    0
200821,19790826,  114,    0
200821,19790827,   96,    0
200821,19790828,   96,    0
200821,19790829,  119,    0
200821,19790830,   97,    0
200821,19790831,   78,    0
200821,19790901,   85,    0
200821,19790902,  122,    0
200821,19790903,  123,    0
200821,19790904,  106,    0
200821,19790905,  111,    0
200821,19790906,  145,    0
200821,19790907,  130,    0
200821,19790908,  108,    0
200821,19790909,  104,    0
200821,19790910,  119,    0
200821,19790911,   70,    0
200821,19790912,   85,    0
200821,19790913,   76,    0
200821,19790914,   47,    0
200821,19790915,   51,    0
200821,19790916,   79,    0
200821,19790917,   94,    0
200821,19790918,   93,    0
200821,19790919,   86,    0
200821,19790920,   88,    0
200821,19790921,   76,    0
200821,19790922,   64,    0
200821,19790923,   58,    0
200821,19790924,   74,    0
200821,19790925,  135,    0
200821,19790926,   84,    0
200821,19790927,   60,    0
200821,19790928,   67,    0
200821,19790929,   50,    0
200821,19790930,   50,    0
200821,19791001,   55,    0
200821,19791002,   44,    0
200821,19791003,   35,    0
200821,19791004,   46,    0
200821,19791005,   84,    0
200821,19791006,   68,    0
200821,19791007,   86,    0
200821,19791008,  100,    0
200821,19791009,  106,    0
200821,19791010,  121,    0
200821,19791011,  101,    0
200821,19791012,   85,    0
200821,19791013,   78,    0
200821,19791014,   95,    0
200821,19791015,   86,    0
200821,19791016,   75,    0
200821,19791017,   53,    0
200821,19791018,   57,    0
200821,19791019,  103,    0
200821,19791020,   65,    0
200821,19791021,   31,    0
200821,19791022,   16,    0
200821,19791023,   10,    0
200821,19791024,   84,    0
200821,19791025,  115,    0
200821,19791026,   79,    0
200821,19791027,   58,    0
200821,19791028,   41,    0
200821,19791029,   63,    0
200821,19791030,   58,    0
200821,19791031,   82,    0
200821,19791101,   77,    0
200821,19791102,   67,    0
200821,19791103,   88,    0
200821,19791104,   64,    0
200821,19791105,   43,    0
200821,19791106,   26,    0
200821,19791107,   41,    0
200821,19791108,   30,    0
200821,19791109,   27,    0
200821,19791110,   -1,    0
200821,19791111,   31,    0
200821,19791112,   22,    0
200821,19791113,   -7,    0
200821,19791114,   -7,    0
200821,19791115,    1,    0
200821,19791116,   -5,    0
200821,19791117,   11,    0
200821,19791118,   89,    0
200821,19791119,   56,    0
200821,19791120,   24,    0
200821,19791121,   91,    0
200821,19791122,   61,    0
200821,19791123,   42,    0
200821,19791124,   30,    0
200821,19791125,   23,    0
200821,19791126,   29,    0
200821,19791127,   18,    0
200821,19791128,   30,    0
200821,19791129,   69,    0
200821,19791130,   47,    0
200821,19791201,   52,    0
200821,19791202,   78,    0
200821,19791203,   43,    0
200821,19791204,   66,    0
200821,19791205,   41,    0
200821,19791206,   21,    0
200821,19791207,    6,    0
200821,19791208,  -26,    0
200821,19791209,  -39,    0
200821,19791210,   -7,    0
200821,19791211,  -48,    0
200821,19791212,  -27,    0
200821,19791213,    9,    0
200821,19791214,   23,    0
200821,19791215,  -10,    0
200821,19791216,  -47,    0
200821,19791217,  -54,    0
200821,19791218,  -13,    0
200821,19791219,   17,    0
200821,19791220,   15,    0
200821,19791221,   13,    0
200821,19791222,   11,    0
200821,19791223,  -22,    0
200821,19791224,   -3,    0
200821,19791225,   -1,    0
200821,19791226,   45,    0
200821,19791227,   52,    0
200821,19791228,   35,    0
200821,19791229,  -21,    0
200821,19791230,  -28,    0
200821,19791231,  -30,    0
200821,19800101,  -55,    0
200821,19800102,  -60,    0
200821,19800103,  -48,    0
200821,19800104,   12,    0
200821,19800105,    8,    0
200821,19800106,  -22,    0
200821,19800107,  -19,    0
200821,19800108,   -7,    0
200821,19800109,   -5,    0
200821,19800110,  -38,    0
200821,19800111,   -2,    0
200821,19800112,   39,    0
200821,19800113,   61,    0
200821,19800114,   16,    0
200821,19800115,    9,    0
200821,19800116,   28,    0
200821,19800117,   47,    0
200821,19800118,   25,    0
200821,19800119,  -11,    0
200821,19800120,   45,    0
200821,19800121,   21,    0
200821,19800122,   36,    0
200821,19800123,   32,    0
200821,19800124,    1,    0
200821,19800125,  -48,    0
200821,19800126,  -21,    0
200821,19800127,  -29,    0
200821,19800128,  -16,    0
200821,19800129,  -15,    0
200821,19800130,  -56,    0
200821,19800131,  -81,    0
200821,19800201,  -38,    0
200821,19800202,  -28,    0
200821,19800203,  -29,    0
200821,19800204,  -19,    0
200821,19800205,  -55,    0
200821,19800206,  -81,    0
200821,19800207,  -71,    0
200821,19800208,  -76,    0
200821,19800209,  -48,    0
200821,19800210,   22,    0
200821,19800211,   -1,    0
200821,19800212,    2,    0
200821,19800213,   31,    0
200821,19800214,   39,    0
200821,19800215,   46,    0
200821,19800216,   12,    0
200821,19800217,   -5,    0
200821,19800218,   52,    0
200821,19800219,   66,    0
200821,19800220,   13,    0
200821,19800221,   63,    0
200821,19800222,   88,    0
200821,19800223,   32,    0
200821,19800224,    4,    0
200821,19800225,   -1,    0
200821,19800226,   12,    0
200821,19800227,   34,    0
200821,19800228,   21,    0
200821,19800229,   25,    0
200821,19800301,   -2,    0
200821,19800302,  -39,    0
200821,19800303,  -26,    0
200821,19800304,   -8,    0
200821,19800305,   22,    0
200821,19800306,   46,    0
200821,19800307,   48,    0
200821,19800308,   32,    0
200821,19800309,   39,    0
200821,19800310,   33,    0
200821,19800311,   47,    0
200821,19800312,   60,    0
200821,19800313,   56,    0
200821,19800314,   24,    0
200821,19800315,    9,    0
200821,19800316,   32,    0
200821,19800317,   26,    0
200821,19800318,   -6,    0
200821,19800319,  -20,    0
200821,19800320,    6,    0
200821,19800321,    9,    0
200821,19800322,   -4,    0
200821,19800323,  -16,    0
200821,19800324,   -9,    0
200821,19800325,   20,    0
200821,19800326,   33,    0
200821,19800327,   18,    0
200821,19800328,   39,    0
200821,19800329,   32,    0
200821,19800330,   19,    0
200821,19800331,-9999,    9
200821,19800401,-9999,    9
200821,19800402,-9999,    9
200821,19800403,-9999,    9
200821,19800404,-9999,    9
200821,19800405,-9999,    9
200821,19800406,-9999,    9
200821,19800407,-9999,    9
200821,19800408,-9999,    9
200821,19800409,-9999,    9
200821,19800410,-9999,    9
200821,19800411,-9999,    9
200821,19800412,-9999,    9
200821,19800413,-9999,    9
200821,19800414,-9999,    9
200821,19800415,-9999,    9
200821,19800416,-9999,    9
200821,19800417,-9999,    9
200821,19800418,-9999,    9
200821,19800419,-9999,    9
200821,19800420,-9999,    9
200821,19800421,-9999,    9
200821,19800422,-9999,    9
200821,19800423,-9999,    9
