EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 21-01-2021
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 TG   : mean temperature in 0.1 &#176;C
23-27 Q_TG : Quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station NORWAY, ROEST III (STAID: 18989).
Blended and updated with sources: 199078 200698 200864 901106 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   TG, Q_TG
200698,19790101,  -15,    0
200698,19790102,   -4,    0
200698,19790103,    7,    0
200698,19790104,    5,    0
200698,19790105,    0,    0
200698,19790106,    5,    0
200698,19790107,   13,    0
200698,19790108,   11,    0
200698,19790109,   10,    0
200698,19790110,    4,    0
200698,19790111,    6,    0
200698,19790112,    4,    0
200698,19790113,   -6,    0
200698,19790114,    2,    0
200698,19790115,    1,    0
200698,19790116,    7,    0
200698,19790117,   28,    0
200698,19790118,   36,    0
200698,19790119,   42,    0
200698,19790120,    3,    0
200698,19790121,   17,    0
200698,19790122,   22,    0
200698,19790123,   15,    0
200698,19790124,    7,    0
200698,19790125,  -31,    0
200698,19790126,  -38,    0
200698,19790127,  -11,    0
200698,19790128,  -18,    0
200698,19790129,  -16,    0
200698,19790130,    2,    0
200698,19790131,   16,    0
200698,19790201,   -4,    0
200698,19790202,  -37,    0
200698,19790203,  -18,    0
200698,19790204,  -18,    0
200698,19790205,  -40,    0
200698,19790206,  -18,    0
200698,19790207,   -9,    0
200698,19790208,   -8,    0
200698,19790209,  -15,    0
200698,19790210,  -29,    0
200698,19790211,  -27,    0
200698,19790212,  -27,    0
200698,19790213,  -33,    0
