EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 21-01-2021
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 TG   : mean temperature in 0.1 &#176;C
23-27 Q_TG : Quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station NORWAY, ANDOEYA LH - TEST (STAID: 19001).
Blended and updated with sources: 112082 200880 901010 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   TG, Q_TG
112082,19790101,  -26,    0
112082,19790102,  -30,    0
112082,19790103,  -33,    0
112082,19790104,  -44,    0
112082,19790105,  -44,    0
112082,19790106,  -43,    0
112082,19790107,  -44,    0
112082,19790108,  -23,    0
112082,19790109,  -21,    0
112082,19790110, -103,    0
112082,19790111,  -40,    0
112082,19790112,  -26,    0
112082,19790113,  -36,    0
112082,19790114,  -16,    0
112082,19790115,  -43,    0
112082,19790116,  -19,    0
112082,19790117,  -10,    0
112082,19790118,   28,    0
112082,19790119,   35,    0
112082,19790120,  -10,    0
112082,19790121,  -28,    0
112082,19790122,  -16,    0
112082,19790123,  -36,    0
112082,19790124,  -44,    0
112082,19790125,  -61,    0
112082,19790126, -103,    0
112082,19790127,  -83,    0
112082,19790128,  -45,    0
112082,19790129,  -32,    0
112082,19790130,  -40,    0
112082,19790131,  -27,    0
112082,19790201,  -12,    0
112082,19790202,  -43,    0
112082,19790203,  -59,    0
112082,19790204,  -64,    0
112082,19790205,  -82,    0
112082,19790206,  -81,    0
112082,19790207,  -63,    0
112082,19790208,  -46,    0
112082,19790209,  -46,    0
112082,19790210,  -47,    0
112082,19790211,  -36,    0
112082,19790212,  -74,    0
112082,19790213,  -90,    0
112082,19790214,  -13,    0
112082,19790215,   18,    0
112082,19790216,   32,    0
112082,19790217,   27,    0
112082,19790218,    8,    0
112082,19790219,  -15,    0
112082,19790220,  -13,    0
112082,19790221,   35,    0
112082,19790222,   31,    0
112082,19790223,   12,    0
112082,19790224,  -19,    0
112082,19790225,   11,    0
112082,19790226,   30,    0
112082,19790227,  -30,    0
112082,19790228,  -16,    0
112082,19790301,    1,    0
112082,19790302,   18,    0
112082,19790303,   10,    0
112082,19790304,    6,    0
112082,19790305,  -18,    0
112082,19790306,  -15,    0
112082,19790307,   21,    0
112082,19790308,    2,    0
112082,19790309,   17,    0
112082,19790310,   32,    0
112082,19790311,    4,    0
112082,19790312,    8,    0
112082,19790313,  -30,    0
112082,19790314,  -29,    0
112082,19790315,  -62,    0
112082,19790316,  -75,    0
112082,19790317,  -48,    0
112082,19790318,  -86,    0
112082,19790319,  -79,    0
112082,19790320,  -76,    0
112082,19790321,  -48,    0
112082,19790322,  -52,    0
112082,19790323,  -85,    0
112082,19790324,  -44,    0
112082,19790325,  -29,    0
112082,19790326,   15,    0
112082,19790327,   41,    0
112082,19790328,   29,    0
112082,19790329,   27,    0
112082,19790330,   20,    0
112082,19790331,   23,    0
112082,19790401,   30,    0
112082,19790402,   18,    0
