EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 21-01-2021
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 TG   : mean temperature in 0.1 &#176;C
23-27 Q_TG : Quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station NORWAY, HYLSFJORDEN (STAID: 19019).
Blended and updated with sources: 109673 200901 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   TG, Q_TG
200901,19790101, -129,    0
200901,19790102, -129,    0
200901,19790103,  -85,    0
200901,19790104,  -40,    0
200901,19790105,  -35,    0
200901,19790106,    3,    0
200901,19790107,   44,    0
200901,19790108,   16,    0
200901,19790109,    1,    0
200901,19790110,   -9,    0
200901,19790111,    4,    0
200901,19790112,  -43,    0
200901,19790113,  -43,    0
200901,19790114,  -87,    0
200901,19790115,  -80,    0
200901,19790116,    7,    0
200901,19790117,    8,    0
200901,19790118,  -13,    0
200901,19790119,   17,    0
200901,19790120,  -18,    0
200901,19790121,  -20,    0
200901,19790122,  -77,    0
200901,19790123,  -77,    0
200901,19790124,  -79,    0
200901,19790125,  -48,    0
200901,19790126, -104,    0
200901,19790127, -109,    0
200901,19790128,  -44,    0
200901,19790129,  -23,    0
200901,19790130,  -76,    0
200901,19790131,  -77,    0
200901,19790201,   -5,    0
200901,19790202,  -35,    0
200901,19790203,  -20,    0
200901,19790204,  -55,    0
200901,19790205,  -14,    0
200901,19790206,  -30,    0
200901,19790207,  -17,    0
200901,19790208, -102,    0
200901,19790209,  -63,    0
200901,19790210,  -86,    0
200901,19790211, -145,    0
200901,19790212, -144,    0
200901,19790213,  -49,    0
200901,19790214, -101,    0
200901,19790215,  -80,    0
200901,19790216,  -44,    0
200901,19790217,  -13,    0
200901,19790218,   17,    0
200901,19790219,    2,    0
200901,19790220,   -3,    0
200901,19790221,  -27,    0
200901,19790222,  -47,    0
200901,19790223,  -36,    0
200901,19790224,  -52,    0
200901,19790225,  -45,    0
200901,19790226,   16,    0
200901,19790227,   14,    0
200901,19790228,    4,    0
200901,19790301,   14,    0
200901,19790302,   12,    0
200901,19790303,   34,    0
200901,19790304,   32,    0
200901,19790305,   36,    0
200901,19790306,   50,    0
200901,19790307,   26,    0
200901,19790308,   16,    0
200901,19790309,   34,    0
200901,19790310,   -3,    0
200901,19790311,   10,    0
200901,19790312,   11,    0
200901,19790313,   -1,    0
200901,19790314,  -16,    0
200901,19790315,  -39,    0
200901,19790316,  -15,    0
200901,19790317,  -53,    0
200901,19790318,  -79,    0
200901,19790319,  -39,    0
200901,19790320,   -1,    0
200901,19790321,   17,    0
200901,19790322,   16,    0
200901,19790323,   13,    0
200901,19790324,    5,    0
200901,19790325,   28,    0
200901,19790326,   46,    0
200901,19790327,   54,    0
200901,19790328,   52,    0
200901,19790329,   67,    0
200901,19790330,   33,    0
200901,19790331,   31,    0
200901,19790401,   33,    0
200901,19790402,   32,    0
200901,19790403,   43,    0
200901,19790404,   51,    0
200901,19790405,   64,    0
200901,19790406,   55,    0
200901,19790407,   46,    0
200901,19790408,   44,    0
200901,19790409,   30,    0
200901,19790410,   67,    0
200901,19790411,  104,    0
200901,19790412,  102,    0
200901,19790413,   70,    0
200901,19790414,   62,    0
200901,19790415,   65,    0
200901,19790416,   57,    0
200901,19790417,   48,    0
200901,19790418,   51,    0
200901,19790419,   39,    0
200901,19790420,   51,    0
200901,19790421,   55,    0
200901,19790422,   45,    0
200901,19790423,   72,    0
200901,19790424,   80,    0
200901,19790425,   56,    0
200901,19790426,   61,    0
200901,19790427,   60,    0
200901,19790428,   52,    0
200901,19790429,   36,    0
200901,19790430,   35,    0
200901,19790501,   28,    0
200901,19790502,   34,    0
200901,19790503,   21,    0
200901,19790504,   28,    0
200901,19790505,   28,    0
200901,19790506,   39,    0
200901,19790507,   34,    0
200901,19790508,   44,    0
200901,19790509,   58,    0
200901,19790510,   57,    0
200901,19790511,   64,    0
200901,19790512,   60,    0
200901,19790513,   68,    0
200901,19790514,   81,    0
200901,19790515,   84,    0
200901,19790516,   96,    0
200901,19790517,   90,    0
200901,19790518,   70,    0
200901,19790519,   52,    0
200901,19790520,   81,    0
200901,19790521,  116,    0
200901,19790522,  100,    0
200901,19790523,  106,    0
200901,19790524,  124,    0
200901,19790525,   72,    0
200901,19790526,   91,    0
200901,19790527,  112,    0
200901,19790528,   99,    0
200901,19790529,  104,    0
200901,19790530,  116,    0
200901,19790531,  155,    0
200901,19790601,  142,    0
200901,19790602,  133,    0
200901,19790603,  179,    0
200901,19790604,  198,    0
200901,19790605,  181,    0
200901,19790606,  179,    0
200901,19790607,  144,    0
200901,19790608,  107,    0
200901,19790609,  122,    0
200901,19790610,  117,    0
200901,19790611,  132,    0
200901,19790612,  126,    0
200901,19790613,  133,    0
200901,19790614,  110,    0
200901,19790615,  121,    0
200901,19790616,  103,    0
200901,19790617,  104,    0
200901,19790618,  120,    0
200901,19790619,  145,    0
200901,19790620,  157,    0
200901,19790621,  147,    0
200901,19790622,  141,    0
200901,19790623,  153,    0
200901,19790624,  157,    0
200901,19790625,  116,    0
200901,19790626,   99,    0
200901,19790627,   97,    0
200901,19790628,  101,    0
200901,19790629,   85,    0
200901,19790630,   85,    0
200901,19790701,   97,    0
200901,19790702,   81,    0
200901,19790703,  115,    0
200901,19790704,  138,    0
200901,19790705,  140,    0
200901,19790706,  134,    0
200901,19790707,  124,    0
200901,19790708,  137,    0
200901,19790709,  127,    0
200901,19790710,  134,    0
200901,19790711,  140,    0
200901,19790712,  155,    0
200901,19790713,  157,    0
200901,19790714,  123,    0
200901,19790715,  122,    0
200901,19790716,  139,    0
200901,19790717,  140,    0
200901,19790718,  117,    0
200901,19790719,  117,    0
200901,19790720,  104,    0
200901,19790721,  108,    0
200901,19790722,  130,    0
200901,19790723,  116,    0
200901,19790724,  115,    0
200901,19790725,  129,    0
200901,19790726,  142,    0
200901,19790727,  160,    0
200901,19790728,  152,    0
200901,19790729,  142,    0
200901,19790730,  157,    0
200901,19790731,  154,    0
200901,19790801,  123,    0
200901,19790802,  129,    0
200901,19790803,  134,    0
200901,19790804,  130,    0
200901,19790805,  127,    0
200901,19790806,  138,    0
200901,19790807,  157,    0
200901,19790808,  150,    0
200901,19790809,  121,    0
200901,19790810,  112,    0
200901,19790811,  135,    0
200901,19790812,  144,    0
200901,19790813,  135,    0
200901,19790814,  176,    0
200901,19790815,  140,    0
200901,19790816,  131,    0
200901,19790817,  120,    0
200901,19790818,  137,    0
200901,19790819,  163,    0
200901,19790820,  150,    0
200901,19790821,  130,    0
200901,19790822,  106,    0
200901,19790823,  109,    0
200901,19790824,  107,    0
200901,19790825,  123,    0
200901,19790826,  137,    0
200901,19790827,  131,    0
200901,19790828,  107,    0
200901,19790829,  124,    0
200901,19790830,  135,    0
200901,19790831,   91,    0
200901,19790901,  111,    0
200901,19790902,  154,    0
200901,19790903,  138,    0
200901,19790904,  113,    0
200901,19790905,  111,    0
200901,19790906,  138,    0
200901,19790907,  154,    0
200901,19790908,  143,    0
200901,19790909,  115,    0
200901,19790910,  113,    0
200901,19790911,  105,    0
200901,19790912,   94,    0
200901,19790913,  102,    0
200901,19790914,   68,    0
200901,19790915,   52,    0
200901,19790916,   70,    0
200901,19790917,  103,    0
200901,19790918,  107,    0
200901,19790919,  101,    0
200901,19790920,   75,    0
200901,19790921,   81,    0
200901,19790922,   84,    0
200901,19790923,   64,    0
200901,19790924,   71,    0
200901,19790925,   90,    0
200901,19790926,  104,    0
200901,19790927,   81,    0
200901,19790928,   87,    0
200901,19790929,   71,    0
200901,19790930,   29,    0
200901,19791001,   48,    0
200901,19791002,   56,    0
200901,19791003,   59,    0
200901,19791004,   75,    0
200901,19791005,   98,    0
200901,19791006,   83,    0
200901,19791007,  107,    0
200901,19791008,   94,    0
200901,19791009,  112,    0
200901,19791010,  110,    0
200901,19791011,  118,    0
200901,19791012,   69,    0
200901,19791013,   96,    0
200901,19791014,   98,    0
200901,19791015,   96,    0
200901,19791016,   95,    0
200901,19791017,   76,    0
200901,19791018,   78,    0
200901,19791019,   66,    0
200901,19791020,   82,    0
200901,19791021,   45,    0
200901,19791022,    8,    0
200901,19791023,    5,    0
200901,19791024,   78,    0
200901,19791025,   99,    0
200901,19791026,   99,    0
200901,19791027,   85,    0
200901,19791028,   71,    0
200901,19791029,   67,    0
200901,19791030,   55,    0
200901,19791031,   72,    0
200901,19791101,   71,    0
200901,19791102,   60,    0
200901,19791103,   66,    0
200901,19791104,   67,    0
200901,19791105,   50,    0
200901,19791106,    6,    0
200901,19791107,   25,    0
200901,19791108,   31,    0
200901,19791109,   17,    0
200901,19791110,   -3,    0
200901,19791111,    2,    0
200901,19791112,  -15,    0
200901,19791113,  -25,    0
200901,19791114,  -25,    0
200901,19791115,  -30,    0
200901,19791116,   33,    0
200901,19791117,  -11,    0
200901,19791118,   45,    0
200901,19791119,   49,    0
200901,19791120,   -4,    0
200901,19791121,   -7,    0
200901,19791122,   24,    0
200901,19791123,   49,    0
200901,19791124,   16,    0
200901,19791125,   49,    0
200901,19791126,   46,    0
200901,19791127,   36,    0
200901,19791128,   31,    0
200901,19791129,   58,    0
200901,19791130,   33,    0
200901,19791201,   48,    0
200901,19791202,   81,    0
200901,19791203,   52,    0
200901,19791204,   64,    0
200901,19791205,   62,    0
200901,19791206,   50,    0
200901,19791207,   21,    0
200901,19791208,  -25,    0
200901,19791209,    7,    0
200901,19791210,    2,    0
200901,19791211,  -20,    0
200901,19791212,  -38,    0
200901,19791213,    6,    0
200901,19791214,    8,    0
200901,19791215,  -37,    0
200901,19791216,  -40,    0
200901,19791217,   -8,    0
200901,19791218,  -63,    0
200901,19791219,  -14,    0
200901,19791220,  -40,    0
200901,19791221,  -72,    0
200901,19791222,  -50,    0
200901,19791223,   -3,    0
200901,19791224,    5,    0
200901,19791225,    8,    0
200901,19791226,   12,    0
200901,19791227,   41,    0
200901,19791228,   10,    0
200901,19791229,  -22,    0
200901,19791230,  -48,    0
200901,19791231,  -66,    0
200901,19800101,  -57,    0
200901,19800102,  -89,    0
200901,19800103,  -95,    0
200901,19800104,  -13,    0
200901,19800105,    4,    0
200901,19800106,   13,    0
200901,19800107,  -14,    0
200901,19800108,  -59,    0
200901,19800109,  -41,    0
200901,19800110,  -23,    0
200901,19800111,  -24,    0
200901,19800112,  -19,    0
200901,19800113,   17,    0
200901,19800114,   22,    0
200901,19800115,  -15,    0
200901,19800116,  -38,    0
200901,19800117,  -18,    0
200901,19800118,    3,    0
200901,19800119,    8,    0
200901,19800120,   28,    0
200901,19800121,   26,    0
200901,19800122,   27,    0
200901,19800123,   48,    0
200901,19800124,   22,    0
200901,19800125,  -44,    0
200901,19800126,  -55,    0
200901,19800127,  -61,    0
200901,19800128,  -36,    0
200901,19800129,  -63,    0
200901,19800130,  -55,    0
200901,19800131,  -80,    0
200901,19800201,  -96,    0
200901,19800202,  -60,    0
200901,19800203,  -54,    0
200901,19800204, -116,    0
200901,19800205,  -41,    0
200901,19800206,  -44,    0
200901,19800207,  -54,    0
200901,19800208,  -47,    0
200901,19800209,  -21,    0
200901,19800210,  -35,    0
200901,19800211,  -25,    0
200901,19800212,   -6,    0
200901,19800213,    8,    0
200901,19800214,   10,    0
200901,19800215,   39,    0
200901,19800216,   22,    0
200901,19800217,   -2,    0
