EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 21-01-2021
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 TG   : mean temperature in 0.1 &#176;C
23-27 Q_TG : Quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station NORWAY, SOLVAER - SLENESET (STAID: 19043).
Blended and updated with sources: 156990 199306 200929 901121 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   TG, Q_TG
156990,19790101,  -29,    0
156990,19790102,  -32,    0
156990,19790103,  -33,    0
156990,19790104,  -29,    0
156990,19790105,  -34,    0
156990,19790106,  -23,    0
156990,19790107,   11,    0
156990,19790108,   18,    0
156990,19790109,    3,    0
156990,19790110,    5,    0
156990,19790111,  -21,    0
156990,19790112,   -5,    0
156990,19790113,  -34,    0
156990,19790114,  -21,    0
156990,19790115,  -25,    0
156990,19790116,  -10,    0
156990,19790117,    7,    0
156990,19790118,   18,    0
156990,19790119,   13,    0
156990,19790120,   14,    0
156990,19790121,   13,    0
156990,19790122,   15,    0
156990,19790123,    0,    0
156990,19790124,  -19,    0
156990,19790125,  -71,    0
156990,19790126, -119,    0
156990,19790127,  -71,    0
156990,19790128,  -46,    0
156990,19790129,  -39,    0
156990,19790130,  -24,    0
156990,19790131,  -18,    0
156990,19790201,  -21,    0
156990,19790202,  -52,    0
156990,19790203,  -36,    0
156990,19790204,  -42,    0
156990,19790205,  -55,    0
156990,19790206,  -31,    0
156990,19790207,   -2,    0
156990,19790208,  -17,    0
156990,19790209,  -12,    0
156990,19790210,  -17,    0
156990,19790211,  -18,    0
156990,19790212,  -22,    0
156990,19790213,  -55,    0
156990,19790214,  -52,    0
156990,19790215,   -3,    0
156990,19790216,   26,    0
156990,19790217,   20,    0
156990,19790218,    3,    0
156990,19790219,    8,    0
156990,19790220,   -7,    0
156990,19790221,   33,    0
156990,19790222,   29,    0
156990,19790223,   10,    0
156990,19790224,   16,    0
156990,19790225,   45,    0
156990,19790226,   25,    0
156990,19790227,    4,    0
156990,19790228,    6,    0
156990,19790301,   40,    0
156990,19790302,   16,    0
156990,19790303,   41,    0
156990,19790304,   18,    0
156990,19790305,   -3,    0
156990,19790306,    5,    0
156990,19790307,   34,    0
156990,19790308,   17,    0
156990,19790309,   36,    0
156990,19790310,   41,    0
156990,19790311,   28,    0
156990,19790312,   22,    0
156990,19790313,    9,    0
156990,19790314,   -2,    0
156990,19790315,  -24,    0
156990,19790316,  -75,    0
156990,19790317,  -67,    0
156990,19790318,  -46,    0
156990,19790319,  -65,    0
156990,19790320,  -37,    0
156990,19790321,  -14,    0
156990,19790322,   16,    0
156990,19790323,   23,    0
156990,19790324,   10,    0
156990,19790325,   14,    0
156990,19790326,   32,    0
156990,19790327,   62,    0
156990,19790328,   55,    0
156990,19790329,   56,    0
156990,19790330,   27,    0
156990,19790331,   46,    0
156990,19790401,   48,    0
156990,19790402,   52,    0
156990,19790403,   46,    0
156990,19790404,   41,    0
156990,19790405,   48,    0
156990,19790406,   45,    0
156990,19790407,   24,    0
156990,19790408,   13,    0
156990,19790409,    4,    0
156990,19790410,   21,    0
156990,19790411,   35,    0
156990,19790412,   27,    0
156990,19790413,    5,    0
156990,19790414,  -13,    0
156990,19790415,   -2,    0
156990,19790416,    0,    0
156990,19790417,   10,    0
156990,19790418,   22,    0
156990,19790419,   46,    0
156990,19790420,   64,    0
156990,19790421,   58,    0
156990,19790422,   63,    0
156990,19790423,   67,    0
156990,19790424,   72,    0
156990,19790425,   77,    0
156990,19790426,   62,    0
156990,19790427,   49,    0
156990,19790428,   35,    0
156990,19790429,   34,    0
156990,19790430,   10,    0
156990,19790501,   33,    0
156990,19790502,   52,    0
156990,19790503,   48,    0
156990,19790504,   47,    0
156990,19790505,   52,    0
156990,19790506,   39,    0
156990,19790507,   55,    0
156990,19790508,   48,    0
156990,19790509,   37,    0
156990,19790510,   49,    0
156990,19790511,   37,    0
156990,19790512,   31,    0
156990,19790513,   28,    0
156990,19790514,   51,    0
156990,19790515,   30,    0
156990,19790516,   65,    0
156990,19790517,   82,    0
156990,19790518,   57,    0
156990,19790519,   51,    0
156990,19790520,   53,    0
156990,19790521,   83,    0
156990,19790522,   85,    0
156990,19790523,   85,    0
156990,19790524,   98,    0
156990,19790525,   97,    0
156990,19790526,   74,    0
156990,19790527,   83,    0
156990,19790528,   93,    0
156990,19790529,   79,    0
156990,19790530,   86,    0
156990,19790531,   77,    0
156990,19790601,  132,    0
156990,19790602,   86,    0
156990,19790603,   81,    0
156990,19790604,   81,    0
156990,19790605,   73,    0
156990,19790606,  117,    0
156990,19790607,  105,    0
