EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 21-01-2021
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 TG   : mean temperature in 0.1 &#176;C
23-27 Q_TG : Quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station NORWAY, JOMFRULAND FYR (STAID: 19050).
Blended and updated with sources: 199310 200937 901476 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   TG, Q_TG
200937,19790101, -140,    0
200937,19790102,  -99,    0
200937,19790103,  -88,    0
200937,19790104, -114,    0
200937,19790105, -102,    0
200937,19790106,  -37,    0
200937,19790107,   26,    0
200937,19790108,   18,    0
200937,19790109,  -12,    0
200937,19790110,  -27,    0
200937,19790111,  -13,    0
200937,19790112,  -22,    0
200937,19790113,  -63,    0
200937,19790114,  -67,    0
200937,19790115, -110,    0
200937,19790116,  -53,    0
200937,19790117,  -40,    0
200937,19790118,  -44,    0
200937,19790119,  -21,    0
200937,19790120,  -37,    0
200937,19790121,  -48,    0
200937,19790122,  -67,    0
200937,19790123,  -86,    0
200937,19790124,  -62,    0
200937,19790125, -102,    0
200937,19790126, -138,    0
200937,19790127, -152,    0
200937,19790128,  -81,    0
200937,19790129,  -62,    0
200937,19790130,  -84,    0
200937,19790131,  -89,    0
200937,19790201,  -66,    0
200937,19790202,  -77,    0
200937,19790203,  -56,    0
200937,19790204,  -54,    0
200937,19790205,  -54,    0
200937,19790206,  -55,    0
200937,19790207,  -23,    0
200937,19790208,  -29,    0
200937,19790209,  -34,    0
200937,19790210,  -33,    0
200937,19790211,  -69,    0
200937,19790212, -115,    0
200937,19790213,  -59,    0
200937,19790214, -130,    0
200937,19790215, -102,    0
200937,19790216, -103,    0
200937,19790217,  -67,    0
200937,19790218,  -50,    0
200937,19790219,  -30,    0
200937,19790220,  -21,    0
200937,19790221,  -21,    0
200937,19790222,  -42,    0
200937,19790223,  -34,    0
200937,19790224,  -13,    0
200937,19790225,  -15,    0
200937,19790226,   17,    0
200937,19790227,   17,    0
200937,19790228,   10,    0
200937,19790301,   -4,    0
200937,19790302,   14,    0
200937,19790303,   47,    0
200937,19790304,   31,    0
200937,19790305,   32,    0
200937,19790306,   21,    0
200937,19790307,   11,    0
200937,19790308,   22,    0
200937,19790309,   18,    0
200937,19790310,   16,    0
200937,19790311,  -15,    0
200937,19790312,    8,    0
200937,19790313,    1,    0
200937,19790314,  -12,    0
200937,19790315,  -22,    0
200937,19790316,  -36,    0
200937,19790317,  -85,    0
200937,19790318,  -95,    0
200937,19790319,  -54,    0
200937,19790320,   -4,    0
200937,19790321,  -10,    0
200937,19790322,    7,    0
200937,19790323,   11,    0
200937,19790324,    7,    0
200937,19790325,    3,    0
200937,19790326,   25,    0
200937,19790327,   19,    0
200937,19790328,   29,    0
200937,19790329,   30,    0
200937,19790330,   36,    0
200937,19790331,   28,    0
200937,19790401,   36,    0
200937,19790402,   17,    0
200937,19790403,   19,    0
200937,19790404,   17,    0
200937,19790405,   30,    0
200937,19790406,   27,    0
200937,19790407,   37,    0
200937,19790408,   31,    0
200937,19790409,   20,    0
200937,19790410,   36,    0
200937,19790411,   50,    0
200937,19790412,   59,    0
200937,19790413,   35,    0
200937,19790414,   72,    0
200937,19790415,   30,    0
200937,19790416,   15,    0
200937,19790417,   38,    0
200937,19790418,   30,    0
200937,19790419,   35,    0
200937,19790420,   44,    0
200937,19790421,   39,    0
200937,19790422,   47,    0
200937,19790423,   45,    0
200937,19790424,   39,    0
200937,19790425,   36,    0
200937,19790426,   49,    0
200937,19790427,   45,    0
200937,19790428,   49,    0
200937,19790429,   58,    0
200937,19790430,   50,    0
200937,19790501,   63,    0
200937,19790502,   37,    0
200937,19790503,   61,    0
200937,19790504,   39,    0
200937,19790505,   38,    0
200937,19790506,   49,    0
200937,19790507,   36,    0
200937,19790508,   48,    0
200937,19790509,   41,    0
200937,19790510,   78,    0
200937,19790511,   61,    0
200937,19790512,   63,    0
200937,19790513,   78,    0
200937,19790514,   75,    0
200937,19790515,   75,    0
200937,19790516,   83,    0
200937,19790517,   84,    0
200937,19790518,   83,    0
200937,19790519,   77,    0
200937,19790520,   67,    0
200937,19790521,   84,    0
200937,19790522,   88,    0
200937,19790523,   83,    0
200937,19790524,  105,    0
200937,19790525,  111,    0
200937,19790526,   88,    0
200937,19790527,   99,    0
200937,19790528,  102,    0
200937,19790529,   97,    0
200937,19790530,  109,    0
200937,19790531,  162,    0
200937,19790601,  168,    0
200937,19790602,  190,    0
200937,19790603,  172,    0
200937,19790604,  164,    0
200937,19790605,  163,    0
200937,19790606,  173,    0
200937,19790607,  161,    0
200937,19790608,  143,    0
200937,19790609,  128,    0
200937,19790610,  132,    0
200937,19790611,  126,    0
200937,19790612,  119,    0
200937,19790613,  119,    0
200937,19790614,  122,    0
200937,19790615,  126,    0
200937,19790616,  135,    0
200937,19790617,  147,    0
200937,19790618,  163,    0
200937,19790619,  163,    0
200937,19790620,  158,    0
200937,19790621,  145,    0
200937,19790622,  158,    0
200937,19790623,  157,    0
200937,19790624,  148,    0
200937,19790625,  139,    0
200937,19790626,  124,    0
200937,19790627,  133,    0
200937,19790628,  122,    0
200937,19790629,  133,    0
200937,19790630,  128,    0
200937,19790701,  148,    0
200937,19790702,  125,    0
200937,19790703,  162,    0
200937,19790704,  146,    0
200937,19790705,  161,    0
200937,19790706,  167,    0
200937,19790707,  153,    0
200937,19790708,  179,    0
200937,19790709,  168,    0
200937,19790710,  168,    0
200937,19790711,  168,    0
200937,19790712,  167,    0
200937,19790713,  165,    0
200937,19790714,  176,    0
200937,19790715,  173,    0
200937,19790716,  140,    0
200937,19790717,  162,    0
200937,19790718,  156,    0
200937,19790719,  141,    0
200937,19790720,  160,    0
200937,19790721,  126,    0
200937,19790722,  156,    0
200937,19790723,  145,    0
200937,19790724,  141,    0
200937,19790725,  143,    0
200937,19790726,  155,    0
200937,19790727,  156,    0
200937,19790728,  143,    0
200937,19790729,  141,    0
200937,19790730,  149,    0
200937,19790731,  152,    0
200937,19790801,  158,    0
200937,19790802,  131,    0
200937,19790803,  155,    0
200937,19790804,  148,    0
200937,19790805,  149,    0
200937,19790806,  142,    0
200937,19790807,  150,    0
200937,19790808,  142,    0
200937,19790809,  161,    0
200937,19790810,  134,    0
200937,19790811,  136,    0
200937,19790812,  146,    0
200937,19790813,  146,    0
200937,19790814,  149,    0
200937,19790815,  161,    0
200937,19790816,  119,    0
200937,19790817,  143,    0
200937,19790818,  191,    0
200937,19790819,  176,    0
200937,19790820,  162,    0
200937,19790821,  151,    0
200937,19790822,  121,    0
200937,19790823,  127,    0
200937,19790824,  129,    0
200937,19790825,  138,    0
200937,19790826,  148,    0
200937,19790827,  119,    0
200937,19790828,  133,    0
200937,19790829,  157,    0
200937,19790830,  154,    0
200937,19790831,  133,    0
200937,19790901,  129,    0
200937,19790902,  143,    0
200937,19790903,  156,    0
200937,19790904,  146,    0
200937,19790905,  133,    0
200937,19790906,  133,    0
200937,19790907,  152,    0
200937,19790908,  152,    0
200937,19790909,  151,    0
200937,19790910,  129,    0
200937,19790911,  148,    0
200937,19790912,  118,    0
200937,19790913,  141,    0
200937,19790914,   96,    0
200937,19790915,   99,    0
200937,19790916,   83,    0
200937,19790917,  133,    0
200937,19790918,  147,    0
200937,19790919,  126,    0
200937,19790920,   89,    0
200937,19790921,  110,    0
200937,19790922,  113,    0
200937,19790923,   86,    0
200937,19790924,   95,    0
200937,19790925,   94,    0
200937,19790926,  140,    0
200937,19790927,  102,    0
200937,19790928,  100,    0
200937,19790929,   99,    0
200937,19790930,   60,    0
200937,19791001,   67,    0
200937,19791002,   71,    0
200937,19791003,   60,    0
200937,19791004,   75,    0
200937,19791005,   76,    0
200937,19791006,   83,    0
200937,19791007,   90,    0
200937,19791008,   93,    0
200937,19791009,  108,    0
200937,19791010,  118,    0
200937,19791011,  120,    0
200937,19791012,  100,    0
200937,19791013,  101,    0
200937,19791014,   91,    0
200937,19791015,   98,    0
200937,19791016,   87,    0
200937,19791017,   87,    0
200937,19791018,   75,    0
200937,19791019,   81,    0
200937,19791020,   97,    0
200937,19791021,   74,    0
200937,19791022,   38,    0
200937,19791023,   21,    0
200937,19791024,   38,    0
200937,19791025,   60,    0
200937,19791026,   35,    0
200937,19791027,   -6,    0
200937,19791028,   12,    0
200937,19791029,   46,    0
200937,19791030,   40,    0
200937,19791031,   33,    0
200937,19791101,   37,    0
200937,19791102,   31,    0
200937,19791103,   48,    0
200937,19791104,   84,    0
200937,19791105,   56,    0
200937,19791106,   17,    0
200937,19791107,   32,    0
200937,19791108,   38,    0
200937,19791109,    1,    0
200937,19791110,    0,    0
200937,19791111,    7,    0
200937,19791112,  -11,    0
200937,19791113,  -31,    0
200937,19791114,  -30,    0
200937,19791115,  -39,    0
200937,19791116,   -6,    0
200937,19791117,   11,    0
200937,19791118,   51,    0
200937,19791119,   37,    0
200937,19791120,   19,    0
200937,19791121,   12,    0
200937,19791122,   68,    0
200937,19791123,   69,    0
200937,19791124,   28,    0
200937,19791125,   46,    0
200937,19791126,   55,    0
200937,19791127,   41,    0
200937,19791128,   14,    0
200937,19791129,   62,    0
200937,19791130,   53,    0
200937,19791201,   41,    0
200937,19791202,   79,    0
200937,19791203,   63,    0
200937,19791204,   58,    0
200937,19791205,   62,    0
200937,19791206,   55,    0
200937,19791207,   32,    0
200937,19791208,   -4,    0
200937,19791209,  -25,    0
200937,19791210,  -31,    0
200937,19791211,  -37,    0
200937,19791212,  -64,    0
200937,19791213,  -26,    0
200937,19791214,   -1,    0
200937,19791215,  -51,    0
200937,19791216,  -81,    0
200937,19791217,  -57,    0
200937,19791218,  -75,    0
200937,19791219,  -25,    0
200937,19791220,  -12,    0
200937,19791221,  -50,    0
200937,19791222,  -80,    0
200937,19791223,  -26,    0
200937,19791224,   21,    0
200937,19791225,   25,    0
200937,19791226,   19,    0
200937,19791227,   36,    0
200937,19791228,   37,    0
200937,19791229,   10,    0
200937,19791230,  -16,    0
200937,19791231,  -17,    0
200937,19800101,  -22,    0
200937,19800102,  -45,    0
200937,19800103,  -78,    0
200937,19800104,  -90,    0
200937,19800105,  -56,    0
200937,19800106,  -18,    0
200937,19800107,  -28,    0
200937,19800108,  -39,    0
200937,19800109,  -57,    0
200937,19800110,  -40,    0
200937,19800111,  -40,    0
200937,19800112,  -81,    0
200937,19800113,    8,    0
200937,19800114,   18,    0
200937,19800115,   -2,    0
200937,19800116,  -28,    0
200937,19800117,  -29,    0
200937,19800118,  -20,    0
200937,19800119,  -12,    0
200937,19800120,  -10,    0
200937,19800121,   -4,    0
200937,19800122,   -3,    0
200937,19800123,    3,    0
200937,19800124,  -42,    0
200937,19800125,  -98,    0
200937,19800126, -120,    0
200937,19800127,  -52,    0
200937,19800128,  -58,    0
200937,19800129,  -63,    0
200937,19800130,  -78,    0
200937,19800131,  -83,    0
200937,19800201, -131,    0
200937,19800202, -125,    0
200937,19800203, -123,    0
200937,19800204, -104,    0
200937,19800205, -109,    0
200937,19800206,  -85,    0
200937,19800207,  -93,    0
200937,19800208, -117,    0
200937,19800209, -118,    0
200937,19800210,  -84,    0
200937,19800211,  -68,    0
200937,19800212,  -52,    0
200937,19800213,  -21,    0
200937,19800214,   -3,    0
200937,19800215,    2,    0
200937,19800216,    8,    0
200937,19800217,  -27,    0
200937,19800218,  -24,    0
200937,19800219,  -11,    0
200937,19800220,  -18,    0
200937,19800221,  -23,    0
200937,19800222,  -37,    0
200937,19800223,  -50,    0
200937,19800224,  -76,    0
200937,19800225,  -69,    0
200937,19800226,  -81,    0
200937,19800227,  -67,    0
200937,19800228,  -13,    0
200937,19800229,   -3,    0
200937,19800301,   36,    0
200937,19800302,  -29,    0
200937,19800303,  -30,    0
200937,19800304,  -30,    0
200937,19800305,    1,    0
200937,19800306,    2,    0
200937,19800307,   -7,    0
200937,19800308,   -6,    0
200937,19800309,    3,    0
200937,19800310,    2,    0
200937,19800311,   -6,    0
200937,19800312,   -2,    0
200937,19800313,    6,    0
200937,19800314,   -5,    0
200937,19800315,   -9,    0
200937,19800316,   -9,    0
200937,19800317,   -4,    0
200937,19800318,  -34,    0
200937,19800319,  -63,    0
200937,19800320,  -61,    0
200937,19800321,  -34,    0
200937,19800322,  -37,    0
200937,19800323,  -41,    0
200937,19800324,  -28,    0
200937,19800325,  -27,    0
200937,19800326,   -5,    0
200937,19800327,  -20,    0
200937,19800328,  -16,    0
200937,19800329,    6,    0
200937,19800330,   16,    0
200937,19800331,   39,    0
200937,19800401,   12,    0
200937,19800402,   15,    0
200937,19800403,   13,    0
200937,19800404,   21,    0
200937,19800405,   20,    0
200937,19800406,   12,    0
200937,19800407,   15,    0
200937,19800408,   42,    0
200937,19800409,   22,    0
200937,19800410,   37,    0
200937,19800411,   54,    0
200937,19800412,   55,    0
200937,19800413,   42,    0
200937,19800414,   39,    0
200937,19800415,   38,    0
200937,19800416,   45,    0
200937,19800417,   91,    0
200937,19800418,   67,    0
200937,19800419,   34,    0
200937,19800420,   62,    0
200937,19800421,   63,    0
200937,19800422,   48,    0
200937,19800423,   42,    0
200937,19800424,   75,    0
200937,19800425,   89,    0
200937,19800426,   66,    0
200937,19800427,   86,    0
200937,19800428,   76,    0
200937,19800429,  101,    0
200937,19800430,  112,    0
200937,19800501,  111,    0
200937,19800502,   93,    0
200937,19800503,   97,    0
200937,19800504,   97,    0
200937,19800505,  114,    0
200937,19800506,  112,    0
200937,19800507,   94,    0
200937,19800508,   88,    0
200937,19800509,   80,    0
200937,19800510,   95,    0
200937,19800511,   81,    0
200937,19800512,   90,    0
200937,19800513,   97,    0
200937,19800514,  112,    0
200937,19800515,  148,    0
200937,19800516,  172,    0
200937,19800517,  166,    0
200937,19800518,  169,    0
200937,19800519,  149,    0
200937,19800520,  110,    0
200937,19800521,   75,    0
200937,19800522,  101,    0
200937,19800523,  125,    0
200937,19800524,  116,    0
200937,19800525,  116,    0
200937,19800526,  109,    0
200937,19800527,  110,    0
200937,19800528,  100,    0
200937,19800529,  112,    0
200937,19800530,  121,    0
200937,19800531,  123,    0
200937,19800601,  116,    0
200937,19800602,  153,    0
200937,19800603,  161,    0
200937,19800604,  158,    0
200937,19800605,  169,    0
200937,19800606,  182,    0
200937,19800607,  189,    0
200937,19800608,  180,    0
200937,19800609,  169,    0
200937,19800610,  191,    0
200937,19800611,  193,    0
200937,19800612,  119,    0
200937,19800613,  140,    0
200937,19800614,  155,    0
200937,19800615,  164,    0
200937,19800616,  156,    0
200937,19800617,  149,    0
200937,19800618,  158,    0
200937,19800619,  157,    0
200937,19800620,  147,    0
200937,19800621,  135,    0
200937,19800622,  128,    0
200937,19800623,  134,    0
200937,19800624,  138,    0
200937,19800625,  146,    0
200937,19800626,  140,    0
200937,19800627,  144,    0
200937,19800628,  142,    0
200937,19800629,  133,    0
200937,19800630,  151,    0
200937,19800701,  173,    0
200937,19800702,  184,    0
200937,19800703,  170,    0
200937,19800704,  159,    0
200937,19800705,  163,    0
200937,19800706,  168,    0
200937,19800707,  168,    0
200937,19800708,  176,    0
200937,19800709,  192,    0
200937,19800710,  192,    0
200937,19800711,  186,    0
200937,19800712,  172,    0
200937,19800713,  164,    0
200937,19800714,  150,    0
200937,19800715,  159,    0
200937,19800716,  154,    0
200937,19800717,  174,    0
200937,19800718,  136,    0
200937,19800719,  144,    0
200937,19800720,  140,    0
200937,19800721,  154,    0
200937,19800722,  160,    0
200937,19800723,  160,    0
200937,19800724,  164,    0
200937,19800725,  164,    0
200937,19800726,  187,    0
200937,19800727,  210,    0
200937,19800728,  217,    0
200937,19800729,  212,    0
200937,19800730,  211,    0
200937,19800731,  205,    0
200937,19800801,  184,    0
200937,19800802,  173,    0
200937,19800803,  176,    0
200937,19800804,  190,    0
200937,19800805,  173,    0
200937,19800806,  199,    0
200937,19800807,  174,    0
200937,19800808,  119,    0
