EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 21-01-2021
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 TG   : mean temperature in 0.1 &#176;C
23-27 Q_TG : Quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station NORWAY, OEVRE SALTDAL (STAID: 19070).
Blended and updated with sources: 199498 200959 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   TG, Q_TG
200959,19790101,  -71,    0
200959,19790102,  -97,    0
200959,19790103, -185,    0
200959,19790104, -245,    0
200959,19790105, -269,    0
200959,19790106, -104,    0
200959,19790107,  -80,    0
200959,19790108,  -23,    0
200959,19790109,  -98,    0
200959,19790110, -141,    0
200959,19790111, -151,    0
200959,19790112,  -71,    0
200959,19790113,  -74,    0
200959,19790114, -101,    0
200959,19790115, -177,    0
200959,19790116,  -44,    0
200959,19790117,  -45,    0
200959,19790118,  -35,    0
200959,19790119,  -28,    0
200959,19790120, -130,    0
200959,19790121,  -65,    0
200959,19790122,  -83,    0
200959,19790123,  -65,    0
200959,19790124,  -72,    0
200959,19790125, -138,    0
200959,19790126, -188,    0
200959,19790127, -154,    0
200959,19790128, -118,    0
200959,19790129, -116,    0
200959,19790130, -114,    0
200959,19790131, -112,    0
200959,19790201,  -49,    0
200959,19790202,  -89,    0
200959,19790203,  -80,    0
200959,19790204, -214,    0
200959,19790205, -160,    0
200959,19790206, -128,    0
200959,19790207,  -86,    0
200959,19790208,  -78,    0
200959,19790209, -113,    0
200959,19790210,  -75,    0
200959,19790211,  -51,    0
200959,19790212, -142,    0
200959,19790213, -224,    0
200959,19790214, -108,    0
200959,19790215,  -27,    0
200959,19790216,   12,    0
200959,19790217,    1,    0
200959,19790218, -146,    0
200959,19790219, -121,    0
200959,19790220,  -95,    0
200959,19790221,  -21,    0
200959,19790222,  -28,    0
200959,19790223,  -24,    0
200959,19790224,  -76,    0
200959,19790225,   22,    0
200959,19790226,   31,    0
200959,19790227,  -22,    0
200959,19790228,  -13,    0
200959,19790301,   25,    0
200959,19790302,    1,    0
200959,19790303,   28,    0
200959,19790304,    5,    0
200959,19790305,  -14,    0
200959,19790306,  -27,    0
200959,19790307,   41,    0
200959,19790308,   -7,    0
200959,19790309,   24,    0
200959,19790310,   30,    0
200959,19790311,   21,    0
200959,19790312,   17,    0
200959,19790313,  -27,    0
200959,19790314,  -63,    0
200959,19790315, -112,    0
200959,19790316, -122,    0
200959,19790317, -134,    0
200959,19790318,  -88,    0
200959,19790319, -179,    0
200959,19790320, -149,    0
200959,19790321, -124,    0
200959,19790322,  -58,    0
200959,19790323,  -20,    0
200959,19790324,  -33,    0
200959,19790325,  -51,    0
200959,19790326,   38,    0
200959,19790327,   57,    0
200959,19790328,   57,    0
200959,19790329,   58,    0
200959,19790330,   29,    0
200959,19790331,   41,    0
200959,19790401,   13,    0
