EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 21-01-2021
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 TG   : mean temperature in 0.1 &#176;C
23-27 Q_TG : Quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station NORWAY, HELLISOEY FYR (STAID: 19115).
Blended and updated with sources: 199232 201018 901306 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   TG, Q_TG
201018,19790101,  -94,    0
201018,19790102,  -63,    0
201018,19790103,  -11,    0
201018,19790104,   -1,    0
201018,19790105,    2,    0
201018,19790106,   42,    0
201018,19790107,   44,    0
201018,19790108,   38,    0
201018,19790109,   36,    0
201018,19790110,   16,    0
201018,19790111,    6,    0
201018,19790112,    6,    0
201018,19790113,    9,    0
201018,19790114,   -8,    0
201018,19790115,  -12,    0
201018,19790116,   27,    0
201018,19790117,   42,    0
201018,19790118,   21,    0
201018,19790119,    6,    0
201018,19790120,   -8,    0
201018,19790121,   13,    0
201018,19790122,    0,    0
201018,19790123,  -13,    0
201018,19790124,  -11,    0
201018,19790125,  -22,    0
201018,19790126,  -45,    0
201018,19790127,  -25,    0
201018,19790128,    5,    0
201018,19790129,   -4,    0
201018,19790130,  -17,    0
201018,19790131,   -4,    0
201018,19790201,   10,    0
201018,19790202,   -1,    0
201018,19790203,   -5,    0
201018,19790204,    7,    0
201018,19790205,   12,    0
201018,19790206,   17,    0
201018,19790207,   -1,    0
201018,19790208,    6,    0
201018,19790209,    6,    0
201018,19790210,   14,    0
201018,19790211,   -1,    0
201018,19790212,  -21,    0
201018,19790213,  -20,    0
201018,19790214,  -69,    0
201018,19790215,  -44,    0
201018,19790216,  -23,    0
201018,19790217,  -18,    0
201018,19790218,   18,    0
201018,19790219,    8,    0
201018,19790220,   15,    0
201018,19790221,   10,    0
201018,19790222,    0,    0
201018,19790223,    7,    0
201018,19790224,   13,    0
201018,19790225,   21,    0
201018,19790226,   30,    0
201018,19790227,   21,    0
201018,19790228,   12,    0
201018,19790301,   14,    0
201018,19790302,   36,    0
201018,19790303,   45,    0
201018,19790304,   22,    0
201018,19790305,   47,    0
201018,19790306,   46,    0
201018,19790307,   29,    0
201018,19790308,   32,    0
201018,19790309,   24,    0
201018,19790310,   21,    0
201018,19790311,   16,    0
201018,19790312,   27,    0
201018,19790313,   20,    0
201018,19790314,    0,    0
201018,19790315,   -6,    0
201018,19790316,   -3,    0
201018,19790317,  -27,    0
201018,19790318,  -34,    0
201018,19790319,    6,    0
201018,19790320,   22,    0
201018,19790321,   13,    0
201018,19790322,   31,    0
201018,19790323,   13,    0
201018,19790324,   27,    0
201018,19790325,   14,    0
201018,19790326,   38,    0
201018,19790327,   37,    0
201018,19790328,   53,    0
201018,19790329,   66,    0
201018,19790330,   37,    0
201018,19790331,   30,    0
201018,19790401,   34,    0
201018,19790402,   33,    0
201018,19790403,   64,    0
201018,19790404,   57,    0
201018,19790405,   58,    0
201018,19790406,   44,    0
201018,19790407,   53,    0
201018,19790408,   35,    0
201018,19790409,   41,    0
201018,19790410,   39,    0
201018,19790411,   83,    0
201018,19790412,   88,    0
201018,19790413,   47,    0
201018,19790414,   45,    0
201018,19790415,   35,    0
201018,19790416,   30,    0
201018,19790417,   45,    0
201018,19790418,   35,    0
201018,19790419,   42,    0
201018,19790420,   44,    0
201018,19790421,   49,    0
201018,19790422,   40,    0
201018,19790423,   59,    0
201018,19790424,   56,    0
201018,19790425,   60,    0
201018,19790426,   52,    0
201018,19790427,   50,    0
201018,19790428,   43,    0
201018,19790429,   40,    0
201018,19790430,   27,    0
201018,19790501,   28,    0
201018,19790502,   34,    0
201018,19790503,   33,    0
201018,19790504,   21,    0
201018,19790505,   33,    0
201018,19790506,   40,    0
201018,19790507,   39,    0
201018,19790508,   47,    0
201018,19790509,   48,    0
201018,19790510,   49,    0
201018,19790511,   50,    0
201018,19790512,   58,    0
201018,19790513,   65,    0
201018,19790514,   66,    0
201018,19790515,   69,    0
201018,19790516,   74,    0
201018,19790517,   69,    0
201018,19790518,   65,    0
201018,19790519,   53,    0
201018,19790520,   61,    0
201018,19790521,   94,    0
201018,19790522,   78,    0
201018,19790523,   81,    0
201018,19790524,   81,    0
201018,19790525,   69,    0
201018,19790526,   69,    0
201018,19790527,   78,    0
201018,19790528,   63,    0
201018,19790529,   79,    0
201018,19790530,   73,    0
201018,19790531,  126,    0
201018,19790601,   87,    0
201018,19790602,   94,    0
201018,19790603,  135,    0
201018,19790604,-9999,    9
201018,19790605,-9999,    9
201018,19790606,-9999,    9
201018,19790607,-9999,    9
201018,19790608,-9999,    9
201018,19790609,-9999,    9
201018,19790610,-9999,    9
201018,19790611,-9999,    9
201018,19790612,-9999,    9
201018,19790613,-9999,    9
201018,19790614,-9999,    9
201018,19790615,-9999,    9
201018,19790616,-9999,    9
201018,19790617,-9999,    9
