EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 21-01-2021
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 TG   : mean temperature in 0.1 &#176;C
23-27 Q_TG : Quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station NORWAY, TOENSBERG - KARLSVIK (STAID: 20821).
Blended and updated with sources: 135020 199248 199554 200764 200987 211244 901481 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   TG, Q_TG
200764,19790101, -143,    0
200764,19790102,  -79,    0
200764,19790103,  -70,    0
200764,19790104, -116,    0
200764,19790105, -106,    0
200764,19790106,  -44,    0
200764,19790107,   35,    0
200764,19790108,   18,    0
200764,19790109,  -12,    0
200764,19790110,  -42,    0
200764,19790111,  -20,    0
200764,19790112,  -21,    0
200764,19790113,  -32,    0
200764,19790114,  -42,    0
200764,19790115,  -93,    0
200764,19790116,  -45,    0
200764,19790117,  -42,    0
200764,19790118,  -19,    0
200764,19790119,  -22,    0
200764,19790120,  -43,    0
200764,19790121,  -43,    0
200764,19790122,  -57,    0
200764,19790123,  -64,    0
200764,19790124,  -57,    0
200764,19790125, -107,    0
200764,19790126, -142,    0
200764,19790127, -129,    0
200764,19790128, -122,    0
200764,19790129, -110,    0
200764,19790130,  -86,    0
200764,19790131, -104,    0
200764,19790201,  -84,    0
200764,19790202,  -91,    0
200764,19790203,  -65,    0
200764,19790204,  -53,    0
200764,19790205,  -89,    0
200764,19790206,  -92,    0
200764,19790207,  -29,    0
200764,19790208,  -19,    0
200764,19790209,  -19,    0
200764,19790210,  -12,    0
200764,19790211,  -62,    0
200764,19790212,  -94,    0
200764,19790213,  -66,    0
200764,19790214, -119,    0
200764,19790215, -116,    0
200764,19790216,  -95,    0
200764,19790217,  -78,    0
200764,19790218,  -47,    0
200764,19790219,  -28,    0
