EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 21-01-2021
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

 01- 05 STAID  : Station identifier
 07- 12 SOUID  : Source identifier
 14- 53 SOUNAME: Source name
 55- 56 CN     : Country code (ISO3116 country codes)
 58- 66 LAT    : Latitude in degrees:minutes:seconds (+: North, -: South)
 68- 77 LON    : Longitude in degrees:minutes:seconds (+: East, -: West)
 79- 82 HGTH   : Station elevation in meters
 84- 87 ELEI   : Element identifier (see website at Daily Data > Data dictionary > Elements)
 89- 96 BEGIN  : Begin date YYYYMMDD
 98-105 END    : End date YYYYMMDD
107-111 PARID  : Participant identifier
113-163 PARNAME: Participant name

STAID, SOUID,SOUNAME                                 ,CN,      LAT,       LON,HGHT,ELEI,   BEGIN,     END,PARID,PARNAME

  179,100577,BJOERNOEYA                              ,NO,+74:31:00,+019:01:00,  16,TG21,19100829,20201231,   22,Hans Olav Hygen                                   
  186,100580,SVALBARD AIRPORT                        ,NO,+78:15:00,+015:28:00,  28,TG21,19750801,20201231,   22,Hans Olav Hygen                                   
  186,199233,ADVENTDALEN                             ,NO,+78:12:08,+015:49:52,  15,TG21,20161122,20201231,   22,Hans Olav Hygen                                   
  186,200882,LONGYEARBYEN                            ,SJ,+78:13:21,+015:37:30,  37,TG21,19110816,19770730,   22,Hans Olav Hygen                                   
  187,100583,HOPEN                                   ,NO,+76:30:00,+025:04:00,   6,TG21,19451101,20201231,   22,Hans Olav Hygen                                   
  187,901062,HOPEN                                   ,NO,+76:30:00,+025:04:00,  10, TG5,19820114,20200229,     ,                    
  188,100586,GLOMFJORD                               ,NO,+66:49:00,+013:59:00,  39,TG21,19160501,20201231,   22,Hans Olav Hygen                                   
  189,100589,JAN MAYEN                               ,NO,+70:56:00,-008:40:00,  10,TG21,19220101,20201231,   22,Hans Olav Hygen                                   
  192,100598,FAERDER FYR                             ,NO,+59:01:36,+010:31:48,   6,TG21,18851021,20201231,   22,Hans Olav Hygen                                   
  192,901482,FERDER LH                               ,NO,+59:02:00,+010:32:00,   8, TG5,19820113,20200229,     ,                    
  195,100607,VARDOE                                  ,NO,+70:22:02,+031:05:05,  14,TG21,19000101,20201231,   22,Hans Olav Hygen                                   
  195,901098,VARDO                                   ,NO,+70:21:59,+031:06:00,  15, TG5,19820114,20200229,     ,                    
 1056,104441,SKROVA FYR                              ,NO,+68:09:01,+014:39:03,  11,TG21,19540101,20201231,   22,Hans Olav Hygen                                   
 1056,133952,SVOLVAER LUFTHAVN                       ,NO,+68:14:43,+014:40:09,   9,TG21,20040101,20201231,   22,Hans Olav Hygen                                   
 1056,901160,SKROVA LH                               ,NO,+68:09:00,+014:39:00,  11, TG5,19820115,20200229,     ,                    
  265,105463,BERGEN FLORIDA                          ,NO,+60:23:00,+005:20:00,  12,TG21,19570101,20201231,   22,Hans Olav Hygen                                   
  265,200576,BERGEN - PLEIESTIFTELSEN                ,NO,+60:23:18,+005:20:28,  22,TG21,19000101,19261230,   22,Hans Olav Hygen                                   
