EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 21-01-2021
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

 01- 05 STAID  : Station identifier
 07- 46 STANAME: Station name
 48- 49 CN     : Country code (ISO3116 country codes)
 51- 59 LAT    : Latitude in degrees:minutes:seconds (+: North, -: South)
 61- 70 LON    : Longitude in degrees:minutes:seconds (+: East, -: West)
 72- 75 HGTH   : Station elevation in meters

STAID,STANAME                                 ,CN,      LAT,       LON,HGHT

  179,BJOERNOEYA                              ,NO,+74:31:00,+019:01:00,  16
  186,SVALBARD AIRPORT                        ,NO,+78:15:00,+015:28:00,  28
  187,HOPEN                                   ,NO,+76:30:00,+025:04:00,   6
  188,GLOMFJORD                               ,NO,+66:49:00,+013:59:00,  39
  189,JAN MAYEN                               ,NO,+70:56:00,-008:40:00,  10
  192,FAERDER FYR                             ,NO,+59:01:36,+010:31:48,   6
  195,VARDOE                                  ,NO,+70:22:02,+031:05:05,  14
 1056,SKROVA FYR                              ,NO,+68:09:01,+014:39:03,  11
  265,BERGEN FLORIDA                          ,NO,+60:23:00,+005:20:00,  12
  266,BODOE VI                                ,NO,+67:16:02,+014:21:32,  11
  264,OKSOEY FYR                              ,NO,+58:04:01,+008:03:03,   9
 1059,FRUHOLMEN FYR                           ,NO,+71:05:36,+023:59:42,  13
 1055,ORLAND                                  ,NO,+63:42:01,+009:36:05,  10
 1044,LINDESNES FYR                           ,NO,+57:59:00,+007:02:54,  13
 1045,LISTA FYR                               ,NO,+58:06:36,+006:34:06,  14
 1042,LYNGOR FYR                              ,NO,+58:38:01,+009:09:01,   4
  331,TORUNGEN FYR                            ,NO,+58:23:00,+008:47:30,  12
 1047,SAUDA                                   ,NO,+59:38:55,+006:21:48,   5
 1046,SOLA                                    ,NO,+58:53:03,+005:38:13,   7
 2581,ONA                                     ,NO,+62:52:00,+006:33:00,  11
 2582,ONA HUSOY                               ,NO,+62:52:00,+006:32:00,   8
  329,ONA II                                  ,NO,+62:51:35,+006:32:22,  13
 1051,TAFJORD                                 ,NO,+62:14:01,+007:25:00,  15
 1049,TAKLE                                   ,NO,+61:01:36,+005:23:06,  38
 2216,SLETTNES FYR                            ,NO,+71:05:02,+028:13:04,   8
 2587,RADE - TOMB                             ,NO,+59:19:00,+010:49:00,  14
 2589,RYGGE                                   ,NO,+58:22:59,+010:47:18,  40
 2590,SARPSBORG                               ,NO,+59:17:09,+011:06:53,  57
 2656,KJEVIK                                  ,NO,+58:12:01,+008:04:06,  12
 2669,OBRESTAD FYR                            ,NO,+58:39:33,+005:33:19,  24
 2230,BERGEN/FLESLAND                         ,NO,+60:17:21,+005:13:35,  48
 2685,SLATTEROY FYR                           ,NO,+59:54:30,+005:04:06,  25
 2709,ORSKOG                                  ,NO,+62:28:44,+006:49:12,   4
 2727,NORDOYAN FYR                            ,NO,+64:47:52,+010:32:57,  33
 2733,BODOE - VAGONES                         ,NO,+67:17:00,+014:28:00,  33
 2750,TORSVAG FYR                             ,NO,+70:14:45,+019:30:02,  21
