Date,Open,High,Low,Close,Volume
01/20/2015,"0.492%","0.516%","0.443%","0.496%","0"
01/16/2015,"0.423%","0.500%","0.403%","0.492%","0"
01/15/2015,"0.500%","0.541%","0.404%","0.412%","0"
01/14/2015,"0.537%","0.545%","0.457%","0.501%","0"
01/13/2015,"0.545%","0.573%","0.521%","0.545%","0"
01/12/2015,"0.569%","0.585%","0.537%","0.549%","0"
01/09/2015,"0.613%","0.637%","0.541%","0.565%","0"
01/08/2015,"0.621%","0.649%","0.593%","0.609%","0"
01/07/2015,"0.633%","0.649%","0.601%","0.613%","0"
01/06/2015,"0.661%","0.677%","0.593%","0.629%","0"
01/05/2015,"0.669%","0.697%","0.653%","0.661%","0"
01/02/2015,"0.716%","0.724%","0.645%","0.681%","0"
12/31/2014,"0.684%","0.700%","0.665%","0.672%","0"
12/30/2014,"0.708%","0.720%","0.672%","0.688%","0"
12/29/2014,"0.743%","0.751%","0.696%","0.712%","0"
12/26/2014,"0.743%","0.755%","0.712%","0.743%","0"
12/24/2014,"0.735%","0.762%","0.715%","0.743%","0"
12/23/2014,"0.703%","0.758%","0.699%","0.754%","0"
12/22/2014,"0.650%","0.683%","0.626%","0.663%","0"
12/19/2014,"0.634%","0.658%","0.606%","0.642%","0"
12/18/2014,"0.621%","0.662%","0.585%","0.637%","0"
12/17/2014,"0.552%","0.625%","0.516%","0.617%","0"
12/16/2014,"0.577%","0.589%","0.468%","0.556%","0"
12/15/2014,"0.548%","0.601%","0.536%","0.580%","0"
12/12/2014,"0.600%","0.621%","0.520%","0.544%","0"
12/11/2014,"0.572%","0.632%","0.556%","0.604%","0"
12/10/2014,"0.620%","0.640%","0.552%","0.572%","0"
12/09/2014,"0.628%","0.648%","0.584%","0.616%","0"
12/08/2014,"0.660%","0.680%","0.616%","0.632%","0"
12/05/2014,"0.548%","0.663%","0.536%","0.643%","0"
12/04/2014,"0.555%","0.583%","0.528%","0.544%","0"
12/03/2014,"0.540%","0.571%","0.524%","0.563%","0"
12/02/2014,"0.496%","0.555%","0.496%","0.543%","0"
12/01/2014,"0.488%","0.520%","0.449%","0.500%","0"
11/28/2014,"0.520%","0.524%","0.473%","0.473%","0"
