\\Hourly Demand Report,,,
\\Created at 2021-01-20 07:30:11,,,
\\For 2021,,,
Date,Hour,Market Demand,Ontario Demand
2021-01-01,1,16057,14112
2021-01-01,2,15516,13504
2021-01-01,3,15185,13155
2021-01-01,4,14940,12892
2021-01-01,5,14802,12798
2021-01-01,6,14880,12891
2021-01-01,7,14998,13188
2021-01-01,8,15463,13570
2021-01-01,9,15612,13820
2021-01-01,10,16269,14249
2021-01-01,11,16471,14514
2021-01-01,12,16941,14895
2021-01-01,13,17360,14959
2021-01-01,14,17579,15117
2021-01-01,15,18071,15391
2021-01-01,16,18377,15928
2021-01-01,17,18466,16544
2021-01-01,18,18678,17120
2021-01-01,19,18745,16774
2021-01-01,20,18564,16385
2021-01-01,21,18694,16206
2021-01-01,22,18365,15888
2021-01-01,23,17514,15269
2021-01-01,24,16885,14476
2021-01-02,1,15980,13827
2021-01-02,2,15499,13453
2021-01-02,3,15120,13177
2021-01-02,4,15284,13145
2021-01-02,5,15393,13192
2021-01-02,6,14977,13140
2021-01-02,7,15242,13477
2021-01-02,8,15857,14173
2021-01-02,9,16032,14661
2021-01-02,10,16812,15127
2021-01-02,11,17163,15466
2021-01-02,12,17697,15805
2021-01-02,13,17973,15849
2021-01-02,14,17866,15914
2021-01-02,15,17589,16003
2021-01-02,16,17844,16178
2021-01-02,17,18771,16800
2021-01-02,18,19783,17860
2021-01-02,19,19420,17594
2021-01-02,20,18823,16914
2021-01-02,21,18186,16387
2021-01-02,22,17615,15752
2021-01-02,23,16746,15083
2021-01-02,24,16230,14236
2021-01-03,1,15418,13620
2021-01-03,2,15247,13214
2021-01-03,3,14920,12962
2021-01-03,4,14975,12834
2021-01-03,5,14575,12802
2021-01-03,6,15133,13025
2021-01-03,7,15579,13440
2021-01-03,8,16087,14038
2021-01-03,9,16632,14596
2021-01-03,10,17300,15130
2021-01-03,11,17999,15759
2021-01-03,12,18455,16215
2021-01-03,13,18764,16448
2021-01-03,14,18431,16366
2021-01-03,15,18485,16296
2021-01-03,16,18448,16459
2021-01-03,17,18955,17056
2021-01-03,18,20155,18098
2021-01-03,19,20008,17672
2021-01-03,20,19192,17082
2021-01-03,21,18449,16536
2021-01-03,22,17711,15956
2021-01-03,23,16849,15196
2021-01-03,24,16513,14424
2021-01-04,1,15612,13765
2021-01-04,2,15648,13538
2021-01-04,3,15410,13199
2021-01-04,4,15564,13121
2021-01-04,5,15585,13231
2021-01-04,6,16220,13757
2021-01-04,7,17491,14922
2021-01-04,8,17868,16075
2021-01-04,9,18758,16877
2021-01-04,10,19064,17157
2021-01-04,11,19161,17333
2021-01-04,12,19415,17608
2021-01-04,13,19660,17736
2021-01-04,14,19565,17664
2021-01-04,15,19653,17535
2021-01-04,16,19842,17767
2021-01-04,17,20615,18272
2021-01-04,18,21452,19160
2021-01-04,19,20998,18652
2021-01-04,20,20055,18161
2021-01-04,21,19142,17319
2021-01-04,22,18605,16617
2021-01-04,23,17903,15890
2021-01-04,24,17071,14902
2021-01-05,1,16433,14278
2021-01-05,2,16131,13901
2021-01-05,3,15864,13538
2021-01-05,4,15940,13530
2021-01-05,5,16203,13634
2021-01-05,6,16539,14237
2021-01-05,7,17484,15241
2021-01-05,8,18338,16427
2021-01-05,9,18857,17150
2021-01-05,10,19211,17448
2021-01-05,11,19398,17653
2021-01-05,12,19601,17777
2021-01-05,13,19390,17732
2021-01-05,14,19452,17663
2021-01-05,15,19283,17558
2021-01-05,16,19671,17844
2021-01-05,17,20318,18382
2021-01-05,18,21253,19275
2021-01-05,19,20938,18828
2021-01-05,20,20355,18286
2021-01-05,21,19875,17825
2021-01-05,22,19044,17086
2021-01-05,23,17779,16046
2021-01-05,24,17220,15059
2021-01-06,1,16574,14391
2021-01-06,2,16058,13930
2021-01-06,3,16045,13857
2021-01-06,4,16260,13915
2021-01-06,5,16241,13862
2021-01-06,6,16607,14245
2021-01-06,7,17627,15225
2021-01-06,8,18557,16510
2021-01-06,9,19224,17118
2021-01-06,10,19648,17428
2021-01-06,11,19725,17474
2021-01-06,12,19792,17614
2021-01-06,13,19569,17518
2021-01-06,14,19236,17369
2021-01-06,15,19314,17312
2021-01-06,16,19449,17618
2021-01-06,17,20124,18238
2021-01-06,18,21604,19369
2021-01-06,19,20981,18696
2021-01-06,20,20258,18124
2021-01-06,21,19752,17644
2021-01-06,22,19100,17133
2021-01-06,23,18100,16169
2021-01-06,24,17119,15126
2021-01-07,1,16649,14453
2021-01-07,2,16363,14068
2021-01-07,3,16167,13784
2021-01-07,4,16101,13702
2021-01-07,5,16169,13767
2021-01-07,6,16591,14320
2021-01-07,7,17453,15305
2021-01-07,8,18918,16530
2021-01-07,9,19575,17182
2021-01-07,10,19917,17541
2021-01-07,11,19801,17457
2021-01-07,12,19674,17386
2021-01-07,13,19566,17161
2021-01-07,14,19204,16891
2021-01-07,15,19038,16651
2021-01-07,16,19091,16822
2021-01-07,17,20150,17777
2021-01-07,18,21585,19178
2021-01-07,19,21248,18988
2021-01-07,20,20671,18451
2021-01-07,21,20100,17880
2021-01-07,22,19499,17384
2021-01-07,23,18475,16353
2021-01-07,24,17520,15377
2021-01-08,1,16621,14853
2021-01-08,2,16393,14612
2021-01-08,3,16470,14434
2021-01-08,4,16533,14454
2021-01-08,5,16544,14575
2021-01-08,6,17110,14984
2021-01-08,7,18275,16196
2021-01-08,8,19599,17543
2021-01-08,9,20329,18192
2021-01-08,10,20492,18257
2021-01-08,11,20002,17831
2021-01-08,12,19876,17604
2021-01-08,13,19527,17388
2021-01-08,14,19145,16998
2021-01-08,15,18885,16796
2021-01-08,16,19080,16996
2021-01-08,17,20093,17786
2021-01-08,18,21407,19069
2021-01-08,19,21434,19084
2021-01-08,20,20661,18435
2021-01-08,21,20202,18055
2021-01-08,22,19243,17447
2021-01-08,23,18362,16459
2021-01-08,24,17749,15583
2021-01-09,1,17115,14891
2021-01-09,2,16622,14427
2021-01-09,3,16346,14136
2021-01-09,4,16249,14014
2021-01-09,5,16265,14041
2021-01-09,6,16510,14268
2021-01-09,7,17040,14872
2021-01-09,8,17908,15597
2021-01-09,9,18290,15934
2021-01-09,10,18287,16120
2021-01-09,11,18190,16095
2021-01-09,12,18024,15932
2021-01-09,13,17872,15879
2021-01-09,14,17870,15655
2021-01-09,15,17691,15557
2021-01-09,16,17836,15869
2021-01-09,17,18015,16778
2021-01-09,18,19599,18157
2021-01-09,19,19721,18020
2021-01-09,20,19206,17456
2021-01-09,21,18796,16976
2021-01-09,22,18180,16416
2021-01-09,23,17720,15668
2021-01-09,24,17189,14861
2021-01-10,1,16617,14365
2021-01-10,2,16505,13974
2021-01-10,3,16527,13797
2021-01-10,4,16398,13718
2021-01-10,5,16035,13504
2021-01-10,6,16206,13682
2021-01-10,7,16624,14189
2021-01-10,8,16920,14841
2021-01-10,9,17349,15248
2021-01-10,10,17614,15664
2021-01-10,11,17881,15969
2021-01-10,12,17841,16177
2021-01-10,13,17957,16250
2021-01-10,14,18201,16167
2021-01-10,15,18004,16115
2021-01-10,16,18298,16501
2021-01-10,17,19405,17363
2021-01-10,18,20629,18461
2021-01-10,19,19915,18069
2021-01-10,20,19527,17564
2021-01-10,21,18964,16998
2021-01-10,22,18650,16437
2021-01-10,23,17975,15754
2021-01-10,24,17216,14941
2021-01-11,1,16617,14344
2021-01-11,2,16040,13915
2021-01-11,3,15962,13783
2021-01-11,4,15966,13710
2021-01-11,5,16071,13876
2021-01-11,6,16458,14337
2021-01-11,7,17639,15584
2021-01-11,8,18767,16698
2021-01-11,9,19178,17221
2021-01-11,10,19430,17418
2021-01-11,11,19233,17179
2021-01-11,12,19564,17309
2021-01-11,13,19923,17695
2021-01-11,14,19931,17770
2021-01-11,15,19670,17422
2021-01-11,16,20110,17951
2021-01-11,17,20852,18593
2021-01-11,18,21338,19114
2021-01-11,19,20728,18524
2021-01-11,20,20334,18186
2021-01-11,21,19626,17538
2021-01-11,22,18737,16892
2021-01-11,23,17575,15800
2021-01-11,24,16584,14744
2021-01-12,1,16279,14339
2021-01-12,2,16195,14076
2021-01-12,3,16048,13930
2021-01-12,4,15857,13750
2021-01-12,5,15912,13817
2021-01-12,6,16402,14411
2021-01-12,7,17612,15534
2021-01-12,8,18911,16657
2021-01-12,9,19669,17379
2021-01-12,10,20077,17798
2021-01-12,11,20224,18021
2021-01-12,12,20117,18138
2021-01-12,13,20074,18172
2021-01-12,14,19706,18003
2021-01-12,15,19815,17913
2021-01-12,16,19942,17998
2021-01-12,17,20812,18668
2021-01-12,18,21537,19426
2021-01-12,19,21124,18971
2021-01-12,20,20388,18413
2021-01-12,21,19939,17971
2021-01-12,22,18949,17179
2021-01-12,23,17846,16181
2021-01-12,24,16959,15152
2021-01-13,1,16233,14414
2021-01-13,2,15993,14028
2021-01-13,3,15873,13767
2021-01-13,4,15598,13609
2021-01-13,5,15691,13736
2021-01-13,6,16294,14254
2021-01-13,7,17248,15198
2021-01-13,8,18755,16449
2021-01-13,9,19382,17141
2021-01-13,10,19699,17408
2021-01-13,11,19768,17506
2021-01-13,12,19568,17484
2021-01-13,13,19366,17342
2021-01-13,14,19472,17175
2021-01-13,15,19149,16899
2021-01-13,16,19452,17119
2021-01-13,17,20152,17789
2021-01-13,18,21002,18678
2021-01-13,19,20622,18262
2021-01-13,20,20082,17882
2021-01-13,21,19081,17282
2021-01-13,22,18234,16514
2021-01-13,23,17407,15533
2021-01-13,24,16460,14651
2021-01-14,1,15935,14090
2021-01-14,2,15665,13744
2021-01-14,3,15431,13516
2021-01-14,4,15448,13444
2021-01-14,5,15725,13693
2021-01-14,6,16144,14147
2021-01-14,7,16997,15087
2021-01-14,8,18299,16363
2021-01-14,9,18849,17049
2021-01-14,10,18842,17208
2021-01-14,11,18730,17025
2021-01-14,12,18778,17068
2021-01-14,13,18833,17035
2021-01-14,14,18697,16860
2021-01-14,15,18627,16795
2021-01-14,16,18610,17060
2021-01-14,17,19455,17555
2021-01-14,18,20625,18487
2021-01-14,19,20167,18000
2021-01-14,20,19387,17331
2021-01-14,21,18875,16848
2021-01-14,22,18227,16296
2021-01-14,23,17132,15203
2021-01-14,24,16301,14251
2021-01-15,1,15707,13646
2021-01-15,2,15404,13305
2021-01-15,3,15251,13087
2021-01-15,4,15224,13032
2021-01-15,5,15325,13120
2021-01-15,6,15768,13692
2021-01-15,7,16517,14514
2021-01-15,8,17872,15569
2021-01-15,9,18642,16279
2021-01-15,10,18928,16597
2021-01-15,11,18964,16671
2021-01-15,12,19196,16863
2021-01-15,13,19272,16905
2021-01-15,14,19149,16811
2021-01-15,15,19097,16762
2021-01-15,16,19048,16832
2021-01-15,17,19778,17570
2021-01-15,18,20691,18502
2021-01-15,19,20100,18077
2021-01-15,20,19507,17621
2021-01-15,21,18748,17182
2021-01-15,22,18121,16441
2021-01-15,23,17552,15644
2021-01-15,24,16723,14774
2021-01-16,1,16153,14135
2021-01-16,2,15797,13667
2021-01-16,3,15472,13336
2021-01-16,4,15386,13289
2021-01-16,5,15340,13332
2021-01-16,6,15655,13599
2021-01-16,7,16104,14062
2021-01-16,8,16603,14704
2021-01-16,9,17007,15197
2021-01-16,10,17172,15434
2021-01-16,11,17276,15646
2021-01-16,12,17791,15946
2021-01-16,13,17554,15947
2021-01-16,14,17569,15884
2021-01-16,15,17358,15775
2021-01-16,16,17415,16001
2021-01-16,17,17740,16613
2021-01-16,18,19216,17659
2021-01-16,19,18621,17426
2021-01-16,20,18314,16792
2021-01-16,21,18092,16428
2021-01-16,22,17743,15902
2021-01-16,23,17061,15065
2021-01-16,24,16109,14068
2021-01-17,1,15654,13516
2021-01-17,2,15292,13198
2021-01-17,3,15091,13038
2021-01-17,4,15120,13079
2021-01-17,5,15203,13074
2021-01-17,6,15231,13150
2021-01-17,7,15385,13396
2021-01-17,8,15799,13875
2021-01-17,9,16338,14471
2021-01-17,10,16790,14981
2021-01-17,11,17371,15435
2021-01-17,12,17821,15934
2021-01-17,13,17505,16021
2021-01-17,14,17547,16093
2021-01-17,15,17505,16123
2021-01-17,16,17778,16367
2021-01-17,17,18558,17180
2021-01-17,18,20064,18286
2021-01-17,19,19553,17889
2021-01-17,20,18818,17379
2021-01-17,21,18397,16708
2021-01-17,22,18273,16309
2021-01-17,23,17097,15383
2021-01-17,24,16657,14675
2021-01-18,1,16067,14077
2021-01-18,2,15763,13692
2021-01-18,3,15822,13623
2021-01-18,4,15788,13633
